bucket,test_id,lane,ci_calibrated,l2_ptrace_verify,l1_ptrace_strict,l1_kvm_parity
c-programs,c-programs/meminfo-free-deterministic,portable,uncalibrated,-,pass,parity
c-programs,c-programs/memorypress,portable,uncalibrated,-,pass,parity
c-programs,c-programs/mmap-determinism,portable,uncalibrated,-,fail,diff
c-programs,c-programs/mmap-stress-determinism,portable,uncalibrated,-,pass,parity
c-programs,c-programs/name-to-handle-at-eopnotsupp,portable,uncalibrated,-,pass,parity
c-programs,c-programs/name-to-handle-directory-eopnotsupp,portable,uncalibrated,-,pass,parity
c-programs,c-programs/name-to-handle-empty-path-eopnotsupp,portable,uncalibrated,-,pass,parity
c-programs,c-programs/name-to-handle-regular-eopnotsupp,portable,uncalibrated,-,pass,parity
c-programs,c-programs/nanosleep-par,portable,uncalibrated,-,pass,parity
c-programs,c-programs/nanosleep-threads-nocrash,portable,uncalibrated,-,pass,parity
c-programs,c-programs/nanosleep-threads-simple,portable,uncalibrated,-,fail,diff
c-programs,c-programs/netlink-autobind-generic,portable,uncalibrated,-,pass,parity
c-programs,c-programs/netlink-autobind-route,portable,uncalibrated,-,pass,parity
c-programs,c-programs/netlink-autobind-usersock,portable,uncalibrated,-,pass,parity
c-programs,c-programs/netns-cookie-tcp4,portable,uncalibrated,-,pass,parity
c-programs,c-programs/netns-cookie-tcp6,portable,uncalibrated,-,pass,parity
c-programs,c-programs/netns-cookie-udp4,portable,uncalibrated,-,pass,parity
c-programs,c-programs/perf-event-hardware-enosys,portable,uncalibrated,-,pass,parity
c-programs,c-programs/perf-event-open-enosys,portable,uncalibrated,-,pass,parity
c-programs,c-programs/perf-event-software-enosys,portable,uncalibrated,-,pass,parity
c-programs,c-programs/perf-event-watchpoint-enosys,portable,uncalibrated,-,pass,parity
c-programs,c-programs/periodic-setitimer-delivery,portable,uncalibrated,-,pass,diff
c-programs,c-programs/pidfd-open-self,portable,uncalibrated,-,pass,parity
c-programs,c-programs/pidfd-poll-self,portable,uncalibrated,-,pass,parity
c-programs,c-programs/pidfd-waitid-child,portable,uncalibrated,-,pass,diff
c-programs,c-programs/ppoll-readv,portable,uncalibrated,-,pass,diff
c-programs,c-programs/ppoll-simulation,portable,uncalibrated,-,pass,diff
c-programs,c-programs/prctl-dumpable,portable,uncalibrated,-,pass,parity
c-programs,c-programs/pread64-nostdlib,portable,uncalibrated,-,pass,parity
c-programs,c-programs/printf-with-threads,portable,uncalibrated,-,pass,parity
c-programs,c-programs/print-memaddrs,portable,uncalibrated,-,pass,diff
c-programs,c-programs/process-mrelease-enosys,portable,uncalibrated,-,pass,parity
c-programs,c-programs/process-vm-readv-refusal-probe,portable,uncalibrated,-,pass,parity
c-programs,c-programs/process-vm-writev-refusal-probe,portable,uncalibrated,-,pass,parity
c-programs,c-programs/proc-fdinfo,portable,uncalibrated,-,pass,diff
c-programs,c-programs/proc-fd-link-aliases,portable,uncalibrated,-,pass,diff
c-programs,c-programs/procfs-positioned-probe,portable,uncalibrated,-,pass,parity
c-programs,c-programs/proc-locks,portable,uncalibrated,-,pass,parity
c-programs,c-programs/prodcons-determinism,portable,uncalibrated,-,pass,parity
c-programs,c-programs/pselect6-simulation,portable,uncalibrated,-,pass,diff
c-programs,c-programs/ptrace-attach-eperm,portable,uncalibrated,-,pass,diff
c-programs,c-programs/ptrace-eperm,portable,uncalibrated,-,pass,parity
c-programs,c-programs/ptrace-seize-eperm,portable,uncalibrated,-,pass,diff
c-programs,c-programs/ptrace-traceme-eperm,portable,uncalibrated,-,pass,parity
c-programs,c-programs/pty-nr-count,portable,uncalibrated,-,pass,diff
c-programs,c-programs/racewrite-nostdlib,portable,uncalibrated,-,pass,parity
c-programs,c-programs/random-sources,portable,calibrated,-,pass,diff
c-programs,c-programs/rcx-canonicalization,portable,uncalibrated,-,pass,parity
c-programs,c-programs/record-replay-fd-close,portable,uncalibrated,-,pass,diff
c-programs,c-programs/record-replay-file-state,portable,uncalibrated,-,pass,diff
c-programs,c-programs/record-replay-lseek-seek-cur,portable,uncalibrated,-,fail,diff
c-programs,c-programs/record-replay-setsockopt,portable,uncalibrated,-,pass,parity
c-programs,c-programs/recvmsg-scm-rights-mmap,portable,uncalibrated,-,pass,diff
c-programs,c-programs/remap-file-pages-anonymous-enosys,portable,uncalibrated,-,pass,parity
c-programs,c-programs/remap-file-pages-memfd-enosys,portable,uncalibrated,-,pass,diff
c-programs,c-programs/remap-file-pages-tmpfile-enosys,portable,uncalibrated,-,pass,parity
c-programs,c-programs/request-key-enosys,portable,uncalibrated,-,pass,parity
c-programs,c-programs/resource-determinism,portable,uncalibrated,-,fail,diff
c-programs,c-programs/sched-setattr-batch,portable,uncalibrated,-,pass,parity
c-programs,c-programs/sched-setattr-idle,portable,uncalibrated,-,pass,parity
c-programs,c-programs/sched-setattr-other,portable,uncalibrated,-,pass,parity
c-programs,c-programs/scheduler-policy-queries,portable,uncalibrated,-,pass,parity
c-programs,c-programs/sched-yield-progress,portable,uncalibrated,-,pass,parity
c-programs,c-programs/setitimer-determinism,portable,uncalibrated,-,pass,diff
c-programs,c-programs/sigmask-preemption,portable,uncalibrated,-,pass,parity
c-programs,c-programs/signal-determinism,portable,uncalibrated,-,fail,diff
c-programs,c-programs/sigpipe-siginfo,portable,uncalibrated,-,pass,diff
c-programs,c-programs/sigtimedwait-no-timeout,portable,uncalibrated,-,pass,parity
c-programs,c-programs/sigtimedwait-timeout-0s,portable,uncalibrated,-,pass,diff
c-programs,c-programs/sigtimedwait-timeout-1s,portable,uncalibrated,-,pass,parity
c-programs,c-programs/socket-cookie-tcp,portable,uncalibrated,-,pass,diff
c-programs,c-programs/socket-cookie-udp,portable,uncalibrated,-,pass,diff
c-programs,c-programs/socket-cookie-unix,portable,uncalibrated,-,pass,diff
c-programs,c-programs/socket-ioctl-timestamp,portable,uncalibrated,-,fail,diff
c-programs,c-programs/socket-timestamp-edge-cases,portable,uncalibrated,-,pass,diff
c-programs,c-programs/socket-timestamp-timespec,portable,uncalibrated,-,pass,diff
c-programs,c-programs/socket-timestamp-timeval,portable,uncalibrated,-,pass,diff
c-programs,c-programs/so-incoming-cpu-tcp4,portable,uncalibrated,-,pass,diff
c-programs,c-programs/so-incoming-cpu-tcp6,portable,uncalibrated,-,pass,diff
c-programs,c-programs/so-incoming-cpu-udp4,portable,uncalibrated,-,pass,diff
c-programs,c-programs/splice-enosys,portable,uncalibrated,-,pass,parity
c-programs,c-programs/statmount-enosys,portable,uncalibrated,-,pass,parity
c-programs,c-programs/syscall-file-io,portable,uncalibrated,-,pass,parity
c-programs,c-programs/syscall-file-metadata,portable,uncalibrated,-,pass,parity
c-programs,c-programs/syscall-quick-wins,portable,uncalibrated,-,pass,diff
c-programs,c-programs/sysfs-enosys,portable,uncalibrated,-,pass,parity
c-programs,c-programs/sysinfo,portable,uncalibrated,-,pass,diff
c-programs,c-programs/sysinfo-uptime,portable,uncalibrated,-,pass,diff
c-programs,c-programs/syslog-deterministic,portable,uncalibrated,-,pass,parity
c-programs,c-programs/sysv-sem-enosys,portable,uncalibrated,-,pass,parity
c-programs,c-programs/sysv-shm-enosys,portable,uncalibrated,-,pass,parity
c-programs,c-programs/tcp-info-accept4,portable,uncalibrated,-,pass,diff
c-programs,c-programs/tcp-info-accept6,portable,uncalibrated,-,pass,diff
c-programs,c-programs/tcp-info-client4,portable,uncalibrated,-,pass,diff
c-programs,c-programs/tee-enosys,portable,uncalibrated,-,pass,parity
c-programs,c-programs/threadexhaustion,portable,uncalibrated,-,pass,parity
c-programs,c-programs/thread-self-procfs-handoff,portable,uncalibrated,-,pass,diff
c-programs,c-programs/thread-sync-determinism,portable,uncalibrated,-,fail,diff
c-programs,c-programs/timer-create-determinism,portable,uncalibrated,-,pass,parity
c-programs,c-programs/uname,portable,uncalibrated,-,pass,parity
c-programs,c-programs/unix-autobind-dgram,portable,uncalibrated,-,pass,parity
c-programs,c-programs/unix-autobind-seqpacket,portable,uncalibrated,-,pass,diff
c-programs,c-programs/unix-autobind-stream,portable,uncalibrated,-,pass,parity
c-programs,c-programs/ustat-enosys,portable,uncalibrated,-,pass,parity
c-programs,c-programs/vforkexec,portable,uncalibrated,-,pass,diff
c-programs,c-programs/vmsplice-enosys,portable,uncalibrated,-,pass,parity
c-programs,c-programs/wait-on-child,portable,uncalibrated,-,pass,diff
c-programs,c-programs/writev-determinism,portable,uncalibrated,-,pass,diff
data-handling,data-handling/archive-roundtrip,portable,calibrated,pass,-,-
data-handling,data-handling/shell-pipeline,portable,calibrated,pass,-,-
debugger-c,debugger-c/debuggee,portable,uncalibrated,-,pass,diff
determinism-stress-c,determinism-stress-c/fork-tree,portable,uncalibrated,-,pass,parity
determinism-stress-c,determinism-stress-c/lock-free,portable,calibrated,-,pass,parity
determinism-stress-c,determinism-stress-c/mmap-fork-shared,portable,uncalibrated,-,pass,diff
determinism-stress-c,determinism-stress-c/pid-tid,portable,calibrated,-,pass,diff
determinism-stress-c,determinism-stress-c/pipe-chain,portable,uncalibrated,-,pass,diff
determinism-stress-c,determinism-stress-c/pipe-prefill,portable,calibrated,-,pass,diff
determinism-stress-c,determinism-stress-c/producer-consumer,portable,calibrated,pass,-,-
determinism-stress-c,determinism-stress-c/signal-order,portable,calibrated,-,pass,diff
determinism-stress-c,determinism-stress-c/thread-contention,portable,uncalibrated,-,fail,diff
determinism-stress-c,determinism-stress-c/thread-stress,portable,uncalibrated,-,pass,diff
determinism-stress,determinism-stress/example-race,portable,uncalibrated,pass,pass,parity
determinism-stress,determinism-stress/order-violation,portable,calibrated,pass,pass,parity
determinism-stress,determinism-stress/process-chains,portable,calibrated,pass,-,-
determinism-stress,determinism-stress/thread-contention,portable,calibrated,pass,-,-
determinism-stress,determinism-stress/thread-output,portable,calibrated,pass,-,-
language-runtimes,language-runtimes/bash-loop-pipe-time,portable,calibrated,pass,-,-
language-runtimes,language-runtimes/example-python-random,portable,uncalibrated,pass,pass,parity
language-runtimes,language-runtimes/gawk-random,portable,calibrated,pass,-,-
language-runtimes,language-runtimes/perl-io-subprocess-time,portable,calibrated,pass,-,-
language-runtimes,language-runtimes/python-hash-determinism,portable,calibrated,pass,-,-
language-runtimes,language-runtimes/python-io-subprocess-time,portable,calibrated,pass,-,-
language-runtimes,language-runtimes/python-random,portable,calibrated,pass,-,-
shared-futex-c,shared-futex-c/qemu-exec-init,portable,uncalibrated,-,fail,diff
shared-futex-c,shared-futex-c/qemu-hello,portable,uncalibrated,-,fail,diff
shared-futex-c,shared-futex-c/qemu-init,portable,uncalibrated,-,fail,diff
shared-futex-c,shared-futex-c/qemu-net-init,portable,uncalibrated,-,fail,diff
system-utils,system-utils/clock-determinism,portable,calibrated,pass,pass,diff
system-utils,system-utils/date-nanoseconds,portable,calibrated,pass,-,-
system-utils,system-utils/example-date,portable,uncalibrated,pass,pass,diff
system-utils,system-utils/example-devrand,portable,uncalibrated,pass,pass,parity
system-utils,system-utils/openssl-passwd,portable,calibrated,pass,-,-
system-utils,system-utils/proc-uptime,portable,calibrated,-,-,-
system-utils,system-utils/random-device,portable,calibrated,pass,-,-
system-utils,system-utils/record-getpid,portable,calibrated,pass,pass,diff
util-c,util-c/pmu-skid,portable,uncalibrated,-,fail,diff
