bucket,test_id,lane,ci_calibrated,l2_ptrace_verify,l1_ptrace_strict,l1_kvm_parity
applications,applications/example-timed-progress-bar,portable,uncalibrated,pass,pass,parity
applications,applications/timed-progress-bar,portable,calibrated,pass,-,-
backend-parity-c,backend-parity-c/cpuid-probe,privileged,uncalibrated,-,pass,parity
backend-parity-c,backend-parity-c/pid-probe,portable,uncalibrated,-,pass,diff
backend-parity-c,backend-parity-c/pthread-lifecycle,portable,uncalibrated,-,pass,parity
bin-c,bin-c/posix-timer-test,portable,uncalibrated,-,pass,diff
bin-c,bin-c/robust-futex-test,portable,uncalibrated,-,fail,diff
chaos-c,chaos-c/lock-granularity,portable,uncalibrated,-,pass,parity
c-programs,c-programs/acct-refusal-probe,portable,uncalibrated,-,pass,parity
c-programs,c-programs/add-key-enosys,portable,calibrated,pass,pass,parity
c-programs,c-programs/adjtimex-deterministic,portable,uncalibrated,-,pass,parity
c-programs,c-programs/arch-prctl-determinism,portable,uncalibrated,-,pass,parity
c-programs,c-programs/bpf-enosys,portable,uncalibrated,-,pass,parity
c-programs,c-programs/cachestat-enosys,portable,calibrated,pass,pass,parity
c-programs,c-programs/clock-adjtime-deterministic,portable,uncalibrated,-,pass,parity
c-programs,c-programs/clone,portable,uncalibrated,-,pass,diff
c-programs,c-programs/copy-file-range-refusal-probe,portable,uncalibrated,-,pass,parity
c-programs,c-programs/dbi-copied-tiocgpgrp,portable,uncalibrated,-,pass,parity
c-programs,c-programs/dbi-exec-failure,portable,uncalibrated,-,pass,parity
c-programs,c-programs/dbi-execveat-unsupported,portable,uncalibrated,-,pass,parity
c-programs,c-programs/dbi-mmap-exec,portable,uncalibrated,-,pass,parity
c-programs,c-programs/dbi-pid-virtualization,portable,uncalibrated,-,pass,diff
c-programs,c-programs/dbi-prlimit-self,portable,uncalibrated,-,pass,parity
c-programs,c-programs/dbi-self-sigqueue,portable,uncalibrated,-,pass,diff
c-programs,c-programs/dbi-unsupported-syscall,portable,uncalibrated,-,pass,diff
c-programs,c-programs/dbi-wait-lifecycle,portable,uncalibrated,-,pass,diff
c-programs,c-programs/epoll-determinism,portable,uncalibrated,-,fail,diff
c-programs,c-programs/fp-reduction-nondeterminism,portable,uncalibrated,-,pass,diff
c-programs,c-programs/futex-requeue-enosys,portable,uncalibrated,-,pass,parity
c-programs,c-programs/futex-waitv-enosys,portable,calibrated,pass,pass,parity
c-programs,c-programs/futex-wake-enosys,portable,uncalibrated,-,pass,parity
c-programs,c-programs/getcpu,portable,uncalibrated,-,pass,parity
c-programs,c-programs/getitimer-determinism-probe,portable,uncalibrated,-,pass,parity
c-programs,c-programs/get-robust-list-child,portable,uncalibrated,-,pass,diff
c-programs,c-programs/get-robust-list-self,portable,calibrated,pass,pass,parity
c-programs,c-programs/get-robust-list-thread,portable,uncalibrated,-,pass,diff
c-programs,c-programs/getsockopt-null,portable,uncalibrated,-,pass,parity
c-programs,c-programs/hello-alarm,portable,uncalibrated,-,pass,diff
c-programs,c-programs/hello-nostdlib,portable,uncalibrated,-,pass,parity
c-programs,c-programs/hello-signals,portable,uncalibrated,-,pass,diff
c-programs,c-programs/ioctl-fioclex,portable,calibrated,pass,pass,parity
c-programs,c-programs/ioctl-siocethtool,portable,uncalibrated,-,pass,parity
c-programs,c-programs/io-uring-fallback,portable,uncalibrated,-,pass,parity
c-programs,c-programs/io-uring-ring-determinism,portable,uncalibrated,-,pass,parity
c-programs,c-programs/ipc-determinism,portable,uncalibrated,-,fail,diff
c-programs,c-programs/just-spin,portable,uncalibrated,-,pass,parity
c-programs,c-programs/kcmp-eperm,portable,calibrated,pass,pass,parity
c-programs,c-programs/keyctl-enosys,portable,calibrated,pass,pass,parity
c-programs,c-programs/keyctl-passthrough,portable,uncalibrated,-,pass,parity
c-programs,c-programs/listmount-enosys,portable,calibrated,pass,pass,parity
c-programs,c-programs/liteinst-advanced,portable,uncalibrated,-,fail,diff
c-programs,c-programs/lsm-get-self-attr-enosys,portable,uncalibrated,-,pass,parity
c-programs,c-programs/lsm-list-modules-enosys,portable,uncalibrated,-,pass,parity
c-programs,c-programs/lsm-set-self-attr-enosys,portable,uncalibrated,-,pass,parity
c-programs,c-programs/madvise-determinism,portable,uncalibrated,-,pass,diff
c-programs,c-programs/map-shadow-stack-enosys,portable,uncalibrated,-,pass,parity
c-programs,c-programs/memfd-secret-enosys,portable,uncalibrated,-,pass,parity
c-programs,c-programs/meminfo-available-deterministic,portable,uncalibrated,-,pass,parity
c-programs,c-programs/meminfo-cached-deterministic,portable,uncalibrated,-,pass,parity
