run_id,run_utc,hermit_sha,reverie_sha,dirty,run_mode,lane,bucket,test_id,test_mode,backend,cell_state,outcome,deterministic,stdout_parity,output_hash,duration_ms,max_rss_kb,reason,verify_compare,bitwise_parity,compared_log_messages,tier,legacy_parity_unqualified,ref_output_hash,parity_comparator,parity_tier,profile_flags,relaxation_set,population_id,selected_count,executed_count,evidence_count
canonical-release-ptrace-dbi,@1785608744,9429005ca04b6ae0b3d0aedbdc18969f3b770603,unknown,false,regression,portable,applications,applications/timed-progress-bar,verify,ptrace,enabled,pass,,,d8778ce336753d09dab6c6d94699898498ccbc31d6ec6b0b7b3d4bc559745b47,4345,,,stripped,,,stripped-uncounted,stdout_parity:1,,,,,"[""no-virtualize-cpuid"",""max-timeslice=disabled""]",,,,
canonical-release-ptrace-dbi,@1785608744,9429005ca04b6ae0b3d0aedbdc18969f3b770603,unknown,false,regression,portable,applications,applications/timed-progress-bar,verify,sabre,enabled,unavailable,,,,0,,backend binary not present in this checkout,,,,,,,,,,"[""no-virtualize-cpuid"",""max-timeslice=disabled""]",,,,
canonical-release-ptrace-dbi,@1785608744,9429005ca04b6ae0b3d0aedbdc18969f3b770603,unknown,false,regression,portable,c-programs,c-programs/add-key-enosys,verify,dbi,enabled,pass,,,392cdd6f142e243a9db3f8bd6d60cde54e983ffe6d072bf7ea3b03cc297cbf72,311,,,stripped,,,stripped-uncounted,stdout_parity:1,,,,,"[""no-virtualize-cpuid"",""max-timeslice=disabled""]",,,,
canonical-release-ptrace-dbi,@1785608744,9429005ca04b6ae0b3d0aedbdc18969f3b770603,unknown,false,regression,portable,c-programs,c-programs/cachestat-enosys,verify,dbi,enabled,pass,,,c99ecc14f33146eb9b4b3c76f1fd310e0b0992a23465df5ce2715ead516e565e,313,,,stripped,,,stripped-uncounted,stdout_parity:1,,,,,"[""no-virtualize-cpuid"",""max-timeslice=disabled""]",,,,
canonical-release-ptrace-dbi,@1785608744,9429005ca04b6ae0b3d0aedbdc18969f3b770603,unknown,false,regression,portable,c-programs,c-programs/futex-waitv-enosys,verify,dbi,enabled,pass,,,889b019ce9ffec65e091b4ebb00324388abe68095b3a9aebf5a6243a8d00540e,310,,,stripped,,,stripped-uncounted,stdout_parity:1,,,,,"[""no-virtualize-cpuid"",""max-timeslice=disabled""]",,,,
canonical-release-ptrace-dbi,@1785608744,9429005ca04b6ae0b3d0aedbdc18969f3b770603,unknown,false,regression,portable,c-programs,c-programs/get-robust-list-self,verify,dbi,enabled,pass,,,8a606e83612b4b4c869cfae1cd2f9f03220d7fde25cc88f10079b81f9b3423d1,311,,,stripped,,,stripped-uncounted,stdout_parity:1,,,,,"[""no-virtualize-cpuid"",""max-timeslice=disabled""]",,,,
canonical-release-ptrace-dbi,@1785608744,9429005ca04b6ae0b3d0aedbdc18969f3b770603,unknown,false,regression,portable,c-programs,c-programs/ioctl-fioclex,verify,dbi,enabled,pass,,,ed203ed9433cb973a747cbe39690fecc753e9fd7c1e7688563d6f3a154eb0d5e,310,,,stripped,,,stripped-uncounted,stdout_parity:1,,,,,"[""no-virtualize-cpuid"",""max-timeslice=disabled""]",,,,
canonical-release-ptrace-dbi,@1785608744,9429005ca04b6ae0b3d0aedbdc18969f3b770603,unknown,false,regression,portable,c-programs,c-programs/kcmp-eperm,verify,dbi,enabled,pass,,,288278193317b71ec5d15a6dcc2239918b1eea39229a8ef5eb7ae1e6b0a72cce,295,,,stripped,,,stripped-uncounted,stdout_parity:1,,,,,"[""no-virtualize-cpuid"",""max-timeslice=disabled""]",,,,
canonical-release-ptrace-dbi,@1785608744,9429005ca04b6ae0b3d0aedbdc18969f3b770603,unknown,false,regression,portable,c-programs,c-programs/keyctl-enosys,verify,dbi,enabled,pass,,,83d9f2169baa0647471ca5f2e4e1c5b73ff2d356b322b7fcdd75d5cf129a292f,303,,,stripped,,,stripped-uncounted,stdout_parity:1,,,,,"[""no-virtualize-cpuid"",""max-timeslice=disabled""]",,,,
canonical-release-ptrace-dbi,@1785608744,9429005ca04b6ae0b3d0aedbdc18969f3b770603,unknown,false,regression,portable,c-programs,c-programs/listmount-enosys,verify,dbi,enabled,pass,,,231c3dfcda497bd1b166dfb575578d2868721d30f15362cfabcad6f930e43713,311,,,stripped,,,stripped-uncounted,stdout_parity:1,,,,,"[""no-virtualize-cpuid"",""max-timeslice=disabled""]",,,,
canonical-release-ptrace-dbi,@1785608744,9429005ca04b6ae0b3d0aedbdc18969f3b770603,unknown,false,regression,portable,c-programs,c-programs/add-key-enosys,verify,ptrace,enabled,pass,,,392cdd6f142e243a9db3f8bd6d60cde54e983ffe6d072bf7ea3b03cc297cbf72,252,,,stripped,,,stripped-uncounted,stdout_parity:1,,,,,"[""no-virtualize-cpuid"",""max-timeslice=disabled""]",,,,
