applications/example-timed-progress-bar|portable|HERMITROOT/examples/timed-progress-bar.py
data-handling/archive-roundtrip|portable|HERMITROOT/tests/e2e/data-handling/archive-roundtrip.sh --run
data-handling/shell-pipeline|portable|HERMITROOT/tests/e2e/data-handling/shell-pipeline.sh --run
determinism-stress/example-race|portable|bash -c HERMITROOT/examples/race.sh
determinism-stress/process-chains|portable|HERMITROOT/tests/e2e/determinism-stress/process-chains.sh --run
determinism-stress/thread-contention|portable|HERMITROOT/tests/e2e/determinism-stress/thread-contention.sh --run
language-runtimes/bash-loop-pipe-time|portable|HERMITROOT/tests/e2e/language-runtimes/bash-loop-pipe-time.sh --run
language-runtimes/example-python-random|portable|HERMITROOT/examples/rand.py
language-runtimes/gawk-random|portable|HERMITROOT/tests/e2e/language-runtimes/gawk-random.sh --run
language-runtimes/perl-io-subprocess-time|portable|HERMITROOT/tests/e2e/language-runtimes/perl-io-subprocess-time.sh --run
language-runtimes/python-hash-determinism|portable|HERMITROOT/tests/e2e/language-runtimes/python-hash-determinism.sh --run
language-runtimes/python-io-subprocess-time|portable|HERMITROOT/tests/e2e/language-runtimes/python-io-subprocess-time.sh --run
system-utils/date-nanoseconds|portable|HERMITROOT/tests/e2e/system-utils/date-nanoseconds.sh --run
system-utils/example-date|portable|bash -c HERMITROOT/examples/date.sh
system-utils/example-devrand|portable|bash -c HERMITROOT/examples/devrand.sh
system-utils/openssl-passwd|portable|HERMITROOT/tests/e2e/system-utils/openssl-passwd.sh --run
system-utils/proc-uptime|portable|HERMITROOT/tests/e2e/system-utils/proc-uptime.sh --run
