% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 52.40    1.871328           3    525703     80150 futex
 29.25    1.044518           9    112742         1 ppoll
  7.89    0.281835           2    130886           write
  7.70    0.274855           2    112856           read
  1.67    0.059769           2     25531           writev
  0.84    0.030111         836        36           clock_nanosleep
  0.05    0.001787           9       185        43 openat
  0.05    0.001746         291         6         3 wait4
  0.04    0.001366           3       447           mmap
  0.03    0.001198          54        22        18 execve
  0.01    0.000327         109         3           clone
  0.01    0.000320           0       758           mprotect
  0.01    0.000269           1       164           close
  0.01    0.000211           0       630           madvise
  0.01    0.000208           1       146           fstat
  0.00    0.000134           1       114           brk
  0.00    0.000128           4        26           munmap
  0.00    0.000123           2        56           rt_sigprocmask
  0.00    0.000123           2        42        29 access
  0.00    0.000116           1        76        36 newfstatat
  0.00    0.000102          17         6           getdents64
  0.00    0.000094          47         2           clone3
  0.00    0.000068           1        60           rt_sigaction
  0.00    0.000045          22         2           io_uring_setup
  0.00    0.000036          12         3           faccessat2
  0.00    0.000022           1        16           lseek
  0.00    0.000020           1        16           pread64
  0.00    0.000020           6         3           pipe
  0.00    0.000020          20         1         1 seccomp
  0.00    0.000020           3         6           rseq
  0.00    0.000015           1        14         1 fcntl
  0.00    0.000013          13         1           readlink
  0.00    0.000013           1         9           set_robust_list
  0.00    0.000011           3         3           eventfd2
  0.00    0.000011           1         8           prlimit64
  0.00    0.000010           1         7           getpid
  0.00    0.000009           1         9           getgid
  0.00    0.000009           1         8         4 arch_prctl
  0.00    0.000008           0         9           getuid
  0.00    0.000008           0         9           getegid
  0.00    0.000007           0         8         8 ioctl
  0.00    0.000007           0         9           geteuid
  0.00    0.000007           3         2           memfd_create
  0.00    0.000006           2         3           rt_sigreturn
  0.00    0.000006           1         4           dup2
  0.00    0.000005           1         3           getppid
  0.00    0.000005           2         2         2 statfs
  0.00    0.000005           2         2           prctl
  0.00    0.000005           1         4           set_tid_address
  0.00    0.000004           0         6           getrandom
  0.00    0.000003           3         1           uname
  0.00    0.000003           3         1           getpgrp
  0.00    0.000003           1         2           gettid
  0.00    0.000003           3         1           sched_getaffinity
  0.00    0.000003           3         1           signalfd4
  0.00    0.000002           1         2           chdir
  0.00    0.000001           1         1           fstatfs
  0.00    0.000000           0         1           readv
  0.00    0.000000           0         4           fchdir
  0.00    0.000000           0         1           sysinfo
------ ----------- ----------- --------- --------- ------------------
100.00    3.571101           3    910679     80296 total
