trial,verdict,wall_s,turns,elapsed_vt_s,timeslices,syscalls,last_guest_ts,sleepuntil0,rc
1,BOOT_OK,338,41411,310,874,257379,1.903217,868,0
2,BOOT_OK,330,41411,310,874,257379,1.903217,868,0
3,BOOT_OK,345,41411,310,874,257379,1.903217,868,0
4,BOOT_OK,328,41411,310,874,257379,1.903217,868,0
5,BOOT_OK,331,41411,310,874,257379,1.903217,868,0
6,BOOT_OK,329,41411,310,874,257379,1.903217,868,0
7,BOOT_OK,331,41411,310,874,257379,1.903217,868,0
