guest,argv,rung,verdict,Z_commits,detlog_msgs,log_lines,exit,golden_sha256,detail
true,/bin/true,"minimal: no output, no file I/O",GOLDEN,5,68,114,0,2da55546d39ab39b13f3caa9ea9b1dee2973230a7be602942d62a0588026e964,run1 == run2 after timestamp strip
echo,/bin/echo hermit-golden,adds stdout write,GOLDEN,6,82,131,0,b9e0af10bb0a4d65b7cdaf1d5002c040a0e6bda2f89a2ac4f1ec786b2f2440a2,run1 == run2 after timestamp strip
cat-hostname,/bin/cat /etc/hostname,adds file open/read,GOLDEN,7,98,151,0,bbfbf4894078e6c738f675d5b3d5dab45082dd61a192d4dd2997612b171cc99c,run1 == run2 after timestamp strip
wc-passwd,/usr/bin/wc -l /etc/passwd,adds a small coreutil with buffered read,GOLDEN,7,92,145,0,4cff237581996f52b6a73a87f3e206741676799d8de138004fe180a2c12c64b7,run1 == run2 after timestamp strip
head-passwd,/usr/bin/head -1 /etc/passwd,adds early-exit read,GOLDEN,7,90,143,0,b050ecf96122d85ae5f40d10932dfb46da2c5bbc1f3bb5a4388dc4854983689f,run1 == run2 after timestamp strip
sh-pipeline,/bin/sh -c /bin/echo a | /usr/bin/wc -c,adds fork/exec + pipe: two guest processes,GOLDEN,30,493,661,0,9bc300902ed75b1f9df079c3fee244e4b199e9868d5e5cdb412f8c6950c35a2f,run1 == run2 after timestamp strip
sh-loop-exec,/bin/sh -c for i in 1 2 3; do /bin/echo $i; done,adds repeated fork/exec,GOLDEN,45,619,857,0,379f92ea21c2e040a00dae668e49dd5bb90ae7385793aff6c4945e879029cff7,run1 == run2 after timestamp strip
