backend-parity-c/cpuid-probe	ci_false	backend-parity-c.toml
backend-parity-c/pthread-lifecycle	ci_false	backend-parity-c.toml
chaos-c/lock-granularity	ci_false	chaos-c.toml
c-programs/acct-refusal-probe	ci_false	c-programs.toml
c-programs/add-key-enosys	ci_true	c-programs.toml
c-programs/adjtimex-deterministic	ci_false	c-programs.toml
c-programs/arch-prctl-determinism	ci_false	c-programs.toml
c-programs/bpf-enosys	ci_false	c-programs.toml
c-programs/cachestat-enosys	ci_true	c-programs.toml
c-programs/clock-adjtime-deterministic	ci_false	c-programs.toml
c-programs/copy-file-range-refusal-probe	ci_false	c-programs.toml
c-programs/dbi-copied-tiocgpgrp	ci_false	c-programs.toml
c-programs/dbi-exec-failure	ci_false	c-programs.toml
c-programs/dbi-execveat-unsupported	ci_false	c-programs.toml
c-programs/dbi-mmap-exec	ci_false	c-programs.toml
c-programs/dbi-prlimit-self	ci_false	c-programs.toml
c-programs/futex-requeue-enosys	ci_false	c-programs.toml
c-programs/futex-waitv-enosys	ci_true	c-programs.toml
c-programs/futex-wake-enosys	ci_false	c-programs.toml
c-programs/getcpu	ci_false	c-programs.toml
c-programs/getitimer-determinism-probe	ci_false	c-programs.toml
c-programs/get-robust-list-self	ci_true	c-programs.toml
c-programs/getsockopt-null	ci_false	c-programs.toml
c-programs/hello-nostdlib	ci_false	c-programs.toml
c-programs/ioctl-fioclex	ci_true	c-programs.toml
c-programs/ioctl-siocethtool	ci_false	c-programs.toml
c-programs/io-uring-fallback	ci_false	c-programs.toml
c-programs/io-uring-ring-determinism	ci_false	c-programs.toml
c-programs/just-spin	ci_false	c-programs.toml
c-programs/kcmp-eperm	ci_true	c-programs.toml
c-programs/keyctl-enosys	ci_true	c-programs.toml
c-programs/keyctl-passthrough	ci_false	c-programs.toml
c-programs/listmount-enosys	ci_true	c-programs.toml
c-programs/lsm-get-self-attr-enosys	ci_false	c-programs.toml
c-programs/lsm-list-modules-enosys	ci_false	c-programs.toml
c-programs/lsm-set-self-attr-enosys	ci_false	c-programs.toml
c-programs/map-shadow-stack-enosys	ci_false	c-programs.toml
c-programs/memfd-secret-enosys	ci_false	c-programs.toml
c-programs/meminfo-available-deterministic	ci_false	c-programs.toml
c-programs/meminfo-cached-deterministic	ci_false	c-programs.toml
c-programs/meminfo-free-deterministic	ci_false	c-programs.toml
c-programs/memorypress	ci_false	c-programs.toml
c-programs/mmap-stress-determinism	ci_false	c-programs.toml
c-programs/name-to-handle-at-eopnotsupp	ci_false	c-programs.toml
c-programs/name-to-handle-directory-eopnotsupp	ci_false	c-programs.toml
c-programs/name-to-handle-empty-path-eopnotsupp	ci_false	c-programs.toml
c-programs/name-to-handle-regular-eopnotsupp	ci_false	c-programs.toml
c-programs/nanosleep-par	ci_false	c-programs.toml
c-programs/nanosleep-threads-nocrash	ci_false	c-programs.toml
c-programs/netns-cookie-tcp4	ci_false	c-programs.toml
