experiment,regime,arm,n,threads,rep,wall_s,rc,note
exp2,par,native,200000,4,1,0.426,0,
exp2,k1,runsc-systrap,200000,4,1,1.962,0,
exp2,par,runsc-systrap,200000,4,1,1.083,0,
exp2,k1,runsc-ptrace,200000,4,1,2.468,0,
exp2,par,runsc-ptrace,200000,4,1,2.048,0,
exp2,k1,runsc-kvm,200000,4,1,1.400,0,
exp2,par,runsc-kvm,200000,4,1,0.827,0,
exp2,k1,hermit-ptrace,200000,4,1,8.385,0,
exp2,par,hermit-ptrace,200000,4,1,8.430,0,
exp2,k1,hermit-dbi,200000,4,1,1.134,0,
exp2,par,hermit-dbi,200000,4,1,0.906,0,
exp2,k1,hermit-sabre,200000,4,1,14.572,0,
exp2,par,hermit-sabre,200000,4,1,14.305,0,
exp2,k1,hermit-liteinst,200000,4,1,1.524,1,FAILED-rc1-no-result
exp2,par,hermit-liteinst,200000,4,1,0.547,1,FAILED-rc1-no-result
exp2,k1,hermit-e9patch,200000,4,1,14.230,0,
exp2,par,hermit-e9patch,200000,4,1,8.702,0,
exp2,k1,native,200000,4,2,0.430,0,
exp2,par,native,200000,4,2,0.433,0,
exp2,k1,runsc-systrap,200000,4,2,1.493,0,
exp2,par,runsc-systrap,200000,4,2,0.773,0,
exp2,k1,runsc-ptrace,200000,4,2,2.740,0,
exp2,par,runsc-ptrace,200000,4,2,1.392,0,
exp2,k1,runsc-kvm,200000,4,2,0.968,0,
exp2,par,runsc-kvm,200000,4,2,0.726,0,
exp2,k1,hermit-ptrace,200000,4,2,9.006,0,
exp2,par,hermit-ptrace,200000,4,2,103.139,0,
exp2,k1,hermit-dbi,200000,4,2,0.782,0,
exp2,par,hermit-dbi,200000,4,2,0.773,0,
exp2,k1,hermit-sabre,200000,4,2,13.372,0,
exp2,par,hermit-sabre,200000,4,2,13.469,0,
exp2,k1,hermit-liteinst,200000,4,2,1.224,1,FAILED-rc1-no-result
exp2,par,hermit-liteinst,200000,4,2,0.853,1,FAILED-rc1-no-result
exp2,k1,hermit-e9patch,200000,4,2,11.346,0,
exp2,par,hermit-e9patch,200000,4,2,8.615,0,
exp2,k1,native,200000,4,3,0.437,0,
exp2,par,native,200000,4,3,0.548,0,
exp2,k1,runsc-systrap,200000,4,3,1.470,0,
exp2,par,runsc-systrap,200000,4,3,0.774,0,
exp2,k1,runsc-ptrace,200000,4,3,2.717,0,
exp2,par,runsc-ptrace,200000,4,3,1.354,0,
exp2,k1,runsc-kvm,200000,4,3,0.940,0,
exp2,par,runsc-kvm,200000,4,3,0.746,0,
exp2,k1,hermit-ptrace,200000,4,3,8.653,0,
exp2,par,hermit-ptrace,200000,4,3,8.999,0,
exp2,k1,hermit-dbi,200000,4,3,1.044,0,
exp2,par,hermit-dbi,200000,4,3,1.003,0,
exp2,k1,hermit-sabre,200000,4,3,13.717,0,
exp2,par,hermit-sabre,200000,4,3,13.695,0,
exp2,k1,hermit-liteinst,200000,4,3,1.350,1,FAILED-rc1-no-result
exp2,par,hermit-liteinst,200000,4,3,0.605,1,FAILED-rc1-no-result
exp2,k1,hermit-e9patch,200000,4,3,9.097,0,
exp2,par,hermit-e9patch,200000,4,3,10.951,0,
exp2,k1,native,200000,4,4,0.586,0,
exp2,par,native,200000,4,4,0.404,0,
exp2,k1,runsc-systrap,200000,4,4,1.369,0,
exp2,par,runsc-systrap,200000,4,4,0.770,0,
exp2,k1,runsc-ptrace,200000,4,4,2.659,0,
exp2,par,runsc-ptrace,200000,4,4,1.359,0,
exp2,k1,runsc-kvm,200000,4,4,0.883,0,
exp2,par,runsc-kvm,200000,4,4,0.872,0,
exp2,k1,hermit-ptrace,200000,4,4,8.451,0,
exp2,par,hermit-ptrace,200000,4,4,9.252,0,
exp2,k1,hermit-dbi,200000,4,4,0.819,0,
exp2,par,hermit-dbi,200000,4,4,0.799,0,
exp2,k1,hermit-sabre,200000,4,4,13.305,0,
exp2,par,hermit-sabre,200000,4,4,13.693,0,
exp2,k1,hermit-liteinst,200000,4,4,0.652,1,FAILED-rc1-no-result
exp2,par,hermit-liteinst,200000,4,4,0.684,1,FAILED-rc1-no-result
exp2,k1,hermit-e9patch,200000,4,4,9.086,0,
exp2,par,hermit-e9patch,200000,4,4,8.880,0,
exp2,k1,native,200000,4,5,0.684,0,
exp2,par,native,200000,4,5,0.528,0,
exp2,k1,runsc-systrap,200000,4,5,1.627,0,
exp2,par,runsc-systrap,200000,4,5,1.598,0,
exp2,k1,runsc-ptrace,200000,4,5,2.796,0,
exp2,par,runsc-ptrace,200000,4,5,1.345,0,
exp2,k1,runsc-kvm,200000,4,5,1.764,0,
exp2,par,runsc-kvm,200000,4,5,0.723,0,
