cell_id,kind,path,host_readable,verify_rc,verified,bitwise_parity,verify_strictness,guest_exit_code,content_run1_rc,content_run2_rc,content_equal,stdout_sha256,stdout_bytes,host_sha256,host_bytes,guest_equals_host,status
41,InodeState,/proc/sys/fs/inode-state,true,0,true,false,stripped,0,0,0,true,219725e780bac723d7787826c94140998ebcf9be7ba15e3fc89100de0c3120e2,14,650a66c34508329874181470a4fbc8e5666ac87a2c62a03135e079ea175f3f63,27,false,PASS_STRIPPED_VERIFY_EXACT_STDOUT
42,Protocols,/proc/net/protocols,true,0,true,false,stripped,0,0,0,true,9d33be132e46de75295cb2ccc1968ee886f2a75549fbf001854432ac1347899b,1408,d20426b008d8e06c397029b86361116f4421a7d2bcdadeb1df52e8cb37d06d75,2302,false,PASS_STRIPPED_VERIFY_EXACT_STDOUT
43,BtrfsBytesReserved,/sys/fs/btrfs/8f04786e-948c-451b-b8dd-45cb6f158670/allocation/data/bytes_reserved,true,0,true,false,stripped,0,0,0,true,9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa,2,8b6dd57c3754ed1a75a20343c24d5e506f8b246bdb3c986ca75920a7aae7169d,10,false,PASS_STRIPPED_VERIFY_EXACT_STDOUT
44,BtrfsBytesPinned,/sys/fs/btrfs/8f04786e-948c-451b-b8dd-45cb6f158670/allocation/data/bytes_pinned,true,0,true,false,stripped,0,0,0,true,9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa,2,9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa,2,true,PASS_STRIPPED_VERIFY_EXACT_STDOUT
45,Rtc,/proc/driver/rtc,true,0,true,false,stripped,0,0,0,true,63472f829415869c7f6d8c123b0d71e3f12093369b23c9e806b1f9c0a862d94e,352,a53895762780915c50f5f04b0a596d7823eb6b033c0d70860f5127aea4c90e55,359,false,PASS_STRIPPED_VERIFY_EXACT_STDOUT
46,DentryState,/proc/sys/fs/dentry-state,true,0,true,false,stripped,0,0,0,true,6e57a9a816c75bf4e31396617fc8d78ba873daa5a50f577ef9c80c4c0ceae200,13,ef6618f838d2e03b79d793156106e72887f6c0db1056d16654ef020aeb16ed7c,30,false,PASS_STRIPPED_VERIFY_EXACT_STDOUT
47,Mountinfo,/proc/self/mountinfo,true,0,true,false,stripped,0,0,0,true,7e5dd4e4a3c5a19531926dbea6d878dc1833a1d4d97247edb2933346f79cf9c4,14198,d5bb4c9448cf61654fe2c6f4ce9d96911b9f9dab805164460094b49ec72ee81d,13417,false,PASS_STRIPPED_VERIFY_EXACT_STDOUT
48,RandomUuid,/proc/sys/kernel/random/uuid,true,0,true,false,stripped,0,0,0,true,55f711a97201ed8fdff8767c43ec72c20f874c818092841d2935527e57f4f4cf,37,2f48734f447b31bac7bd540f864f3417dcf21625da0d40ad048dab610de71502,37,false,PASS_STRIPPED_VERIFY_EXACT_STDOUT
49,Swaps,/proc/swaps,true,0,true,false,stripped,0,0,0,true,2eb6fe3599603934e098c9991e3311dce2d5b56e6ea5d07121cbdb2a326b4496,119,b28ffd85a90ec07aff83715604fcaf5b4621ffcaa645d0e648acb139710058bc,171,false,PASS_STRIPPED_VERIFY_EXACT_STDOUT
50,Locks,/proc/locks,true,0,true,false,stripped,0,0,0,true,6e0fd0b1dfcc80e42ae0764c67fc7e17a9fd29629cfa85bfdf843f4148f15cb9,40,aed1a8830a8a805e62c3148f308c0bf73abedca57fda8e5f4cb0f269d9cc26c3,7881,false,PASS_STRIPPED_VERIFY_EXACT_STDOUT
51,ThpCounter,/sys/kernel/mm/transparent_hugepage/hugepages-1024kB/stats/anon_fault_alloc,true,0,true,false,stripped,0,0,0,true,9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa,2,9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa,2,true,PASS_STRIPPED_VERIFY_EXACT_STDOUT
52,NodeVmstat,/sys/devices/system/node/node0/vmstat,true,0,true,false,stripped,0,0,0,true,662206303fddcca322953936fee21640f18052c72a51bb74274b51ee26c34760,1356,d1043b233f93acd55ab44373bf8391da8226b2c6df80dc57d76c9b719422b8df,1631,false,PASS_STRIPPED_VERIFY_EXACT_STDOUT
53,CppcFeedback,/sys/devices/system/cpu/cpu0/acpi_cppc/feedback_ctrs,true,0,true,false,stripped,0,0,0,true,59df2f3186b8360be63665e4a82a031181c6f7b4ffbd9b58042558d7d27c5f8f,12,9d417a96d42273bc18487c429d883003e6ae15f2545826d8f788cee4972b4c29,38,false,PASS_STRIPPED_VERIFY_EXACT_STDOUT
54,UnixSockets,/proc/net/unix,true,0,true,false,stripped,0,0,0,true,10cd1f13c4d39c10123c28c25b075c75e0d3205c4a6ccf2783cd6c6c746e8d21,166,fc8c3e1328486be95f57f77992bfafc91d1e97a3505aca57a2027019f57f3ed1,2802265,false,PASS_STRIPPED_VERIFY_EXACT_STDOUT
55,BtrfsCommitStats,/sys/fs/btrfs/8f04786e-948c-451b-b8dd-45cb6f158670/commit_stats,true,0,true,false,stripped,0,0,0,true,08a887f051ee4b68d5f04e00a4b918902c39fb6a9dbc35a39ddd2ad5ee483af5,77,84d9e2294c45e4107acda48bd8fd6207a55e2bf5643fbc76a8ebbeffa9941383,87,false,PASS_STRIPPED_VERIFY_EXACT_STDOUT
56,SysfsRtcDate,/sys/class/rtc/rtc0/date,true,0,true,false,stripped,0,0,0,true,b24fce046c860c8c0c8aeb80d5d5cb7bb0c131dcfe3c063b9c5ac243884ef55b,11,c1bf08fb731ef7cf7c1d027fb7b2477c727ff44b396a7f0f76ec6ae85326239b,11,false,PASS_STRIPPED_VERIFY_EXACT_STDOUT
57,SysfsRtcTime,/sys/class/rtc/rtc0/time,true,0,true,false,stripped,0,0,0,true,a3089c20e1c33938cc09007fa1e6b4c51d9147b1f7fa4126f92a3d6ef5d13ff8,9,953b9491897238b3132912ccc183cf8ff2e26e1e0a69d9ef9a79a9c0924526eb,9,false,PASS_STRIPPED_VERIFY_EXACT_STDOUT
58,SysfsRtcEpoch,/sys/class/rtc/rtc0/since_epoch,true,0,true,false,stripped,0,0,0,true,842a7afbc2ad90fcf04fdd1f081c10c18218e36efb584e12e6c2a5b0ba589549,11,6e54ef6017ba3b5b193e50a039da719dbbf15b7625d8484471a08513dea0ce4e,11,false,PASS_STRIPPED_VERIFY_EXACT_STDOUT
59,NetlinkSockets,/proc/net/netlink,true,0,true,false,stripped,0,0,0,true,9da439b00ffd1d113f1a8587ee6ac21fa41ad6be97d0dae057bc9e23d242c7ec,472,983815246d40dbc38be126aac6331cd32406f2c9fd14c45695ab30da1b08aaba,17899,false,PASS_STRIPPED_VERIFY_EXACT_STDOUT
60,IrqPerCpuCount,/sys/kernel/irq/0/per_cpu_count,true,0,true,false,stripped,0,0,0,true,1407a05b6f26d141120faf8bb8e1a7aaf7c645b71bb38b0cea128cebb70e978b,632,0abb89a835cfdc079db067cccd8e47ebb98f0ab3417cb7bc6644f301e2879f1f,634,false,PASS_STRIPPED_VERIFY_EXACT_STDOUT
61,InterruptCounters,/proc/interrupts,true,0,true,false,stripped,0,0,0,true,ddc56b3a20ad90c472d659d0f5cc7833456afd02dc22c6b8d5203f9ccda003e2,531098,6340753df5b105055820e753eb0df74aeff138cbbd5dd5b27bce2c7eb0f24238,2740257,false,PASS_STRIPPED_VERIFY_EXACT_STDOUT
62,Modules,/proc/modules,true,0,true,false,stripped,0,0,0,true,e87865242ba2289ab37fa806b4792903c84f55a94ca32cf6d12c953e8881d446,1971,7997eeed5579a8e76037981afd5970f44193ccc7c3ae2dea7df36655790e07ec,1973,false,PASS_STRIPPED_VERIFY_EXACT_STDOUT
63,ModuleRefcnt,/sys/module/8021q/refcnt,true,0,true,false,stripped,0,0,0,true,9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa,2,9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa,2,true,PASS_STRIPPED_VERIFY_EXACT_STDOUT
64,UeventSeqnum,/sys/kernel/uevent_seqnum,true,0,true,false,stripped,0,0,0,true,9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa,2,876e3605730c1ff9dc94b297e7f904b567065eda9d3a750d30ea1fa2a71bd6e6,6,false,PASS_STRIPPED_VERIFY_EXACT_STDOUT
65,BtrfsBytesMayUse,/sys/fs/btrfs/8f04786e-948c-451b-b8dd-45cb6f158670/allocation/data/bytes_may_use,true,0,true,false,stripped,0,0,0,true,9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa,2,66758275f6ba17028cbf6b4c13ed7bb66ab21e7cde998e54f626044b72cc3773,7,false,PASS_STRIPPED_VERIFY_EXACT_STDOUT
66,BlockInflight,/sys/block/loop0/inflight,true,0,true,false,stripped,0,0,0,true,0ccdb5a77ba5bf7687f2565a8ed97dfb9c1af45503c496fb646312239fab5101,4,181c04cc664c00772b82ec300bf74addca41dc6cb377068298a25e109f016c6f,18,false,PASS_STRIPPED_VERIFY_EXACT_STDOUT
67,Vmstat,/proc/vmstat,true,0,true,false,stripped,0,0,0,true,a4c84f0275b2ff77f739fd2bd1f747e5c808ca8dec80f3f0e1c742beab2a2d36,3841,488c47296d001d78d04e039e413e4eb61955337d1f607e558b8d6e535f6fb67f,4547,false,PASS_STRIPPED_VERIFY_EXACT_STDOUT
