cell_id	kind	path
1	Stat	/proc/self/stat
2	Status	/proc/self/status
3	ThreadStat	/proc/thread-self/stat
4	ThreadStatus	/proc/thread-self/status
5	ProcessStat	/proc/1/stat
6	Statm	/proc/self/statm
7	ProcessStatus	/proc/1/status
8	SystemStat	/proc/stat
9	Cpuinfo	/proc/cpuinfo
10	Diskstats	/proc/diskstats
11	Loadavg	/proc/loadavg
12	ProcessIo	/proc/self/io
13	Uptime	/proc/uptime
14	Meminfo	/proc/meminfo
15	BlockStat	/sys/block/loop0/stat
16	NodeMeminfo	/sys/devices/system/node/node0/meminfo
17	NodeNumastat	/sys/devices/system/node/node0/numastat
18	HwmonInput	/sys/class/hwmon/hwmon0/temp1_input
19	ScalingCurFreq	/sys/devices/system/cpu/cpufreq/policy0/scaling_cur_freq
20	Sockstat	/proc/net/sockstat
21	PtyNr	/proc/sys/kernel/pty/nr
22	SelfSched	/proc/self/sched
23	Fdinfo	/proc/self/fdinfo/1
24	AioNr	/proc/sys/fs/aio-nr
25	AioMaxNr	/proc/sys/fs/aio-max-nr
26	NumaMaps	/proc/self/numa_maps
27	SmapsRollup	/proc/self/smaps_rollup
28	ArchStatus	/proc/self/arch_status
29	CpuidleCounter	/sys/devices/system/cpu/cpu0/cpuidle/state0/above
30	Smaps	/proc/self/smaps
31	KeyUsers	/proc/key-users
32	Pressure	/proc/pressure/cpu
33	Buddyinfo	/proc/buddyinfo
34	Schedstat	/proc/schedstat
35	SelfSchedstat	/proc/self/schedstat
36	SoftnetStat	/proc/net/softnet_stat
37	FileNr	/proc/sys/fs/file-nr
38	FileMax	/proc/sys/fs/file-max
39	Zoneinfo	/proc/zoneinfo
40	InodeNr	/proc/sys/fs/inode-nr
41	InodeState	/proc/sys/fs/inode-state
42	Protocols	/proc/net/protocols
43	BtrfsBytesReserved	/sys/fs/btrfs/8f04786e-948c-451b-b8dd-45cb6f158670/allocation/data/bytes_reserved
44	BtrfsBytesPinned	/sys/fs/btrfs/8f04786e-948c-451b-b8dd-45cb6f158670/allocation/data/bytes_pinned
45	Rtc	/proc/driver/rtc
46	DentryState	/proc/sys/fs/dentry-state
47	Mountinfo	/proc/self/mountinfo
48	RandomUuid	/proc/sys/kernel/random/uuid
49	Swaps	/proc/swaps
50	Locks	/proc/locks
51	ThpCounter	/sys/kernel/mm/transparent_hugepage/hugepages-1024kB/stats/anon_fault_alloc
52	NodeVmstat	/sys/devices/system/node/node0/vmstat
53	CppcFeedback	/sys/devices/system/cpu/cpu0/acpi_cppc/feedback_ctrs
54	UnixSockets	/proc/net/unix
55	BtrfsCommitStats	/sys/fs/btrfs/8f04786e-948c-451b-b8dd-45cb6f158670/commit_stats
56	SysfsRtcDate	/sys/class/rtc/rtc0/date
57	SysfsRtcTime	/sys/class/rtc/rtc0/time
58	SysfsRtcEpoch	/sys/class/rtc/rtc0/since_epoch
59	NetlinkSockets	/proc/net/netlink
60	IrqPerCpuCount	/sys/kernel/irq/0/per_cpu_count
61	InterruptCounters	/proc/interrupts
62	Modules	/proc/modules
63	ModuleRefcnt	/sys/module/8021q/refcnt
64	UeventSeqnum	/sys/kernel/uevent_seqnum
65	BtrfsBytesMayUse	/sys/fs/btrfs/8f04786e-948c-451b-b8dd-45cb6f158670/allocation/data/bytes_may_use
66	BlockInflight	/sys/block/loop0/inflight
67	Vmstat	/proc/vmstat
