variant,so_sha8,N,rep,rc,user_s,sys_s,cpu_s,direct_hook,ptrace_installation
A,4b5e1ffe,100000,2,0,0.06,0.1,0.16,100001,0
A,4b5e1ffe,100000,3,0,0.06,0.09,0.15,100001,0
A,4b5e1ffe,100000,4,0,0.06,0.09,0.15,100001,0
A,4b5e1ffe,100000,5,0,0.07,0.09,0.16,100001,0
A,4b5e1ffe,100000,6,0,0.05,0.1,0.15,100001,0
A,4b5e1ffe,2000000,2,0,1.23,0.41,1.64,2000001,0
A,4b5e1ffe,2000000,3,0,1.26,0.38,1.64,2000001,0
A,4b5e1ffe,2000000,4,0,1.28,0.36,1.64,2000001,0
A,4b5e1ffe,2000000,5,0,1.62,0.57,2.19,2000001,0
A,4b5e1ffe,2000000,6,0,1.65,0.54,2.19,2000001,0
D,2c1af97c,100000,2,0,0.46,0.13,0.59,100001,0
D,2c1af97c,100000,3,0,0.44,0.14,0.58,100001,0
D,2c1af97c,100000,4,0,0.46,0.13,0.59,100001,0
D,2c1af97c,100000,5,0,0.45,0.13,0.58,100001,0
D,2c1af97c,100000,6,0,0.45,0.13,0.58,100001,0
D,2c1af97c,2000000,2,0,7.19,0.57,7.76,2000001,0
D,2c1af97c,2000000,3,0,5.68,0.49,6.17,2000001,0
D,2c1af97c,2000000,4,0,5.82,0.56,6.38,2000001,0
D,2c1af97c,2000000,5,0,5.66,0.5,6.16,2000001,0
D,2c1af97c,2000000,6,0,5.71,0.45,6.16,2000001,0
native,-,100000,2,0,0.0,0.0,0.0,-,-
native,-,100000,3,0,0.0,0.0,0.0,-,-
native,-,100000,4,0,0.0,0.0,0.0,-,-
native,-,100000,5,0,0.0,0.0,0.0,-,-
native,-,100000,6,0,0.0,0.0,0.0,-,-
native,-,2000000,2,0,0.06,0.08,0.14,-,-
native,-,2000000,3,0,0.05,0.1,0.15,-,-
native,-,2000000,4,0,0.06,0.08,0.14,-,-
native,-,2000000,5,0,0.07,0.07,0.14,-,-
native,-,2000000,6,0,0.05,0.09,0.14,-,-
