cell,backend,corpus,guest_source,tier,Z,E,selfdet,selfdet_runs,selfdet_pairs,selfdet_differing_pairs,golden_selfdet,Y_raw,cover_raw,uncovered_raw,inserted_raw,Y_hex,cover_hex,uncovered_hex,inserted_hex,cover_hex_pct,inherited,engagement,matrix_sample_selfdet,note
detlog_syscalls,e9patch,ci-hub/parity pinned reference guest,ci-hub/parity/guests/detlog_syscalls.c,not-exercised,336,336,0/3 pairs differing over 3 runs,3,3,0,0/3 pairs differing over 3 runs,,,,,,,,,,"INHERITED from the attached ptrace runtime — e9patch is ELF preprocessing, not a backend; its determinism is the ptracer's",candidate_sites=0; mapped_sites=0; b0_sites=0; instruction_map_cache=Hit; rewrite_cache=not-applicable; artifact_sha256=none,,the backend ran but its own witness says it transformed nothing; any agreement here belongs to the fallback path
detlog_syscalls,liteinst,ci-hub/parity pinned reference guest,ci-hub/parity/guests/detlog_syscalls.c,self-nondeterministic,336,1074,2 outcome classes over 30 runs (17|13),3,3,0,0/3 pairs differing over 3 runs,,,,,,,,,,,preload_refs=3,0/3 pairs differing over 3 runs,"OVERRIDE: this matrix's own 3-run sample read 0/3 pairs differing, but a 30-run measurement at this same binary found 2 outcome classes. The minority class is 13/30, so a 3-run sample misses it about 60% of the time. Differing records are exactly the 32 clock_gettime(CLOCK_MONOTONIC) records at a constant 6720 ns = 672 RCB offset. See experiments/liteinst-detlog-parity_20260807."
heap_fragment_reuse,ptrace,ci-hub/parity pinned reference guest,ci-hub/parity/guests/heap_fragment_reuse.c,byte-identical,98,98,0/3 pairs differing over 3 runs,3,3,0,0/3 pairs differing over 3 runs,98,98,0,0,98,98,0,0,100.0,,reference,,
heap_fragment_reuse,kvm,ci-hub/parity pinned reference guest,ci-hub/parity/guests/heap_fragment_reuse.c,diverges,98,98,0/3 pairs differing over 3 runs,3,3,0,0/3 pairs differing over 3 runs,6,42,56,56,9,86,12,12,87.8,,launching guest through reverie-kvm,,
heap_fragment_reuse,dbi,ci-hub/parity pinned reference guest,ci-hub/parity/guests/heap_fragment_reuse.c,self-nondeterministic,98,96,3/3 pairs differing over 3 runs,3,3,3,0/3 pairs differing over 3 runs,,,,,,,,,,,"Detcore Tool active; running ""./pg/heap_fragment_reuse"" unde",,parity WITHHELD: a stream that differs from itself cannot be said to differ from the golden by a definite amount
heap_fragment_reuse,sabre,ci-hub/parity pinned reference guest,ci-hub/parity/guests/heap_fragment_reuse.c,diverges,98,81,0/3 pairs differing over 3 runs,3,3,0,0/3 pairs differing over 3 runs,4,6,92,75,4,19,79,62,19.4,,ptrace_fallback_sites=0 trusted_shared_object_sites=0 guest_rpc_observed=true,,
heap_fragment_reuse,e9patch,ci-hub/parity pinned reference guest,ci-hub/parity/guests/heap_fragment_reuse.c,not-exercised,98,98,0/3 pairs differing over 3 runs,3,3,0,0/3 pairs differing over 3 runs,,,,,,,,,,"INHERITED from the attached ptrace runtime — e9patch is ELF preprocessing, not a backend; its determinism is the ptracer's",candidate_sites=0; mapped_sites=0; b0_sites=0; instruction_map_cache=Hit; rewrite_cache=not-applicable; artifact_sha256=none,,the backend ran but its own witness says it transformed nothing; any agreement here belongs to the fallback path
heap_fragment_reuse,liteinst,ci-hub/parity pinned reference guest,ci-hub/parity/guests/heap_fragment_reuse.c,diverges,98,836,0/3 pairs differing over 3 runs,3,3,0,0/3 pairs differing over 3 runs,6,28,70,808,10,51,47,785,52.0,,preload_refs=3,,
stack_deep_recursion,ptrace,ci-hub/parity pinned reference guest,ci-hub/parity/guests/stack_deep_recursion.c,byte-identical,80,80,0/3 pairs differing over 3 runs,3,3,0,0/3 pairs differing over 3 runs,80,80,0,0,80,80,0,0,100.0,,reference,,
stack_deep_recursion,kvm,ci-hub/parity pinned reference guest,ci-hub/parity/guests/stack_deep_recursion.c,diverges,80,80,0/3 pairs differing over 3 runs,3,3,0,0/3 pairs differing over 3 runs,6,24,56,56,9,68,12,12,85.0,,launching guest through reverie-kvm,,
stack_deep_recursion,dbi,ci-hub/parity pinned reference guest,ci-hub/parity/guests/stack_deep_recursion.c,self-nondeterministic,80,78,3/3 pairs differing over 3 runs,3,3,3,0/3 pairs differing over 3 runs,,,,,,,,,,,"Detcore Tool active; running ""./pg/stack_deep_recursion"" und",,parity WITHHELD: a stream that differs from itself cannot be said to differ from the golden by a definite amount
stack_deep_recursion,sabre,ci-hub/parity pinned reference guest,ci-hub/parity/guests/stack_deep_recursion.c,diverges,80,63,0/3 pairs differing over 3 runs,3,3,0,0/3 pairs differing over 3 runs,4,6,74,57,4,8,72,55,10.0,,ptrace_fallback_sites=0 trusted_shared_object_sites=0 guest_rpc_observed=true,,
stack_deep_recursion,e9patch,ci-hub/parity pinned reference guest,ci-hub/parity/guests/stack_deep_recursion.c,not-exercised,80,80,0/3 pairs differing over 3 runs,3,3,0,0/3 pairs differing over 3 runs,,,,,,,,,,"INHERITED from the attached ptrace runtime — e9patch is ELF preprocessing, not a backend; its determinism is the ptracer's",candidate_sites=0; mapped_sites=0; b0_sites=0; instruction_map_cache=Hit; rewrite_cache=not-applicable; artifact_sha256=none,,the backend ran but its own witness says it transformed nothing; any agreement here belongs to the fallback path
stack_deep_recursion,liteinst,ci-hub/parity pinned reference guest,ci-hub/parity/guests/stack_deep_recursion.c,diverges,80,818,0/3 pairs differing over 3 runs,3,3,0,0/3 pairs differing over 3 runs,6,21,59,797,10,39,41,779,48.8,,preload_refs=3,,
stdout_bytes,ptrace,ci-hub/parity pinned reference guest,ci-hub/parity/guests/stdout_bytes.c,byte-identical,82,82,0/3 pairs differing over 3 runs,3,3,0,0/3 pairs differing over 3 runs,82,82,0,0,82,82,0,0,100.0,,reference,,
stdout_bytes,kvm,ci-hub/parity pinned reference guest,ci-hub/parity/guests/stdout_bytes.c,diverges,82,82,0/3 pairs differing over 3 runs,3,3,0,0/3 pairs differing over 3 runs,6,26,56,56,9,70,12,12,85.4,,launching guest through reverie-kvm,,
stdout_bytes,dbi,ci-hub/parity pinned reference guest,ci-hub/parity/guests/stdout_bytes.c,self-nondeterministic,82,80,3/3 pairs differing over 3 runs,3,3,3,0/3 pairs differing over 3 runs,,,,,,,,,,,"Detcore Tool active; running ""./pg/stdout_bytes"" under Dynam",,parity WITHHELD: a stream that differs from itself cannot be said to differ from the golden by a definite amount
stdout_bytes,sabre,ci-hub/parity pinned reference guest,ci-hub/parity/guests/stdout_bytes.c,diverges,82,65,0/3 pairs differing over 3 runs,3,3,0,0/3 pairs differing over 3 runs,4,6,76,59,4,9,73,56,11.0,,ptrace_fallback_sites=0 trusted_shared_object_sites=0 guest_rpc_observed=true,,
stdout_bytes,e9patch,ci-hub/parity pinned reference guest,ci-hub/parity/guests/stdout_bytes.c,not-exercised,82,82,0/3 pairs differing over 3 runs,3,3,0,0/3 pairs differing over 3 runs,,,,,,,,,,"INHERITED from the attached ptrace runtime — e9patch is ELF preprocessing, not a backend; its determinism is the ptracer's",candidate_sites=0; mapped_sites=0; b0_sites=0; instruction_map_cache=Hit; rewrite_cache=not-applicable; artifact_sha256=none,,the backend ran but its own witness says it transformed nothing; any agreement here belongs to the fallback path
stdout_bytes,liteinst,ci-hub/parity pinned reference guest,ci-hub/parity/guests/stdout_bytes.c,diverges,82,820,0/3 pairs differing over 3 runs,3,3,0,0/3 pairs differing over 3 runs,6,21,61,799,10,40,42,780,48.8,,preload_refs=3,,
bin_true,ptrace,system binary,/bin/true,byte-identical,68,68,0/3 pairs differing over 3 runs,3,3,0,0/3 pairs differing over 3 runs,68,68,0,0,68,68,0,0,100.0,,reference,,
bin_true,kvm,system binary,/bin/true,diverges,68,68,0/3 pairs differing over 3 runs,3,3,0,0/3 pairs differing over 3 runs,5,15,53,53,5,55,13,13,80.9,,launching guest through reverie-kvm,,
bin_true,dbi,system binary,/bin/true,self-nondeterministic,68,68,3/3 pairs differing over 3 runs,3,3,3,0/3 pairs differing over 3 runs,,,,,,,,,,,"Detcore Tool active; running ""/bin/true"" under DynamoRIO",,parity WITHHELD: a stream that differs from itself cannot be said to differ from the golden by a definite amount
bin_true,sabre,system binary,/bin/true,diverges,68,47,0/3 pairs differing over 3 runs,3,3,0,0/3 pairs differing over 3 runs,4,5,63,42,4,5,63,42,7.4,,ptrace_fallback_sites=0 trusted_shared_object_sites=0 guest_rpc_observed=true,,
bin_true,e9patch,system binary,/bin/true,not-exercised,68,68,0/3 pairs differing over 3 runs,3,3,0,0/3 pairs differing over 3 runs,,,,,,,,,,"INHERITED from the attached ptrace runtime — e9patch is ELF preprocessing, not a backend; its determinism is the ptracer's",candidate_sites=0; mapped_sites=0; b0_sites=0; instruction_map_cache=Hit; rewrite_cache=not-applicable; artifact_sha256=none,,the backend ran but its own witness says it transformed nothing; any agreement here belongs to the fallback path
bin_true,liteinst,system binary,/bin/true,diverges,68,804,0/3 pairs differing over 3 runs,3,3,0,0/3 pairs differing over 3 runs,6,19,49,785,10,36,32,768,52.9,,preload_refs=3,,
bin_echo,ptrace,system binary,/bin/echo,byte-identical,84,84,0/3 pairs differing over 3 runs,3,3,0,0/3 pairs differing over 3 runs,84,84,0,0,84,84,0,0,100.0,,reference,,
bin_echo,kvm,system binary,/bin/echo,diverges,84,84,0/3 pairs differing over 3 runs,3,3,0,0/3 pairs differing over 3 runs,5,20,64,64,5,69,15,15,82.1,,launching guest through reverie-kvm,,
bin_echo,dbi,system binary,/bin/echo,self-nondeterministic,84,82,3/3 pairs differing over 3 runs,3,3,3,0/3 pairs differing over 3 runs,,,,,,,,,,,"Detcore Tool active; running ""/bin/echo"" under DynamoRIO",,parity WITHHELD: a stream that differs from itself cannot be said to differ from the golden by a definite amount
bin_echo,sabre,system binary,/bin/echo,diverges,84,67,0/3 pairs differing over 3 runs,3,3,0,0/3 pairs differing over 3 runs,4,8,76,59,4,12,72,55,14.3,,ptrace_fallback_sites=0 trusted_shared_object_sites=0 guest_rpc_observed=true,,
bin_echo,e9patch,system binary,/bin/echo,not-exercised,84,84,0/3 pairs differing over 3 runs,3,3,0,0/3 pairs differing over 3 runs,,,,,,,,,,"INHERITED from the attached ptrace runtime — e9patch is ELF preprocessing, not a backend; its determinism is the ptracer's",candidate_sites=0; mapped_sites=0; b0_sites=0; instruction_map_cache=Hit; rewrite_cache=not-applicable; artifact_sha256=none,,the backend ran but its own witness says it transformed nothing; any agreement here belongs to the fallback path
bin_echo,liteinst,system binary,/bin/echo,diverges,84,814,0/3 pairs differing over 3 runs,3,3,0,0/3 pairs differing over 3 runs,6,23,61,791,10,44,40,770,52.4,,preload_refs=3,,
