backend,guest,tier,extra_flags,rc_a,rc_b,stdout_same,exit_same,lines_a,lines_b,divergent_lines,caught
liteinst,clean_ctrl,INFO,-,1,1,same,same,10,10,0,missed
liteinst,clean_ctrl,INFO_DETLOG,-,1,1,same,same,4,4,0,missed
liteinst,clean_ctrl,DEBUG,-,1,1,same,same,37,37,11,CAUGHT
liteinst,clean_ctrl,HEAP,--detlog-heap,1,1,same,same,4,4,0,missed
liteinst,clean_ctrl,STACK,--detlog-stack,1,1,same,same,4,4,0,missed
liteinst,mut_stdout,INFO,-,1,1,same,same,10,10,0,missed
liteinst,mut_stdout,INFO_DETLOG,-,1,1,same,same,4,4,0,missed
liteinst,mut_stdout,DEBUG,-,1,1,same,same,37,37,12,CAUGHT
liteinst,mut_stdout,HEAP,--detlog-heap,1,1,same,same,4,4,0,missed
liteinst,mut_stdout,STACK,--detlog-stack,1,1,same,same,4,4,0,missed
liteinst,mut_exit,INFO,-,1,1,same,same,10,10,0,missed
liteinst,mut_exit,INFO_DETLOG,-,1,1,same,same,4,4,0,missed
liteinst,mut_exit,DEBUG,-,1,1,same,same,37,37,11,CAUGHT
liteinst,mut_exit,HEAP,--detlog-heap,1,1,same,same,4,4,0,missed
liteinst,mut_exit,STACK,--detlog-stack,1,1,same,same,4,4,0,missed
liteinst,mut_detlog_only,INFO,-,1,1,same,same,10,10,0,missed
liteinst,mut_detlog_only,INFO_DETLOG,-,1,1,same,same,4,4,0,missed
liteinst,mut_detlog_only,DEBUG,-,1,1,same,same,37,37,11,CAUGHT
liteinst,mut_detlog_only,HEAP,--detlog-heap,1,1,same,same,4,4,0,missed
liteinst,mut_detlog_only,STACK,--detlog-stack,1,1,same,same,4,4,0,missed
liteinst,mut_addr,INFO,-,1,1,same,same,10,10,0,missed
liteinst,mut_addr,INFO_DETLOG,-,1,1,same,same,4,4,0,missed
liteinst,mut_addr,DEBUG,-,1,1,same,same,37,37,11,CAUGHT
liteinst,mut_addr,HEAP,--detlog-heap,1,1,same,same,4,4,0,missed
liteinst,mut_addr,STACK,--detlog-stack,1,1,same,same,4,4,0,missed
liteinst,mut_path,INFO,-,1,1,same,same,10,10,0,missed
liteinst,mut_path,INFO_DETLOG,-,1,1,same,same,4,4,0,missed
liteinst,mut_path,DEBUG,-,1,1,same,same,37,37,11,CAUGHT
liteinst,mut_path,HEAP,--detlog-heap,1,1,same,same,4,4,0,missed
liteinst,mut_path,STACK,--detlog-stack,1,1,same,same,4,4,0,missed
