backend,guest,tier,extra_flags,rc_a,rc_b,stdout_same,exit_same,lines_a,lines_b,divergent_lines,caught
liteinst,clean_ctrl,INFO,-,0,0,same,same,911,911,0,missed
liteinst,clean_ctrl,INFO_DETLOG,-,0,0,same,same,821,821,0,missed
liteinst,clean_ctrl,DEBUG,-,0,0,same,same,1569,1569,12,CAUGHT
liteinst,clean_ctrl,HEAP,--detlog-heap,0,0,same,same,1175,1175,315,CAUGHT
liteinst,clean_ctrl,STACK,--detlog-stack,0,0,same,same,1228,1228,297,CAUGHT
liteinst,mut_stdout,INFO,-,0,0,DIFF,same,921,921,1,CAUGHT
liteinst,mut_stdout,INFO_DETLOG,-,0,0,DIFF,same,829,829,1,CAUGHT
liteinst,mut_stdout,DEBUG,-,0,0,DIFF,same,1587,1587,13,CAUGHT
liteinst,mut_stdout,HEAP,--detlog-heap,0,0,DIFF,same,1187,1187,320,CAUGHT
liteinst,mut_stdout,STACK,--detlog-stack,0,0,DIFF,same,1240,1240,302,CAUGHT
liteinst,mut_exit,INFO,-,1,2,same,DIFF,921,921,2,CAUGHT
liteinst,mut_exit,INFO_DETLOG,-,1,2,same,DIFF,829,829,2,CAUGHT
liteinst,mut_exit,DEBUG,-,1,2,same,DIFF,1587,1587,15,CAUGHT
liteinst,mut_exit,HEAP,--detlog-heap,1,2,same,DIFF,1187,1187,321,CAUGHT
liteinst,mut_exit,STACK,--detlog-stack,1,2,same,DIFF,1240,1240,303,CAUGHT
liteinst,mut_detlog_only,INFO,-,0,0,same,same,929,929,2,CAUGHT
liteinst,mut_detlog_only,INFO_DETLOG,-,0,0,same,same,835,835,2,CAUGHT
liteinst,mut_detlog_only,DEBUG,-,0,0,same,same,1604,1604,14,CAUGHT
liteinst,mut_detlog_only,HEAP,--detlog-heap,0,0,same,same,1196,1196,324,CAUGHT
liteinst,mut_detlog_only,STACK,--detlog-stack,0,0,same,same,1249,1249,305,CAUGHT
liteinst,mut_addr,INFO,-,0,0,same,same,924,924,4,CAUGHT
liteinst,mut_addr,INFO_DETLOG,-,0,0,same,same,831,831,3,CAUGHT
liteinst,mut_addr,DEBUG,-,0,0,same,same,1595,1595,17,CAUGHT
liteinst,mut_addr,HEAP,--detlog-heap,0,0,same,same,1190,1190,323,CAUGHT
liteinst,mut_addr,STACK,--detlog-stack,0,0,same,same,1243,1243,305,CAUGHT
liteinst,mut_path,INFO,-,0,0,same,same,927,927,3,CAUGHT
liteinst,mut_path,INFO_DETLOG,-,0,0,same,same,833,833,3,CAUGHT
liteinst,mut_path,DEBUG,-,0,0,same,same,1600,1600,13,CAUGHT
liteinst,mut_path,HEAP,--detlog-heap,0,0,same,same,1193,1193,324,CAUGHT
liteinst,mut_path,STACK,--detlog-stack,0,0,same,same,1246,1246,306,CAUGHT
