config	seed	exit	sig12	scanlines	elapsed_ms
chaos_pts_r10	27	0	a45095499c2b	1	424
chaos_pts_r10	28	0	231ff295a410	1	447
chaos_pts_r10	29	0	a45095499c2b	1	217
chaos_pts_r10	30	0	a45095499c2b	1	419
chaos_pts_r10	31	0	231ff295a410	1	241
chaos_pts_r10	32	0	a45095499c2b	1	275
chaos_pts_r10	33	0	a45095499c2b	1	419
chaos_pts_r10	34	0	231ff295a410	1	621
chaos_pts_r10	35	0	a45095499c2b	1	420
chaos_pts_r10	36	0	a45095499c2b	1	218
chaos_pts_r10	37	0	a45095499c2b	1	217
chaos_pts_r10	38	0	231ff295a410	1	217
chaos_pts_r10	39	0	231ff295a410	1	218
chaos_pts_r10	40	0	a45095499c2b	1	419
chaos_pts_r100	1	0	231ff295a410	1	217
chaos_pts_r100	2	0	231ff295a410	1	218
chaos_pts_r100	3	0	231ff295a410	1	218
chaos_pts_r100	4	0	231ff295a410	1	419
chaos_pts_r100	5	0	a45095499c2b	1	421
chaos_pts_r100	6	0	a45095499c2b	1	422
chaos_pts_r100	7	0	231ff295a410	1	1063
chaos_pts_r100	8	0	231ff295a410	1	419
chaos_pts_r100	9	0	a45095499c2b	1	442
chaos_pts_r100	10	0	231ff295a410	1	419
chaos_pts_r100	11	0	a45095499c2b	1	418
chaos_pts_r100	12	0	231ff295a410	1	217
chaos_pts_r100	13	0	231ff295a410	1	218
chaos_pts_r100	14	0	231ff295a410	1	420
chaos_pts_r100	15	0	231ff295a410	1	218
chaos_pts_r100	16	0	a45095499c2b	1	218
chaos_pts_r100	17	0	231ff295a410	1	218
chaos_pts_r100	18	0	a45095499c2b	1	419
chaos_pts_r100	19	0	231ff295a410	1	218
chaos_pts_r100	20	0	231ff295a410	1	217
chaos_pts_r100	21	0	a45095499c2b	1	620
chaos_pts_r100	22	0	a45095499c2b	1	419
chaos_pts_r100	23	0	a45095499c2b	1	218
chaos_pts_r100	24	0	a45095499c2b	1	419
chaos_pts_r100	25	0	a45095499c2b	1	217
chaos_pts_r100	26	0	a45095499c2b	1	419
chaos_pts_r100	27	0	a45095499c2b	1	218
chaos_pts_r100	28	0	231ff295a410	1	419
chaos_pts_r100	29	0	a45095499c2b	1	421
chaos_pts_r100	30	0	a45095499c2b	1	628
chaos_pts_r100	31	0	231ff295a410	1	511
chaos_pts_r100	32	0	a45095499c2b	1	217
chaos_pts_r100	33	0	a45095499c2b	1	419
chaos_pts_r100	34	0	231ff295a410	1	419
chaos_pts_r100	35	0	a45095499c2b	1	419
chaos_pts_r100	36	0	a45095499c2b	1	419
chaos_pts_r100	37	0	a45095499c2b	1	218
chaos_pts_r100	38	0	231ff295a410	1	419
chaos_pts_r100	39	0	231ff295a410	1	217
chaos_pts_r100	40	0	a45095499c2b	1	419
chaos_pts_r10_ts1e4	1	0	bb7cae6629e0	1	420
chaos_pts_r10_ts1e4	2	0	a45095499c2b	1	219
chaos_pts_r10_ts1e4	3	0	a45095499c2b	1	419
chaos_pts_r10_ts1e4	4	0	d61b2b6eaebd	1	419
chaos_pts_r10_ts1e4	5	0	a45095499c2b	1	218
chaos_pts_r10_ts1e4	6	0	663994f0dfc8	1	420
chaos_pts_r10_ts1e4	7	0	a45095499c2b	1	218
chaos_pts_r10_ts1e4	8	0	e7d01a93a8e1	1	621
chaos_pts_r10_ts1e4	9	0	a45095499c2b	1	217
chaos_pts_r10_ts1e4	10	0	a45095499c2b	1	419
chaos_pts_r10_ts1e4	11	0	8edea25d087f	1	419
chaos_pts_r10_ts1e4	12	0	a59c648b027a	1	218
chaos_pts_r10_ts1e4	13	0	19dc18217708	1	419
chaos_pts_r10_ts1e4	14	0	615632140aca	1	422
chaos_pts_r10_ts1e4	15	0	a45095499c2b	1	420
chaos_pts_r10_ts1e4	16	0	c60a11893d83	1	419
chaos_pts_r10_ts1e4	17	0	3ad1d88600a4	1	419
chaos_pts_r10_ts1e4	18	0	c24576a17636	1	420
chaos_pts_r10_ts1e4	19	0	bc8a0728593f	1	419
chaos_pts_r10_ts1e4	20	0	d0bf99ce285c	1	420
chaos_pts_r10_ts1e4	21	0	90b604dd3c77	1	419
chaos_pts_r10_ts1e4	22	0	6c7e43f0567f	1	419
chaos_pts_r10_ts1e4	23	0	a45095499c2b	1	419
chaos_pts_r10_ts1e4	24	0	6b00862a69c9	1	420
chaos_pts_r10_ts1e4	25	0	91fb4e124485	1	419
chaos_pts_r10_ts1e4	26	0	a085fd9145ab	1	419
chaos_pts_r10_ts1e4	27	0	5939ed856aad	1	420
chaos_pts_r10_ts1e4	28	0	c145c53e0723	1	419
chaos_pts_r10_ts1e4	29	0	a45095499c2b	1	419
chaos_pts_r10_ts1e4	30	0	ea5be98ecf10	1	419
chaos_pts_r10_ts1e4	31	0	a45095499c2b	1	420
chaos_pts_r10_ts1e4	32	0	a45095499c2b	1	218
chaos_pts_r10_ts1e4	33	0	a45095499c2b	1	419
chaos_pts_r10_ts1e4	34	0	a45095499c2b	1	218
chaos_pts_r10_ts1e4	35	0	43a927a0969e	1	429
chaos_pts_r10_ts1e4	36	0	66005ab6b272	1	676
chaos_pts_r10_ts1e4	37	0	a45095499c2b	1	634
chaos_pts_r10_ts1e4	38	0	683263a446e6	1	558
chaos_pts_r10_ts1e4	39	0	a45095499c2b	1	419
chaos_pts_r10_ts1e4	40	0	aaaf714769c8	1	419
chaos_plain_ts1e4	1	0	b89053f3e4b7	1	420
chaos_plain_ts1e4	2	0	fb35a6481a3c	1	420
chaos_plain_ts1e4	3	0	7afcc076446e	1	420
chaos_plain_ts1e4	4	0	da19559bb738	1	420
chaos_plain_ts1e4	5	0	5d18c2bea99d	1	419
chaos_plain_ts1e4	6	0	bdcbaca28581	1	419
chaos_plain_ts1e4	7	0	666c4ea67431	1	419
chaos_plain_ts1e4	8	0	1644b5a2031f	1	419
chaos_plain_ts1e4	9	0	49b52d0446a5	1	218
chaos_plain_ts1e4	10	0	fb35a6481a3c	1	419
chaos_plain_ts1e4	11	0	aaf65aad18df	1	419
chaos_plain_ts1e4	12	0	a0fe96e960a9	1	419
chaos_plain_ts1e4	13	0	1bafce5b42cc	1	420
chaos_plain_ts1e4	14	0	3529e1ffc859	1	419
chaos_plain_ts1e4	15	0	5b6bd4b3ad04	1	419
chaos_plain_ts1e4	16	0	fb35a6481a3c	1	432
chaos_plain_ts1e4	17	0	3232ffc37f12	1	422
