t_s,mem_current_bytes,cpu_usage_usec,inst_cores
466,101253120,1212774256,1.06
468,132317184,1214985370,1.11
470,101715968,1217211306,1.11
472,76996608,1219435547,1.11
474,101203968,1221689478,1.13
476,186408960,1224027880,1.17
478,217817088,1226036982,1.00
480,147845120,1228090603,1.03
482,208003072,1230170552,1.04
484,209784832,1232337820,1.08
486,197091328,1234532282,1.10
488,137830400,1237219679,1.34
490,114364416,1239281713,1.03
493,141660160,1241684347,0.80
495,146419712,1243907479,1.11
497,117420032,1246319604,1.21
499,28184576,1248331913,1.01
501,28233728,1250437391,1.05
503,27357184,1252588871,1.08
505,44294144,1255052079,1.23
507,89124864,1257307296,1.13
509,89137152,1259419399,1.06
511,79745024,1261544465,1.06
513,105222144,1264039897,1.25
515,87498752,1266792316,1.38
517,89800704,1268901255,1.05
519,89776128,1270991146,1.04
521,89800704,1273094308,1.05
523,82530304,1275181845,1.04
525,89784320,1277281999,1.05
527,79724544,1279390324,1.05
