label,cpuset,jobs,wall_s,peak_rss_mb,exit_code,timestamp_unix
full316,all,8,175,4367,0,1785722764
full316,all,16,132,5930,0,1785722898
full316,all,32,108,10886,0,1785723007
full316,all,64,104,16333,0,1785723113
full316,all,128,42,13356,101,1785723156
full316,all,316,66,8984,101,1785723222
cpuset4,0-3,4,641,2704,0,1785723864
cpuset4,0-3,8,403,4281,101,1785724268
cpuset4,0-3,16,641,7277,0,1785724910
cpuset4,0-3,64,269,7623,101,1785725181
