fixture,build,native_hash,ptrace_hash,verdict
ftruncate_sparse,ok,76c5fee24eed9369,76c5fee24eed9369,NOT-EXERCISED
getrusage_self_accounting,ok,f187066612effdec,4d98c4d61c782f7a,EXERCISED
inotify_watch,ok,fcd5db20335a6661,fcd5db20335a6661,NOT-EXERCISED
ioctl_fionread,ok,33dba87d8f28c665,33dba87d8f28c665,NOT-EXERCISED
kcmp_refusal,ok,9a3e86d9cbefaf19,19165f32eb90ae87,EXERCISED
linkat_flags,ok,1274f27bfbf3f977,1274f27bfbf3f977,NOT-EXERCISED
lseek_positioning,ok,c7c67fa1595b44b2,c7c67fa1595b44b2,NOT-EXERCISED
mce_kill_policy,ok,e3b0c44298fc1c14,4d6a4c5d2a3e1bfd,EXERCISED
membarrier_query,ok,ec64ca0cc413da9d,f1759a2507225563,EXERCISED
memfd_create,ok,c86a3818cb69a50b,c86a3818cb69a50b,NOT-EXERCISED
mempolicy_default,ok,121054d132f130f9,121054d132f130f9,NOT-EXERCISED
mincore_residency,ok,9f61e1e6b6fa1a5a,09f4a192a6bcf682,EXERCISED
mkdir_rmdir,ok,0199853773fc8508,0199853773fc8508,NOT-EXERCISED
mknod_special,ok,e7c80e2659aa8308,e7c80e2659aa8308,NOT-EXERCISED
msync_writeback,ok,93bfa64171b00d2b,93bfa64171b00d2b,NOT-EXERCISED
name_to_handle,ok,e3b0c44298fc1c14,376e8155ec096ce9,EXERCISED
no_new_privs_refusal,ok,41f02b05acc73d61,4c42259797f1bf03,EXERCISED
openat2_refusal,ok,060f48b83f071fc8,41e7f8dc6b3719c4,EXERCISED
openat_flags,ok,c044d67b6195f6c1,c044d67b6195f6c1,NOT-EXERCISED
o_tmpfile_anon,ok,cbf7c806a65fdb47,cbf7c806a65fdb47,NOT-EXERCISED
path_file_ops,ok,dab29b8d0edcd7c3,dab29b8d0edcd7c3,NOT-EXERCISED
personality_domain,ok,b1b688638ea21113,b1b688638ea21113,NOT-EXERCISED
pidfd_open_self,ok,6743bf0fecf532fc,6743bf0fecf532fc,NOT-EXERCISED
pid_probe,ok,a7b9b9e5c9cfe368,342cc5c394f2bfe9,EXERCISED
pipe2_flags,ok,32ae4a531423c6c7,32ae4a531423c6c7,NOT-EXERCISED
pipe_capacity,ok,4fff0fa0cde60fd4,4fff0fa0cde60fd4,NOT-EXERCISED
pipe_ipc,ok,d57a3ae0bb1491c9,d57a3ae0bb1491c9,NOT-EXERCISED
