cell_id,backend,verdict,tier,golden_rc,backend_rc,detail
backend-parity-c/cpuid-probe,dbi,DIVERGES,L0,1,0,exit 0 vs golden 1: reverie-dbi: tool=Detcore branches=22785 syscalls=37 rewritten=36 stdin_reads=0 memory_hash=8173631d3d2fe092
backend-parity-c/mempolicy-default,dbi,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; dbi rewritten=40 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/mincore-residency,dbi,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; dbi rewritten=46 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/mkdir-rmdir,dbi,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; dbi rewritten=49 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/mknod-special,dbi,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; dbi rewritten=51 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/msync-writeback,dbi,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; dbi rewritten=48 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/name-to-handle-refusal,dbi,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; dbi rewritten=38 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/no-new-privs-refusal,dbi,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; dbi rewritten=39"
backend-parity-c/openat-flags,dbi,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; dbi rewritten=58 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/openat2-refusal,dbi,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; dbi rewritten=39 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/path-file-ops,dbi,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; dbi rewritten=53 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/pid-probe,dbi,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; dbi rewritten=37"
backend-parity-c/pipe-ipc,dbi,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; dbi rewritten=45"
backend-parity-c/pipe2-flags,dbi,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; dbi rewritten=64 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/poll-readiness,dbi,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; dbi rewritten=49 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/prctl-pdeathsig,dbi,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; dbi rewritten=42"
backend-parity-c/preadv2-flags,dbi,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; dbi rewritten=46 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/pthread-lifecycle,dbi,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; dbi rewritten=71"
backend-parity-c/readdir-entries,dbi,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; dbi rewritten=60 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/rename-ops,dbi,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; dbi rewritten=62 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/renameat2-flags,dbi,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; dbi rewritten=67 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/robust-list,dbi,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; dbi rewritten=39 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/seccomp-refusal,dbi,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; dbi rewritten=38 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/sendfile-copy,dbi,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; dbi rewritten=54 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/set-tid-address,dbi,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; dbi rewritten=40 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/shutdown-socketpair,dbi,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; dbi rewritten=47"
backend-parity-c/signalfd-create,dbi,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; dbi rewritten=42 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/socket-options,dbi,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; dbi rewritten=51"
backend-parity-c/socketpair-flags,dbi,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; dbi rewritten=45 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/sockname-unnamed,dbi,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; dbi rewritten=42"
backend-parity-c/statfs-free-determinism,dbi,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; dbi rewritten=40"
backend-parity-c/statx-metadata,dbi,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; dbi rewritten=45 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/symlink-ops,dbi,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; dbi rewritten=57 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/sync-file-range,dbi,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; dbi rewritten=45 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/sysv-ipc-refusal,dbi,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; dbi rewritten=39"
backend-parity-c/thp-disable,dbi,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; dbi rewritten=40"
backend-parity-c/umask-mode,dbi,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; dbi rewritten=53 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/utimensat-determinism,dbi,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; dbi rewritten=46 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/vectored-file-io,dbi,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; dbi rewritten=49 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/vectored-io,dbi,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; dbi rewritten=43"
backend-parity-c/pipe-ipc,sabre,DIVERGES,L0,0,1,exit 1 vs golden 0: read: Unknown error 512
backend-parity-c/aio-refusal,sabre,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; sabre guest_rpc_observed=true ptrace_fallback_sites=0 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/append-pwrite,sabre,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; sabre guest_rpc_observed=true ptrace_fallback_sites=0"
backend-parity-c/bind-getsockname,sabre,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; sabre guest_rpc_observed=true ptrace_fallback_sites=0"
backend-parity-c/cachestat-refusal,sabre,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; sabre guest_rpc_observed=true ptrace_fallback_sites=0 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/child-subreaper-refusal,sabre,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; sabre guest_rpc_observed=true ptrace_fallback_sites=0"
backend-parity-c/close-range-fds,sabre,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; sabre guest_rpc_observed=true ptrace_fallback_sites=0 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/copy-file-range-refusal,sabre,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; sabre guest_rpc_observed=true ptrace_fallback_sites=0 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/cpu-virtualization,sabre,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; sabre guest_rpc_observed=true ptrace_fallback_sites=0 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/dup-shared-offset,sabre,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; sabre guest_rpc_observed=true ptrace_fallback_sites=0 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/epoll-pwait2,sabre,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; sabre guest_rpc_observed=true ptrace_fallback_sites=0 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/epoll-readiness,sabre,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; sabre guest_rpc_observed=true ptrace_fallback_sites=0"
backend-parity-c/eventfd-semantics,sabre,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; sabre guest_rpc_observed=true ptrace_fallback_sites=0"
backend-parity-c/faccessat2-flags,sabre,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; sabre guest_rpc_observed=true ptrace_fallback_sites=0 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
