bucket,test_id,backend,absence_class,outcome,deterministic,stdout_parity,reason
applications,applications/example-timed-progress-bar,dbi,measured,pass,1,1,
applications,applications/timed-progress-bar,dbi,reference-unusable-verify,diverge,0,,dbi-verify-fail-exit1
backend-parity-c,backend-parity-c/cpuid-probe,dbi,measured,pass,1,1,
backend-parity-c,backend-parity-c/pid-probe,dbi,measured,pass,1,1,
backend-parity-c,backend-parity-c/pthread-lifecycle,dbi,measured,pass,1,1,
bin-c,bin-c/posix-timer-test,dbi,measured,pass,1,1,
bin-c,bin-c/robust-futex-test,dbi,reference-unusable-verify,timeout,0,,dbi-verify-timeout-120s
c-programs,c-programs/acct-refusal-probe,dbi,measured,pass,1,1,
c-programs,c-programs/add-key-enosys,dbi,measured,pass,1,1,
c-programs,c-programs/adjtimex-deterministic,dbi,measured,pass,1,1,
c-programs,c-programs/arch-prctl-determinism,dbi,measured,diverge,0,0,dbi-verify-fail-exit40
c-programs,c-programs/bpf-enosys,dbi,measured,pass,1,1,
c-programs,c-programs/cachestat-enosys,dbi,measured,pass,1,1,
c-programs,c-programs/clock-adjtime-deterministic,dbi,measured,pass,1,1,
c-programs,c-programs/clone,dbi,measured,pass,1,1,
c-programs,c-programs/copy-file-range-refusal-probe,dbi,measured,pass,1,1,
c-programs,c-programs/dbi-copied-tiocgpgrp,dbi,measured,pass,1,1,
c-programs,c-programs/dbi-exec-failure,dbi,measured,pass,1,1,
c-programs,c-programs/dbi-execveat-unsupported,dbi,measured,pass,1,0,
c-programs,c-programs/dbi-mmap-exec,dbi,measured,pass,1,1,
c-programs,c-programs/dbi-pid-virtualization,dbi,reference-unusable-runleg,pass,1,,
c-programs,c-programs/dbi-prlimit-self,dbi,measured,pass,1,1,
c-programs,c-programs/dbi-self-sigqueue,dbi,measured,pass,1,1,
c-programs,c-programs/dbi-unsupported-syscall,dbi,measured,diverge,0,0,dbi-verify-fail-exit101
c-programs,c-programs/dbi-wait-lifecycle,dbi,reference-unusable-verify,pass,1,,
c-programs,c-programs/epoll-determinism,dbi,reference-unusable-verify,diverge,0,,dbi-verify-fail-exit2
c-programs,c-programs/fp-reduction-nondeterminism,dbi,measured,timeout,0,0,dbi-verify-timeout-120s
c-programs,c-programs/futex-requeue-enosys,dbi,measured,pass,1,1,
c-programs,c-programs/futex-waitv-enosys,dbi,measured,pass,1,1,
c-programs,c-programs/futex-wake-enosys,dbi,measured,pass,1,1,
c-programs,c-programs/get-robust-list-child,dbi,measured,diverge,0,0,dbi-verify-fail-exit1
c-programs,c-programs/get-robust-list-self,dbi,measured,pass,1,1,
c-programs,c-programs/get-robust-list-thread,dbi,measured,pass,1,1,
c-programs,c-programs/getcpu,dbi,measured,pass,1,1,
c-programs,c-programs/getitimer-determinism-probe,dbi,measured,pass,1,1,
c-programs,c-programs/getsockopt-null,dbi,measured,pass,1,1,
c-programs,c-programs/hello-alarm,dbi,measured,pass,1,1,
c-programs,c-programs/hello-nostdlib,dbi,measured,pass,1,1,
c-programs,c-programs/hello-signals,dbi,measured,pass,1,1,
c-programs,c-programs/io-uring-fallback,dbi,measured,pass,1,1,
c-programs,c-programs/io-uring-ring-determinism,dbi,measured,pass,1,1,
c-programs,c-programs/ioctl-fioclex,dbi,measured,pass,1,1,
c-programs,c-programs/ioctl-siocethtool,dbi,measured,pass,1,1,
c-programs,c-programs/ipc-determinism,dbi,reference-unusable-verify,diverge,0,,dbi-verify-fail-exit2
c-programs,c-programs/just-spin,dbi,measured,pass,1,1,
c-programs,c-programs/kcmp-eperm,dbi,measured,pass,1,1,
c-programs,c-programs/keyctl-enosys,dbi,measured,pass,1,1,
c-programs,c-programs/keyctl-passthrough,dbi,measured,pass,1,1,
c-programs,c-programs/listmount-enosys,dbi,measured,pass,1,1,
c-programs,c-programs/liteinst-advanced,dbi,reference-unusable-verify,diverge,0,,dbi-verify-fail-exit2
c-programs,c-programs/lsm-get-self-attr-enosys,dbi,measured,pass,1,1,
c-programs,c-programs/lsm-list-modules-enosys,dbi,measured,pass,1,1,
c-programs,c-programs/lsm-set-self-attr-enosys,dbi,measured,pass,1,1,
c-programs,c-programs/madvise-determinism,dbi,measured,pass,1,1,
c-programs,c-programs/map-shadow-stack-enosys,dbi,measured,pass,1,1,
c-programs,c-programs/memfd-secret-enosys,dbi,measured,pass,1,1,
c-programs,c-programs/meminfo-available-deterministic,dbi,measured,pass,1,1,
c-programs,c-programs/meminfo-cached-deterministic,dbi,measured,pass,1,1,
c-programs,c-programs/meminfo-free-deterministic,dbi,measured,pass,1,1,
c-programs,c-programs/memorypress,dbi,measured,pass,1,1,
c-programs,c-programs/mmap-determinism,dbi,reference-unusable-verify,diverge,0,,dbi-verify-fail-exit2
c-programs,c-programs/mmap-stress-determinism,dbi,measured,pass,1,1,
c-programs,c-programs/name-to-handle-at-eopnotsupp,dbi,measured,pass,1,1,
c-programs,c-programs/name-to-handle-directory-eopnotsupp,dbi,measured,pass,1,1,
