mode,ghc_rts_flags,jN,run,aggregate_sha256
native,default,8,1,8c3f6ad22dd3ad6134ef6f5469455fa77807aca41c10fde46286c5fb707c7bdb
native,default,8,2,06b4a9c8dbea51a29c63f622562f92ac61f447629d45148064f6f33dd8bc2d1a
native,default,8,3,c704bbe4d78b6d2a95409b0dc18482d55235ea3320cc2b9c1bb5c0a556c7d34c
native,-C0,8,1,eacd093495deffa19a47a4b73f9879ec532df5c8d888f3c9586f644521f17251
native,-C0,8,2,79f998e28dc9b2a90fadaf7a44ab9eb34633b62b92fdc3f16695e22fda1ce99b
native,-C0,8,3,fc1ffbdc4bf21c669f0a4866a07c06955cf9a86f81b0a673f6f26675e3e3e761
native,-N8,8,1,22d6793b62de11b5c546e2adf5cc99d3dc10c11140ecad62fd717d5dec82e81b
native,-N8,8,2,29aea41963c112140ddc2bd78833fdabae75f8f35c0b4cd6ac7e584b3997704f
native,-N8,8,3,0dfbc3a26355f786e1d48232aaf0f1885a45378bcaa637de01fd85716e583157
hermit,default,8,1,ca6fa50b674a871ae9379f5085f1d1f1ecb73c0a09f01975bddce25a582c0797
hermit,default,8,2,32931f06d818f7cc8934d8c75d022b9072deeac72e08e93c81f17fc205903dcf
hermit,default,8,3,0ca0599ede351c29292a02f7e3dd2d75604345a48602b5d70c1cd13642cc5799
hermit,-C0,8,1,e6037a6c158a39bd0ca90587e864fba22a7440d4c67dfc4e549ba1279797589f
hermit,-C0,8,2,e6037a6c158a39bd0ca90587e864fba22a7440d4c67dfc4e549ba1279797589f
hermit,-C0,8,3,e6037a6c158a39bd0ca90587e864fba22a7440d4c67dfc4e549ba1279797589f
hermit,-N8,8,1,85c14be11255306e88d4e7f3e555769d5f2b5f956f67c7d1c9be4304b6d76a6f
hermit,-N8,8,2,6ba64e55d4650b126ff85ece6c4de1a55482c3322f9188f311cdd12a8c58f284
hermit,-N8,8,3,f678c23e597801a8ac6c617c661631124de16b33915fc27c00add9b2352f8331
