package,source_version,root,executor,artifact_sha256,hermit_sha256,utc
nano,2.2.6-1,hermit-a,hermit,c66652b758cb47e749415535df1acf806e2eb5c148a6a20db936745f0f8da6ad,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T03:27:29Z
dos2unix,6.0-1,native-n2,native,ed97963fd6178fa02281b04aa878392ce8dd7575f2711f3453a5f4a0a16c0e59,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T03:27:30Z
units,1.88-1,hermit-b,hermit,5d903062c9f09b30e4de289432f96f92c56b55d6fcf80571df06e5d052584b70,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T03:27:50Z
time,1.7-24,hermit-a,hermit,8a326be779a3cdd65de68cb644e4461b11ff712e8b403daa34c7f30ab73a2dc1,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T03:28:26Z
grep,2.12-2,hermit-a,hermit,31299bee29d551ded8b4b147877a24f5c37a128b0620330f1485ddd0c6005059,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T03:28:39Z
dos2unix,6.0-1,hermit-a,hermit,a5293c8048a13d3713be3bfcd71ec912a6d4531f7f90a2207e2d379f5e2659ee,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T03:29:04Z
wdiff,1.1.2-1,native-n1,native,6b5fd55cc576d17099b095439b1b3f816e785e2222dfb7292d82fa45f42101cd,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T03:29:12Z
wdiff,1.1.2-1,native-n2,native,8d71b23e404c45c5c98876f34b03a6e558e6d26f947c61ed016105a2036add0d,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T03:29:36Z
time,1.7-24,hermit-b,hermit,b9fb54e3c20877a7b33f22e801f330d106b2346742b79fc5b92925c4a8dc5fb4,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T03:29:49Z
dos2unix,6.0-1,hermit-b,hermit,a5293c8048a13d3713be3bfcd71ec912a6d4531f7f90a2207e2d379f5e2659ee,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T03:30:13Z
bzip2,1.0.6-4,native-n1,native,b9a5c5f75d418d15df56c21545b2c084a6ea030cc31ab44a1510be06579f8706,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T03:31:09Z
bzip2,1.0.6-4,native-n2,native,3e19b720c417799189a9f4326728aa6219645b018f1d2b89763832e1cb581d40,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T03:31:22Z
indent,2.2.11-2,native-n1,native,b7665a6545d69923f06368c10a5adb4fd66276b7a4839970bbc8e8af2d639e37,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T03:31:26Z
indent,2.2.11-2,native-n2,native,1f9de2c2ce93125c2f218d6d1311c96292625abea64e1c450b1c063b22910c07,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T03:31:39Z
nano,2.2.6-1,hermit-b,hermit,7000efa1847228d634bb737a948f5240e41251d3d9a4fa07d937a245fd6ae63c,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T03:32:14Z
zip,3.0-6,native-n1,native,04281ee5ef42e8d019a08248784d2fd389dc44b7712587242383196f88a0f0ce,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T03:33:06Z
zip,3.0-6,native-n2,native,a4f36d4b1fdc543d382b0b38f20747b71523b2dfddd6c47782487dcf15134f77,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T03:33:15Z
indent,2.2.11-2,hermit-a,hermit,b0616174b73043307b3ecace64ab32ffeae7685a90b93b7e308fde51d1534478,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T03:33:46Z
wdiff,1.1.2-1,hermit-a,hermit,112507ab0ff7602e636eb3193f228d92a4a270a8f710bb633bcae3acc73d9c6f,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T03:36:07Z
indent,2.2.11-2,hermit-b,hermit,22c57faa535aba6cafcc717edcb7b0a28169954b7835ac074e6327e8d6a7bcca,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T03:36:39Z
grep,2.12-2,hermit-b,hermit,6eb7c65f5580864911b7bdf9ae0b5e21d33659069544a5430f0a603b8b9494c2,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T03:37:03Z
zip,3.0-6,hermit-a,hermit,38b333bbf161ff051b3d1cf7eda5bcbe7ea25df1a891200c3a177eae94cf24cd,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T03:37:24Z
bzip2,1.0.6-4,hermit-a,hermit,d35fd1532cdb6656922d216f4618493e83870399f861d20244e52b07d39eb33e,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T03:38:09Z
zip,3.0-6,hermit-b,hermit,38b333bbf161ff051b3d1cf7eda5bcbe7ea25df1a891200c3a177eae94cf24cd,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T03:40:40Z
wdiff,1.1.2-1,hermit-b,hermit,9dcb911dbe29e06a6ed4cf60576884e0f0f87edff99f6b79f6af325045386fb3,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T03:41:11Z
bzip2,1.0.6-4,hermit-b,hermit,d35fd1532cdb6656922d216f4618493e83870399f861d20244e52b07d39eb33e,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T03:44:40Z
bzip2,1.0.6-4,hermit-norcb-a,hermit-norcb,23239631e9a5fa2b8b9b0cb2ee8d6fa1f45b14fb1bd2ef1bb3f430809eb387ca,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T05:30:42Z
