package      n1_hit     n2_hit     guest_visible_build_dir
bridge-utils no         no         (none found)
bsdmainutils no         no         (none found)
bzip2        no         no         (none found)
cgdb         no         no         (none found)
dialog       no         no         (none found)
dos2unix     no         no         (none found)
ed           no         no         (none found)
figlet       no         no         (none found)
file         no         no         (none found)
grep         no         no         (none found)
groff        no         no         /work/build/src/libs/libgroff/errarg.cpp
hdparm       no         no         /work/build
hostname     no         no         (none found)
indent       no         no         (none found)
moreutils    no         no         (none found)
nano         no         no         (none found)
ngrep        no         no         (none found)
psmisc       no         no         (none found)
pv           no         no         (none found)
sipcalc      no         no         (none found)
strace       no         no         (none found)
sysfsutils   no         no         (none found)
time         no         no         (none found)
tree         no         no         (none found)
units        no         no         (none found)
wdiff        no         no         (none found)
whois        no         no         (none found)
zip          no         no         (none found)
