mode,backend,n_verify,verify_ok,verify_rcs,n_detlog,detlog_rcs,stdout_distinct,self_detlog_maxdiff,residual_maxdiff,filecontents_ids
iov-edge,ptrace,3,3,0,5,0,1,0,0,0
iov-edge,e9patch,3,3,0,5,0,1,0,0,0
pipe-write-short,ptrace,3,3,0,5,0,1,0,0,0
pipe-write-short,e9patch,3,3,0,5,0,1,0,0,0
pipe-writev-block,ptrace,3,3,0,5,0,1,0,0,0
pipe-writev-block,e9patch,3,3,0,5,0,1,0,0,0
readv-eof-short,ptrace,3,3,0,5,0,1,0,0,0
readv-eof-short,e9patch,3,3,0,5,0,1,0,0,0
readv-nonblock-short,ptrace,3,0,124,2,124,1,1,3,0
readv-nonblock-short,e9patch,3,0,124,2,124,1,0,0,0
readv-pipe-short,ptrace,3,3,0,5,0,1,0,0,0
readv-pipe-short,e9patch,3,3,0,5,0,1,0,0,0
sendfile-sock-fallback,ptrace,3,3,0,5,0,1,0,0,0
sendfile-sock-fallback,e9patch,3,3,0,5,0,1,0,0,0
sendfile-sock-nodrain,ptrace,3,3,0,5,0,1,0,0,0
sendfile-sock-nodrain,e9patch,3,3,0,5,0,1,0,0,0
sendfile-sock-tcp,ptrace,3,3,0,5,0,1,0,0,0
sendfile-sock-tcp,e9patch,3,3,0,5,0,1,0,0,0
sendfile-sock-unix,ptrace,3,3,0,5,0,1,0,0,0
sendfile-sock-unix,e9patch,3,3,0,5,0,1,0,0,0
sock-write-short,ptrace,3,3,0,5,0,1,0,0,0
sock-write-short,e9patch,3,3,0,5,0,1,0,0,0
sock-writev-block,ptrace,3,3,0,5,0,1,0,0,0
sock-writev-block,e9patch,3,3,0,5,0,1,0,0,0
writev-drain-short,ptrace,3,3,0,5,0,1,0,0,0
writev-drain-short,e9patch,3,3,0,5,0,1,0,0,0
writev-nonblock-short,ptrace,3,3,0,5,0,1,0,0,0
writev-nonblock-short,e9patch,3,3,0,5,0,1,0,0,0
