label,target_expr,mode,dose,drv,n,distinct,verdict,hashes,wall_s,notes,superseded_mode
bc,(import <nixpkgs> {}).bc,hermit,run --no-namespace --no-rcb-time --max-timeslice disabled +setarch-R,/nix/store/sp2aybfzqjka77zrsh0ch5160njhci56-bc-1.08.2.drv,0,,build-fail,,,build1-failed,1
bc,(import <nixpkgs> {}).bc,hermit,run --tmp=/tmp --no-rcb-time --max-timeslice disabled,/nix/store/xxpgwavqg6aqni62dy67ln0hqch0rwpb-bc-1.08.2.drv,0,,build-fail,,,build1-failed,0
bc,(import <nixpkgs> {}).bc,native,native,/nix/store/hv077sb3v305vrmhh9kp8kv4pzmsh4i8-bc-1.08.2.drv,2,1,reproducible,1wnriq90x07313nf6jixyhyy2p0ra7mmxd8xn93srmd6y7g86sh2 1wnriq90x07313nf6jixyhyy2p0ra7mmxd8xn93srmd6y7g86sh2,11 10,,0
bc-tarfix,(import ./nix/real-candidates.nix {}).bc-tarfix,native,native,/nix/store/i52mfa8fa0jvpqd2slvsqqa70gxh96xn-bc-1.08.2.drv,2,1,reproducible,1wnriq90x07313nf6jixyhyy2p0ra7mmxd8xn93srmd6y7g86sh2 1wnriq90x07313nf6jixyhyy2p0ra7mmxd8xn93srmd6y7g86sh2,9 11,,0
demo10-native,(import ./nix/nondet-demo.nix) {},native,native,/nix/store/0d51xyvk1y4c3a1bclnzcbafbfljn9c4-nondet-demo.drv,10,10,NONDETERMINISTIC,06h9wfw857lpnd5bfwh2p47rj3ijryfdc3rdm7vf1r806y5c222g 1ir4g8byrzl711z3n2xsjgd9n2vap0jhrngwwq2pwy5cb2jw518p 13dld1lsc2rznj5im5xy1zz6gkjhc92nm2zcyibvmd64z58kyyhr 159l1ir7499b5gzwmzcm1h1zsa71yxgj30wsrlmssa8a3k8y5iay 0wrywbdcxry2c0v7qgjjhk4lljyc437iq1hd2km8h4zyv0fx60df 07f1vaazizcg26dxmwa82vlya0rwlnzr0vnlpgxhmnwsr6slpi32 0axrwwya99w1qh3fqh0z32x2z11b92xhfpx5bmiwgl3df919pam9 1b3znskfvpyk2jg29w6323h2jg7vb9fl4jrny5v2vbdrmkaq46v7 0qbqk5p8np58rqlzb8qrk1q118pjhqx7n4wrk6lf7sm5gjafih7z 1vxmqlsivqwnr646xkxc1gapj6gmnj3zvikcn353xr95j8h8phds,1 1 0 0 1 1 0 0 0 0,,0
demofast-seq,(import ./nix/nondet-demo-fast.nix) {},hermit,run --tmp=/tmp --no-rcb-time --max-timeslice disabled --sequentialize-threads,/nix/store/wwmmkjqx22rqmbvwyzcizz9qzywvb85m-nondet-demo.drv,10,2,NONDETERMINISTIC,1l7h865j0qb3w82q51irw43lxw93rggz373ij6hmcdn9dcjx4pfn 0wwlb5szq4v7q40366kxc20q2shcbh76v16askx1ha7prampksaj 0wwlb5szq4v7q40366kxc20q2shcbh76v16askx1ha7prampksaj 0wwlb5szq4v7q40366kxc20q2shcbh76v16askx1ha7prampksaj 0wwlb5szq4v7q40366kxc20q2shcbh76v16askx1ha7prampksaj 0wwlb5szq4v7q40366kxc20q2shcbh76v16askx1ha7prampksaj 0wwlb5szq4v7q40366kxc20q2shcbh76v16askx1ha7prampksaj 0wwlb5szq4v7q40366kxc20q2shcbh76v16askx1ha7prampksaj 1l7h865j0qb3w82q51irw43lxw93rggz373ij6hmcdn9dcjx4pfn 0wwlb5szq4v7q40366kxc20q2shcbh76v16askx1ha7prampksaj,1 1 1 1 1 1 1 2 1 1,,0
demofast-tts,(import ./nix/nondet-demo-fast.nix) {},hermit,run --tmp=/tmp --no-rcb-time --max-timeslice disabled --target-timeslice 1000000000,/nix/store/qhynl8b4d7yjq1fqlfk5zj49n085yzz8-nondet-demo.drv,10,2,NONDETERMINISTIC,07cc20yswgwx7m0647zgpaq68zb9wl0g2s4crkhhbl3wvpjizlid 07cc20yswgwx7m0647zgpaq68zb9wl0g2s4crkhhbl3wvpjizlid 1b9gjjkf6krvshjpnqfamf5v4lr1xagpns6l2ws1y8pxmrdsa5w2 1b9gjjkf6krvshjpnqfamf5v4lr1xagpns6l2ws1y8pxmrdsa5w2 07cc20yswgwx7m0647zgpaq68zb9wl0g2s4crkhhbl3wvpjizlid 07cc20yswgwx7m0647zgpaq68zb9wl0g2s4crkhhbl3wvpjizlid 07cc20yswgwx7m0647zgpaq68zb9wl0g2s4crkhhbl3wvpjizlid 07cc20yswgwx7m0647zgpaq68zb9wl0g2s4crkhhbl3wvpjizlid 07cc20yswgwx7m0647zgpaq68zb9wl0g2s4crkhhbl3wvpjizlid 07cc20yswgwx7m0647zgpaq68zb9wl0g2s4crkhhbl3wvpjizlid,1 1 1 1 1 1 1 1 1 1,,0
demofast10-native,(import ./nix/nondet-demo-fast.nix) {},native,native,/nix/store/8hk24bav45fd4mlwl6xqw87fawjidpw4-nondet-demo.drv,10,10,NONDETERMINISTIC,0vk15hj95gbx3k7iaxwqy0z8ancl8srcjzgimfwcqyq3fss1cq0k 0sclaj59n6sy6lga2sshkpxbxbq90zhvq1jkng6ywg10d67vrkwm 04brwwk4drhwfqwa8dnxjpsaw54rwdsfzhcr2k54dv61zyxyxjjs 1nln45mmlabvc45l586svq3sv2mj8y7dz5q1p7n1fljhml8gjzj0 0rxm34dr3ng3jkc58ymk789nsvkjfhiyc3qbf7ak2gycjsqci1fw 0q9nqxnqc3yc0vx9dky47m3yznz0ab7vhn7ixr61jzf88w03p1v9 10qp09q68kik7m9k41pl36zmkc2745mxkxwjlilygczh1azry0vf 1q2sdz1rw78zgdfhmj4zdwsskyayxdg5k1szqylwbkrzjg6nkp4d 11wb15n97ympqydqfkhw91nz0sfb767v2pcc17fihhakd1bwd40d 0bqq04z3nfd46kbdrax39x69b60a2g11fydxc0j4x8zk22vkpzs2,0 0 0 0 0 1 0 0 0 0,,0
demofast10-run-no-namespace,(import ./nix/nondet-demo-fast.nix) {},hermit,run --no-namespace +setarch-R,/nix/store/208wzjf5jlz74c8snbrazfyf88xvjxjf-nondet-demo.drv,10,10,NONDETERMINISTIC,012a0hqgnnip46iv89my0hxxs3a56lvbasx3ifp2lbrhw0wjs0d9 0azmvd0xj8diiiixhijxq7dlyzhpg2sh7gnksp6ggbpxl1sf5shd 0cg1r0bkb3a7pg3glnz6daxxs80pxfhn561kh1dnd5anlza6hfl7 0gb3inzj9x6v8w68saf552qlyqw2iahpr2yw45samga8v5yabrk2 04qvd5s74iv6dhymlx344ajv7gw6bygp5nh3l0l15pp6ayd725h7 1mnv0g16vbxh0j475g5q0dn6scxkv7b9mjv9g6f2mr0bbpjc6fw7 0dfch1xj15rm5avmqvhkviv0sfaj36dp5sbd7hzf5nsz3zd7fnxz 1c9jc8k8y4q4jlw8myvxf8g84z6yvcg74v2zq0yv0c4vs9fivj67 01c6m2f8g1f3v9bfg4gfcl7w3qrwxfjb3shpg5wkvw3323zgrw3h 10ilgsggz3vaw7rb9jgas7p3xnjf266nr54kyl4bs1dmch1gxcpq,1 1 1 2 2 3 4 2 2 2,,0
demofast10-run-no-namespace-no-rcb-time-max-timeslice-disabled,(import ./nix/nondet-demo-fast.nix) {},hermit,run --no-namespace --no-rcb-time --max-timeslice disabled +setarch-R,/nix/store/07jd2gb54dw5z9fxnddcg9yfn95hfdx0-nondet-demo.drv,10,10,NONDETERMINISTIC,1ina145kwf4bvghnbr6ab0q9frqfr4qkfl2s0ksbk8i7km3dqjf8 11fqab6d7bdaxmawhd5917mfpscj4ha9y18hp3g371nszj6zspil 1bv248wk40ijsdwpv4l61n55nf9w92kf8p4ylg1rqdg0aj164nw7 1ljfqvf947mvldh3m351jy0f50sryncqcc1449w5slqv9nxbr62p 0ybn0f5zwlvjsxkvqcrls59hbaqikiykrsjm3j2hpqy2hlqvjjwy 0p9wdlai5m9mm5bwwk6szqv27281lmq91dsn3pnq1f8g5gn8l8kw 0vdbjpjnwzgq1gaamiq4slnh5564ilfh0rknj22ac5r97rllnq55 1yj3qwqlgr7i5s1fqrl5a1aimdaynpx5dvirpb78y3q8pa6x8chd 19y61jjy707r8g8amlss8ml0vvz4shrbqdk7l61352xqdanskcw8 14qji5hwgiqfsciz99kd7x4s0ljw9swvdlak9ghkm790dv3jrp1v,1 1 1 1 2 1 1 1 1 1,,0
