phase,idx,wall_s,user_s,sys_s,cpu_s,pct_cpu,maxrss_kb,exit
base,1,6.15,3.86,2.65,6.51,106,43124,0
base,2,6.24,3.87,2.80,6.67,106,40552,0
base,3,6.11,3.79,2.71,6.5,106,43092,0
base,4,6.18,3.89,2.68,6.57,106,43160,0
base,5,6.29,3.97,2.72,6.69,106,43064,0
load,1,17.3,4.47,2.90,7.37,42,43160,0
load,2,9.18,4.69,2.81,7.5,81,43072,0
load,3,10.42,4.65,2.85,7.5,72,43072,0
load,4,8.95,4.62,2.84,7.46,83,40580,0
load,5,9.86,4.59,2.68,7.27,73,40564,0
load,6,9.29,4.76,3.22,7.98,86,43188,0
load,7,9.08,4.61,2.68,7.29,80,43120,0
load,8,8.44,4.65,2.95,7.6,90,43228,0
load,9,10.73,4.78,3.11,7.89,73,43100,0
load,10,10.05,4.58,2.68,7.26,72,38076,0
DONE 2026-08-03T07:05:20-07:00
