lane,node,wall_s,cpu_s,result,wall_timed_out,cpu_timeout_declared,headroom_ratio,verdict
portable,setup.nextest,0.069,0.040,pass,False,90,2250.00,PASS-below-budget
portable,check.script_sigpipe,0.122,0.120,pass,False,30,250.00,PASS-below-budget
portable,check.backend_abstraction,0.673,0.676,pass,False,60,88.76,PASS-below-budget
portable,lint.rustfmt,0.824,0.803,pass,False,60,74.72,PASS-below-budget
portable,check.portability_paths,1.575,1.609,pass,False,30,18.65,PASS-below-budget
portable,e2e.metadata,7.286,7.916,pass,False,18,2.27,PASS-below-budget
portable,build.workspace,6.336,16.723,pass,False,1378,82.40,PASS-below-budget
portable,build.flaky_harnesses,0.965,0.089,pass,False,1080,12134.83,PASS-below-budget
portable,test.rr_suite_contract,5.973,18.854,pass,False,90,4.77,PASS-below-budget
portable,test.detcore_unit,6.074,0.478,pass,False,128,267.78,PASS-below-budget
portable,build.manifest_guests,15.805,10.194,pass,False,21,2.06,PASS-below-budget
portable,doc.rustdoc,9.487,0.706,pass,False,1350,1912.18,PASS-below-budget
portable,doc.doctests,10.586,14.424,pass,False,21,1.46,PASS-below-budget
portable,lint.clippy,15.406,0.912,pass,False,2700,2960.53,PASS-below-budget
portable,test.regular_crates,16.647,6.214,pass,False,79,12.71,PASS-below-budget
portable,e2e.manifest_bin_c,11.492,5.068,pass,False,30,5.92,PASS-below-budget
portable,e2e.manifest_backend_parity_c,11.545,5.090,pass,False,30,5.89,PASS-below-budget
portable,e2e.manifest_chaos_c,4.826,4.953,pass,False,30,6.06,PASS-below-budget
portable,e2e.manifest_debugger_c,4.852,4.925,pass,False,30,6.09,PASS-below-budget
portable,e2e.manifest_determinism_stress,20.710,15.270,pass,False,450,29.47,PASS-below-budget
portable,e2e.manifest_shared_futex_c,4.828,4.937,pass,False,30,6.08,PASS-below-budget
portable,e2e.manifest_determinism_stress_c,7.934,8.191,pass,False,30,3.66,PASS-below-budget
portable,e2e.manifest_util_c,5.001,5.139,pass,False,30,5.84,PASS-below-budget
portable,test.hermit_integration,54.173,96.494,pass,False,900,9.33,PASS-below-budget
portable,e2e.manifest_language_runtimes,45.958,43.517,pass,False,360,8.27,PASS-below-budget
portable,build.dbi_release,56.788,160.355,pass,False,UNSET,,n/a
portable,build.sabre_release,0.508,0.301,pass,False,810,2691.03,PASS-below-budget
portable,build.liteinst_runtime_release,0.520,0.257,pass,False,1080,4202.33,PASS-below-budget
portable,e2e.manifest_applications,8.446,8.043,pass,False,360,44.76,PASS-below-budget
portable,e2e.manifest_data_handling,12.453,12.102,pass,False,270,22.31,PASS-below-budget
portable,e2e.manifest_c_programs,17.262,16.514,pass,False,30,1.82,PASS-below-budget
portable,e2e.manifest_system_utils,27.982,28.463,pass,False,360,12.65,PASS-below-budget
portable,test.app_strict_verify,34.185,107.108,pass,False,540,5.04,PASS-below-budget
portable,test.command_strict_verify,50.310,50.444,pass,False,540,10.70,PASS-below-budget
portable,test.dbi_parity,6.782,5.790,pass,False,540,93.26,PASS-below-budget
portable,test.cli,6.984,5.923,pass,False,450,75.98,PASS-below-budget
portable,test.hermit_modes,14.043,14.083,pass,False,450,31.95,PASS-below-budget
portable,test.hermit_unit,3.674,15.598,pass,False,1080,69.24,PASS-below-budget
portable,test.strict_compat,166.189,311.588,pass,False,1800,5.78,PASS-below-budget
portable,test.detcore_parallel,1.722,6.622,pass,False,1080,163.09,PASS-below-budget
portable,test.arbitrary_binaries,0.919,1.137,pass,False,360,316.62,PASS-below-budget
portable,test.liteinst_strict,31.229,32.528,pass,False,360,11.07,PASS-below-budget
portable,test.envelope_levels,10.548,10.666,pass,False,360,33.75,PASS-below-budget
portable,test.detcore_misc,600.013,599.986,fail,True,810,1.35,non-pass
privileged,e2e.metadata,7.880,10.670,pass,False,18,1.69,PASS-below-budget
privileged,build.privileged_tests,1.019,0.439,pass,False,540,1230.07,PASS-below-budget
privileged,cpuid.faulting,0.270,0.233,pass,False,135,579.40,PASS-below-budget
privileged,pmu.preemption,0.271,0.157,pass,False,45,286.62,PASS-below-budget
privileged,build.manifest_guests,5.730,6.088,pass,False,675,110.87,PASS-below-budget
privileged,e2e.manifest_backend_parity_c,5.327,6.147,pass,False,30,4.88,PASS-below-budget
privileged,e2e.manifest_applications,5.348,6.244,pass,False,270,43.24,PASS-below-budget
