environment	path	repetition	iterations	elapsed_ns_per_call	wall_ms
native	vdso	1	10000000	30.39	NA
native	vdso	2	10000000	30.59	NA
native	vdso	3	10000000	30.40	NA
native	vdso	4	10000000	30.44	NA
native	vdso	5	10000000	31.37	NA
native	raw	1	10000000	113.06	NA
native	raw	2	10000000	113.00	NA
native	raw	3	10000000	113.36	NA
native	raw	4	10000000	113.63	NA
native	raw	5	10000000	115.58	NA
ptrace-strict	startup-control	1	0	NA	37.914
ptrace-strict	startup-control	2	0	NA	35.769
ptrace-strict	startup-control	3	0	NA	39.790
ptrace-strict	startup-control	4	0	NA	36.154
ptrace-strict	startup-control	5	0	NA	33.426
ptrace-strict	patched-libc	1	10000	NA	1230.517
ptrace-strict	patched-libc	2	10000	NA	927.311
ptrace-strict	patched-libc	3	10000	NA	1007.873
ptrace-strict	patched-libc	4	10000	NA	938.218
ptrace-strict	patched-libc	5	10000	NA	1028.404
ptrace-strict	raw	1	10000	NA	1396.965
ptrace-strict	raw	2	10000	NA	1315.587
ptrace-strict	raw	3	10000	NA	943.916
ptrace-strict	raw	4	10000	NA	1167.834
ptrace-strict	raw	5	10000	NA	1514.342
