mode,pin,iters,payload,p50_ns,p25_ns,p75_ns,min_ns,p99_ns
uds_full,same,200000,64,12328,11177,14853,7371,45217
uds_lean,same,200000,64,4397,4236,5519,4077,7681
futex,same,200000,64,2384,2213,2514,2123,3245
uds_full,cross,200000,64,7581,6430,8192,5438,11658
uds_lean,cross,200000,64,4086,3696,4877,2975,6600
futex,cross,200000,64,3275,3025,3506,220,4978
