round,planner,wall_s,user_s,sys_s,result,n_passed,n_failed,n_skipped,tpbj
1,greedy-lpt,220.3,712.4,263.8,fail,38,1,0,48
1,critical-path,68.3,178.6,165.0,fail,33,1,0,48
2,critical-path,73.0,133.5,142.8,fail,25,1,0,48
2,greedy-lpt,186.5,299.9,222.6,fail,38,1,0,48
3,greedy-lpt,182.1,304.7,236.4,fail,38,1,0,48
3,critical-path,71.0,183.9,156.0,fail,33,1,0,48
4,critical-path,73.6,183.3,176.8,fail,33,1,0,48
4,greedy-lpt,174.4,295.2,216.9,fail,38,1,0,48
cpa-confirm1,cpa,2.0,0.8,1.3,fail,3,3,41,48
cpa-confirm2,cpa,2.0,0.8,1.2,fail,3,3,41,48
cpa-confirm3,cpa,2.2,0.8,1.4,fail,3,3,41,48
