attempt,qualifying,status,guest_id,published_baseline_ms,large_threshold_ms,wall_s,user_s,system_s,cpu_s,max_rss_kb,verified,bitwise_parity,info_left,info_right,stack_left,stack_right,stack_differing,heap_left,heap_right,heap_differing,reason
1,0,setup-failure,c-programs/prodcons-determinism,10925,5000,,,,,,false,false,,,,,,,,,"sandbox denied child PTRACE_TRACEME before guest execution; excluded from timing denominator"
2,1,matched,c-programs/prodcons-determinism,10925,5000,2.90,2.25,0.88,3.13,22784,true,true,19907,19907,4584,4584,0,4547,4547,0,"canonical INFO comparison with nonzero stack and heap evidence"
