guest,family,expected_stdout_mode,exit_parity,stdout_parity,golden_l2,e9patch_l2,candidate_sites,mapped_sites,b0_sites,prologue,detlog_tail_match,status
open_enoent,fs-errno,exact:enoent=-2,pass,pass,pass,pass,1,1,0,8,yes,PASS_L2
prctl_name,prctl-name,exact:name=cg,pass,pass,pass,pass,1,1,0,8,yes,PASS_L2
getcwd_check,cwd,parity-only(None),pass,pass,pass,pass,1,1,0,8,yes,PASS_L2
pipe_rw,pipe-data-io,exact:pipe=hi,pass,pass,pass,pass,1,1,0,8,yes,PASS_L2
statx_devnull,statx,exact:statx_chr=1,pass,pass,pass,pass,1,1,0,8,yes,PASS_L2
readv_zero,scatter-read,exact:readv=16,pass,pass,pass,pass,1,1,0,8,yes,PASS_L2
umask_set,umask,exact:umask=18,pass,pass,pass,pass,1,1,0,8,yes,PASS_L2
fstat_size_memfd,stat-size,exact:size=5,pass,pass,pass,pass,1,1,0,8,yes,PASS_L2
