bucket,test_id,program,lane,scope_state,ptrace_exit,num_processes,num_threads,liteinst_exit,verify_exit,parity,deterministic,ptrace_stdout_sha256,liteinst_stdout_sha256,duration_ms,reason
applications,applications/timed-progress-bar,tests/e2e/applications/timed-progress-bar.sh,portable,measured-spst,0,1,1,1,1,0,0,d8778ce336753d09dab6c6d94699898498ccbc31d6ec6b0b7b3d4bc559745b47,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,889,liteinst-run-exit1;liteinst-verify-exit1;ptrace-exit-stdout-mismatch
backend-parity-c,backend-parity-c/cpuid-probe,tests/backend-parity/fixtures/cpuid_probe.c,privileged,measured-spst,0,1,1,0,0,1,1,86ff9718c1542322ee8165258f455b9774cc88c99e37cc57f30e74283a2d83c0,86ff9718c1542322ee8165258f455b9774cc88c99e37cc57f30e74283a2d83c0,1467,
backend-parity-c,backend-parity-c/pid-probe,tests/backend-parity/fixtures/pid_probe.c,portable,measured-spst,0,1,1,0,0,1,1,342cc5c394f2bfe94370f4f30493c870f7877e1dd0646dc7c41af1fc9d14838c,342cc5c394f2bfe94370f4f30493c870f7877e1dd0646dc7c41af1fc9d14838c,1360,
backend-parity-c,backend-parity-c/pthread-lifecycle,tests/backend-parity/fixtures/pthread_lifecycle.c,portable,excluded-topology,0,1,5,,,,,6f916c392b593c2835823f98adada81a14b81ff8683b4045610a9a1cc0728563,,,outside-scope-processes1-threads5
bin-c,bin-c/posix-timer-test,tests/bin/posix_timer_test.c,portable,measured-spst,0,1,1,0,0,1,1,73bc36274f961af2a8ad43917d15a87a59ead3cb7c6f54c81db28c45d5395fa1,73bc36274f961af2a8ad43917d15a87a59ead3cb7c6f54c81db28c45d5395fa1,1400,
bin-c,bin-c/robust-futex-test,tests/bin/robust_futex_test.c,portable,unclassified,124,,,,,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,ptrace-reference-fail-exit124
c-programs,c-programs/acct-refusal-probe,tests/c/acct_refusal_probe.c,portable,measured-spst,0,1,1,0,0,1,1,fb9a253ff29ae72ad120fbe932651dd0471ff759f020fcad04b62895c481980f,fb9a253ff29ae72ad120fbe932651dd0471ff759f020fcad04b62895c481980f,1415,
c-programs,c-programs/add-key-enosys,tests/c/add_key_enosys.c,portable,measured-spst,0,1,1,0,0,1,1,392cdd6f142e243a9db3f8bd6d60cde54e983ffe6d072bf7ea3b03cc297cbf72,392cdd6f142e243a9db3f8bd6d60cde54e983ffe6d072bf7ea3b03cc297cbf72,1365,
c-programs,c-programs/adjtimex-deterministic,tests/c/adjtimex_deterministic.c,portable,measured-spst,0,1,1,0,0,1,1,ea6836e27a3d5c63e79076c3c5c976a785aa833022022fc0f2e5361942c6579e,ea6836e27a3d5c63e79076c3c5c976a785aa833022022fc0f2e5361942c6579e,1417,
c-programs,c-programs/arch-prctl-determinism,tests/c/arch_prctl_determinism.c,portable,measured-spst,0,1,1,1,1,0,0,8504ad2cf53c948ffdd59e277fe87ecf21f65ffa4fb543989366ec9cb40272fd,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,918,liteinst-run-exit1;liteinst-verify-exit1;ptrace-exit-stdout-mismatch
c-programs,c-programs/bpf-enosys,tests/c/bpf_enosys.c,portable,measured-spst,0,1,1,0,0,1,1,00b8c2fc33f814bfeb2da739d302426f0122369289c96bb40f9a11ef86f4befe,00b8c2fc33f814bfeb2da739d302426f0122369289c96bb40f9a11ef86f4befe,1387,
c-programs,c-programs/cachestat-enosys,tests/c/cachestat_enosys.c,portable,measured-spst,0,1,1,0,0,1,1,c99ecc14f33146eb9b4b3c76f1fd310e0b0992a23465df5ce2715ead516e565e,c99ecc14f33146eb9b4b3c76f1fd310e0b0992a23465df5ce2715ead516e565e,1423,
c-programs,c-programs/clock-adjtime-deterministic,tests/c/clock_adjtime_deterministic.c,portable,measured-spst,0,1,1,0,0,1,1,f8df8f96682085b6719931fa985c994642bd388d6849e9c751941db746098343,f8df8f96682085b6719931fa985c994642bd388d6849e9c751941db746098343,1375,
c-programs,c-programs/clone,tests/c/clone.c,portable,excluded-topology,0,2,2,,,,,6bed7c4e58faa0f69f82d7af16adcaa45cce6217b25a9cab2b709b1ac60b68de,,,outside-scope-processes2-threads2
c-programs,c-programs/copy-file-range-refusal-probe,tests/c/copy_file_range_refusal_probe.c,portable,measured-spst,0,1,1,0,0,1,1,eaf5a67ca844e6a832cd95774ecdb4c48e345e2b64e1c67092ad7fb6ac39777a,eaf5a67ca844e6a832cd95774ecdb4c48e345e2b64e1c67092ad7fb6ac39777a,1432,
c-programs,c-programs/dbi-copied-tiocgpgrp,tests/c/dbi_copied_tiocgpgrp.c,portable,excluded-topology,0,2,2,,,,,a72cc9796486e612c72fa45a187dc2c1d587ee69e27aaebf4771a60d8a743d79,,,outside-scope-processes2-threads2
c-programs,c-programs/dbi-exec-failure,tests/c/dbi_exec_failure.c,portable,measured-spst,0,1,1,0,0,1,1,d9255dd9cc061248208ec6fabc39e2695034a2f78b3a79675522090f004de84c,d9255dd9cc061248208ec6fabc39e2695034a2f78b3a79675522090f004de84c,1430,
c-programs,c-programs/dbi-execveat-unsupported,tests/c/dbi_execveat_unsupported.c,portable,measured-spst,0,1,1,1,1,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,873,liteinst-run-exit1;liteinst-verify-exit1;ptrace-exit-stdout-mismatch
c-programs,c-programs/dbi-mmap-exec,tests/c/dbi_mmap_exec.c,portable,measured-spst,0,1,1,0,0,1,1,87ef25ed096b64f71e5581bf5d09a9bb24b8dca9402b010322037898b99a81cf,87ef25ed096b64f71e5581bf5d09a9bb24b8dca9402b010322037898b99a81cf,1408,
c-programs,c-programs/dbi-pid-virtualization,tests/c/dbi_pid_virtualization.c,portable,excluded-topology,0,7,7,,,,,68abbf5dc13603c0077f0402fe1455224965d0061ec94e7cefd220c41b610f15,,,outside-scope-processes7-threads7
c-programs,c-programs/dbi-prlimit-self,tests/c/dbi_prlimit_self.c,portable,measured-spst,0,1,1,0,0,1,1,b5d0a733abb9b3694c70cc548fbd236ede0f60c1e06673b4e4999419c7721e12,b5d0a733abb9b3694c70cc548fbd236ede0f60c1e06673b4e4999419c7721e12,1425,
c-programs,c-programs/dbi-self-sigqueue,tests/c/dbi_self_sigqueue.c,portable,measured-spst,0,1,1,0,0,1,1,f4c3bb314cd68d7f8c7e053c24257d5eaf5369087b8c21ee95fd29727f460537,f4c3bb314cd68d7f8c7e053c24257d5eaf5369087b8c21ee95fd29727f460537,1422,
c-programs,c-programs/dbi-unsupported-syscall,tests/c/dbi_unsupported_syscall.c,portable,measured-spst,0,1,1,0,0,1,1,0dc9033cbe9bbe736c2e2105dd9ddb6f7c68ffe47d4146ffdb3e0e2f4a990531,0dc9033cbe9bbe736c2e2105dd9ddb6f7c68ffe47d4146ffdb3e0e2f4a990531,1420,
c-programs,c-programs/dbi-wait-lifecycle,tests/c/dbi_wait_lifecycle.c,portable,excluded-topology,0,3,3,,,,,8b2dc7afefe0de8a206779cafaa728f8589221319ecd6040f8721c0895618a65,,,outside-scope-processes3-threads3
c-programs,c-programs/epoll-determinism,tests/c/epoll_determinism.c,portable,unclassified,2,,,,,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,ptrace-reference-fail-exit2
c-programs,c-programs/fp-reduction-nondeterminism,tests/c/fp_reduction_nondeterminism.c,portable,excluded-topology,0,1,4,,,,,14e2bd92d74bd578c2f3968692ed94951fc432c8a0eb79cb59bf437fbd987598,,,outside-scope-processes1-threads4
c-programs,c-programs/futex-requeue-enosys,tests/c/futex_requeue_enosys.c,portable,measured-spst,0,1,1,0,0,1,1,3a97289e82874a6de3f7329de461ff8e98aab222e591b44478b0cbfa224b778e,3a97289e82874a6de3f7329de461ff8e98aab222e591b44478b0cbfa224b778e,1405,
