guest,ptrace_records,e9patch_records,delta,mapped_sites,ptrace_self_det,e9patch_self_det,comparable,detlog_parity,prefix_depth,tier
clock_gettime,10,27,17,1,True,True,True,False,6,detlog-commit-records/wallclock-stripped/hex-normalised
compute,8,25,17,1,True,True,True,False,6,detlog-commit-records/wallclock-stripped/hex-normalised
dup3_high,19,36,17,1,True,True,True,False,6,detlog-commit-records/wallclock-stripped/hex-normalised
fcntl_cloexec,33,50,17,1,True,True,True,False,6,detlog-commit-records/wallclock-stripped/hex-normalised
fd_lowest_free,37,54,17,1,True,True,True,False,6,detlog-commit-records/wallclock-stripped/hex-normalised
fd_open_number,19,36,17,1,True,True,True,False,6,detlog-commit-records/wallclock-stripped/hex-normalised
getpid_check,10,27,17,1,True,True,True,False,6,detlog-commit-records/wallclock-stripped/hex-normalised
getrandom,10,27,17,1,True,True,True,False,6,detlog-commit-records/wallclock-stripped/hex-normalised
loop_write,35,52,17,1,True,True,True,False,6,detlog-commit-records/wallclock-stripped/hex-normalised
minimal_exit,8,25,17,1,True,True,True,False,6,detlog-commit-records/wallclock-stripped/hex-normalised
mmap_anon,12,29,17,1,True,True,True,False,6,detlog-commit-records/wallclock-stripped/hex-normalised
multi_site,13,34,21,3,True,True,True,False,6,detlog-commit-records/wallclock-stripped/hex-normalised
nanosleep,12,29,17,1,True,True,True,False,6,detlog-commit-records/wallclock-stripped/hex-normalised
pipe_fds,28,45,17,1,True,True,True,False,6,detlog-commit-records/wallclock-stripped/hex-normalised
proc_self_fd_count,19,36,17,1,True,True,True,False,6,detlog-commit-records/wallclock-stripped/hex-normalised
readlink_exe,25,42,17,1,True,True,True,False,6,detlog-commit-records/wallclock-stripped/hex-normalised
sigmask,12,29,17,1,True,True,True,False,6,detlog-commit-records/wallclock-stripped/hex-normalised
uname,10,27,17,1,True,True,True,False,6,detlog-commit-records/wallclock-stripped/hex-normalised
write_stdout,11,28,17,1,True,True,True,False,6,detlog-commit-records/wallclock-stripped/hex-normalised
writev_multi,17,34,17,1,True,True,True,False,6,detlog-commit-records/wallclock-stripped/hex-normalised
