leg,guest,backend,metric,value
sweep,forkwait_ordered,ptrace,sd_out,1
sweep,forkwait_ordered,ptrace,sd_pev,1
sweep,forkwait_ordered,ptrace,sd_detlog,1
sweep,forkwait_ordered,ptrace,verify_rc,0
sweep,forkwait_ordered,ptrace,px_pev,ref
sweep,forkwait_ordered,ptrace,px_tree,ref
sweep,forkwait_ordered,e9patch,sd_out,1
sweep,forkwait_ordered,e9patch,sd_pev,1
sweep,forkwait_ordered,e9patch,sd_detlog,1
sweep,forkwait_ordered,e9patch,verify_rc,0
sweep,forkwait_ordered,e9patch,px_pev,1
sweep,forkwait_ordered,e9patch,px_tree,1
sweep,forkwait_any,ptrace,sd_out,1
sweep,forkwait_any,ptrace,sd_pev,1
sweep,forkwait_any,ptrace,sd_detlog,1
sweep,forkwait_any,ptrace,verify_rc,0
sweep,forkwait_any,ptrace,px_pev,ref
sweep,forkwait_any,ptrace,px_tree,ref
sweep,forkwait_any,e9patch,sd_out,1
sweep,forkwait_any,e9patch,sd_pev,1
sweep,forkwait_any,e9patch,sd_detlog,1
sweep,forkwait_any,e9patch,verify_rc,0
sweep,forkwait_any,e9patch,px_pev,1
sweep,forkwait_any,e9patch,px_tree,1
sweep,forkwait_any_wide,ptrace,sd_out,1
sweep,forkwait_any_wide,ptrace,sd_pev,1
sweep,forkwait_any_wide,ptrace,sd_detlog,1
sweep,forkwait_any_wide,ptrace,verify_rc,0
sweep,forkwait_any_wide,ptrace,px_pev,ref
sweep,forkwait_any_wide,ptrace,px_tree,ref
sweep,forkwait_any_wide,e9patch,sd_out,1
sweep,forkwait_any_wide,e9patch,sd_pev,1
sweep,forkwait_any_wide,e9patch,sd_detlog,1
sweep,forkwait_any_wide,e9patch,verify_rc,0
sweep,forkwait_any_wide,e9patch,px_pev,1
sweep,forkwait_any_wide,e9patch,px_tree,1
sweep,zombie_delay,ptrace,sd_out,1
sweep,zombie_delay,ptrace,sd_pev,1
sweep,zombie_delay,ptrace,sd_detlog,1
sweep,zombie_delay,ptrace,verify_rc,0
sweep,zombie_delay,ptrace,px_pev,ref
sweep,zombie_delay,ptrace,px_tree,ref
sweep,zombie_delay,e9patch,sd_out,1
sweep,zombie_delay,e9patch,sd_pev,1
sweep,zombie_delay,e9patch,sd_detlog,1
sweep,zombie_delay,e9patch,verify_rc,0
sweep,zombie_delay,e9patch,px_pev,1
sweep,zombie_delay,e9patch,px_tree,1
sweep,orphan_reparent,ptrace,sd_out,1
sweep,orphan_reparent,ptrace,sd_pev,1
sweep,orphan_reparent,ptrace,sd_detlog,1
sweep,orphan_reparent,ptrace,verify_rc,0
sweep,orphan_reparent,ptrace,px_pev,ref
sweep,orphan_reparent,ptrace,px_tree,ref
sweep,orphan_reparent,e9patch,sd_out,1
sweep,orphan_reparent,e9patch,sd_pev,1
