image	sha_s1	sha_s2	sha_s3	sha_s1b	repro_s1	divergent	max_ms	worst_rc
craft__bko-104131-fsck-oob-read.raw	1d0cbefa6cf9a826	1d0cbefa6cf9a826	1d0cbefa6cf9a826	1d0cbefa6cf9a826	YES	no	219	1
craft__bko-154961-heap-overflow-chunk-items.raw	f7b0f359bf7c05c5	f7b0f359bf7c05c5	f7b0f359bf7c05c5	f7b0f359bf7c05c5	YES	no	219	0
craft__bko-156471-ubsan-trigger-crc32c-unaligned.raw	9f69609a4741a6cf	9f69609a4741a6cf	9f69609a4741a6cf	9f69609a4741a6cf	YES	no	276	0
craft__bko-199839.raw	0e62d33cfcfbc1f8	0e62d33cfcfbc1f8	0e62d33cfcfbc1f8	0e62d33cfcfbc1f8	YES	no	449	0
craft__superblock-total-bytes-0.raw	9f7085bb939358e4	9f7085bb939358e4	9f7085bb939358e4	9f7085bb939358e4	YES	no	218	0
up__bad-superblock-1.raw	fbcbd5790975b8e0	fbcbd5790975b8e0	fbcbd5790975b8e0	fbcbd5790975b8e0	YES	no	218	0
up__bad-superblock-2.raw	4c1dc738a1ff1085	4c1dc738a1ff1085	4c1dc738a1ff1085	4c1dc738a1ff1085	YES	no	218	0
up__bad-superblock-3.raw	80dffe4501e3017d	80dffe4501e3017d	80dffe4501e3017d	80dffe4501e3017d	YES	no	218	0
up__bko-104141-fsck-exception.raw	934f8ea5d88ce0c7	934f8ea5d88ce0c7	934f8ea5d88ce0c7	934f8ea5d88ce0c7	YES	no	218	1
up__bko-153641-unaligned-tree-block-bytenr.raw	98ffb36f976db098	98ffb36f976db098	98ffb36f976db098	98ffb36f976db098	YES	no	218	0
up__bko-154021-invalid-drop-level.raw	e19d1335af4c5d41	e19d1335af4c5d41	e19d1335af4c5d41	e19d1335af4c5d41	YES	no	218	0
up__bko-155151-bad-block-group-offset.raw	0fe473ffb8892302	0fe473ffb8892302	0fe473ffb8892302	0fe473ffb8892302	YES	no	218	0
up__bko-155181-bad-backref.raw	308b82e3086e9590	308b82e3086e9590	308b82e3086e9590	308b82e3086e9590	YES	no	218	0
up__bko-155201-wrong-chunk-item-in-root-tree.raw	f062f51d2ca1f070	f062f51d2ca1f070	f062f51d2ca1f070	f062f51d2ca1f070	YES	no	218	0
up__bko-155551-unaligned-tree-block.raw	a687a0a064a944da	a687a0a064a944da	a687a0a064a944da	a687a0a064a944da	YES	no	218	0
up__bko-155621-bad-block-group-offset.raw	94aecdadcaadc13d	94aecdadcaadc13d	94aecdadcaadc13d	94aecdadcaadc13d	YES	no	218	0
up__bko-156731.raw	d66242d4c4eb452b	d66242d4c4eb452b	d66242d4c4eb452b	d66242d4c4eb452b	YES	no	218	0
up__bko-156741.raw	47ad3ba733e8a690	47ad3ba733e8a690	47ad3ba733e8a690	47ad3ba733e8a690	YES	no	219	0
up__bko-156811-bad-parent-ref-qgroup-verify.raw	5d32b83bec02f4c7	5d32b83bec02f4c7	5d32b83bec02f4c7	5d32b83bec02f4c7	YES	no	218	0
up__bko-161811.raw	892ab86b6b190df5	892ab86b6b190df5	892ab86b6b190df5	892ab86b6b190df5	YES	no	218	0
up__bko-161821.raw	fd85a3c4ab872473	fd85a3c4ab872473	fd85a3c4ab872473	fd85a3c4ab872473	YES	no	218	0
up__bko-166361-blocksize-zero.raw	f9bea00e9f426be6	f9bea00e9f426be6	f9bea00e9f426be6	f9bea00e9f426be6	YES	no	218	0
up__bko-167551.raw	cfc6f750ddd4cc1b	cfc6f750ddd4cc1b	cfc6f750ddd4cc1b	cfc6f750ddd4cc1b	YES	no	218	0
up__bko-167781.raw	804664dbd058408e	804664dbd058408e	804664dbd058408e	804664dbd058408e	YES	no	219	0
up__bko-167921.raw	215f4369f9976098	215f4369f9976098	215f4369f9976098	215f4369f9976098	YES	no	242	0
up__bko-168301.raw	e1e60da1c0569e90	e1e60da1c0569e90	e1e60da1c0569e90	e1e60da1c0569e90	YES	no	217	0
up__bko-169301-1-blocksize-zero.raw	89436b0a7944a037	89436b0a7944a037	89436b0a7944a037	89436b0a7944a037	YES	no	218	0
up__bko-169301-2-blocksize-zero.raw	873f7c17cb27629e	873f7c17cb27629e	873f7c17cb27629e	873f7c17cb27629e	YES	no	218	0
up__bko-169311-blocksize-zero-qgroup-verify.raw	399783e70ee0fc4b	399783e70ee0fc4b	399783e70ee0fc4b	399783e70ee0fc4b	YES	no	218	0
up__bko-172811.raw	e39fb72785986a6d	e39fb72785986a6d	e39fb72785986a6d	e39fb72785986a6d	YES	no	218	0
up__bko-172861.raw	4b102e3e5f133198	4b102e3e5f133198	4b102e3e5f133198	4b102e3e5f133198	YES	no	217	0
up__bko-199833-reloc-recovery-crash.raw	8e1b9345112978ed	8e1b9345112978ed	8e1b9345112978ed	8e1b9345112978ed	YES	no	218	0
up__bko-200403.raw	138d95db3f488913	138d95db3f488913	138d95db3f488913	138d95db3f488913	YES	no	219	0
up__bko-200409.raw	8c2a1fd806f4b76c	8c2a1fd806f4b76c	8c2a1fd806f4b76c	8c2a1fd806f4b76c	YES	no	218	0
up__bko-96971-btrfs-image.raw	5554e80e90349fab	5554e80e90349fab	5554e80e90349fab	5554e80e90349fab	YES	no	218	0
up__bko-97021-invalid-chunk-sectorsize.raw	1d93058e929d9ea7	1d93058e929d9ea7	1d93058e929d9ea7	1d93058e929d9ea7	YES	no	218	0
up__bko-97031-invalid-stripe-len-sys-array.raw	54465d92d8ae31f6	54465d92d8ae31f6	54465d92d8ae31f6	54465d92d8ae31f6	YES	no	218	0
up__bko-97041-invalid-sub-stripes-zero-FPE.raw	649a9e5ab25cddd6	649a9e5ab25cddd6	649a9e5ab25cddd6	649a9e5ab25cddd6	YES	no	218	0
up__bko-97171-btrfs-image.raw	8a0ab169a3225749	8a0ab169a3225749	8a0ab169a3225749	8a0ab169a3225749	YES	no	218	0
up__bko-97191-btrfs-image.raw	dbbd7857ad73f960	dbbd7857ad73f960	dbbd7857ad73f960	dbbd7857ad73f960	YES	no	218	0
up__bko-97271-btrfs-image.raw	ad278f16a52b627e	ad278f16a52b627e	ad278f16a52b627e	ad278f16a52b627e	YES	no	218	0
up__superblock-stripsize-bogus.raw	541640c50d04f1b6	541640c50d04f1b6	541640c50d04f1b6	541640c50d04f1b6	YES	no	218	0
up__sys-array-num-stripes-0.raw	65a37e1186063f77	65a37e1186063f77	65a37e1186063f77	65a37e1186063f77	YES	no	218	0
up__sys-chunk-stripe-len-bogus.raw	6d5a0686a655c9d2	6d5a0686a655c9d2	6d5a0686a655c9d2	6d5a0686a655c9d2	YES	no	218	0
up__sys-chunk-type-bogus.raw	3961818c1597f531	3961818c1597f531	3961818c1597f531	3961818c1597f531	YES	no	218	0
