fixture,program,mode,backend,cell,actual_run
aio-refusal,aio_refusal,verify,ptrace,GATED-OFF(ci=false),TIMEOUT-no-result
aio-refusal,aio_refusal,verify,kvm,DECLINED-IN-MANIFEST,cannot-execute-here: HUNG(no verdict in 60s)
aio-refusal,aio_refusal,verify,dbi,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
aio-refusal,aio_refusal,verify,liteinst,DECLINED-IN-MANIFEST,cannot-execute-here: runtime .so missing
aio-refusal,aio_refusal,verify,sabre,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
aio-refusal,aio_refusal,verify,e9patch,NOT-WIRED,cannot-execute-here: not-in-build
aio-refusal,aio_refusal,naked,ptrace,NOT-WIRED,
aio-refusal,aio_refusal,naked,kvm,NOT-WIRED,cannot-execute-here: HUNG(no verdict in 60s)
aio-refusal,aio_refusal,naked,dbi,NOT-WIRED,cannot-execute-here: not-in-build
aio-refusal,aio_refusal,naked,liteinst,NOT-WIRED,cannot-execute-here: runtime .so missing
aio-refusal,aio_refusal,naked,sabre,NOT-WIRED,cannot-execute-here: not-in-build
aio-refusal,aio_refusal,naked,e9patch,NOT-WIRED,cannot-execute-here: not-in-build
aio-refusal,aio_refusal,replay,ptrace,DECLINED-IN-MANIFEST,
aio-refusal,aio_refusal,replay,kvm,DECLINED-IN-MANIFEST,cannot-execute-here: HUNG(no verdict in 60s)
aio-refusal,aio_refusal,replay,dbi,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
aio-refusal,aio_refusal,replay,liteinst,DECLINED-IN-MANIFEST,cannot-execute-here: runtime .so missing
aio-refusal,aio_refusal,replay,sabre,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
aio-refusal,aio_refusal,replay,e9patch,NOT-WIRED,cannot-execute-here: not-in-build
aio-refusal,aio_refusal,chaos,ptrace,DECLINED-IN-MANIFEST,
aio-refusal,aio_refusal,chaos,kvm,DECLINED-IN-MANIFEST,cannot-execute-here: HUNG(no verdict in 60s)
aio-refusal,aio_refusal,chaos,dbi,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
aio-refusal,aio_refusal,chaos,liteinst,DECLINED-IN-MANIFEST,cannot-execute-here: runtime .so missing
aio-refusal,aio_refusal,chaos,sabre,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
aio-refusal,aio_refusal,chaos,e9patch,NOT-WIRED,cannot-execute-here: not-in-build
aio-refusal,aio_refusal,custom,ptrace,DECLINED-IN-MANIFEST,
aio-refusal,aio_refusal,custom,kvm,DECLINED-IN-MANIFEST,cannot-execute-here: HUNG(no verdict in 60s)
aio-refusal,aio_refusal,custom,dbi,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
aio-refusal,aio_refusal,custom,liteinst,DECLINED-IN-MANIFEST,cannot-execute-here: runtime .so missing
aio-refusal,aio_refusal,custom,sabre,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
aio-refusal,aio_refusal,custom,e9patch,NOT-WIRED,cannot-execute-here: not-in-build
set-tid-address,set_tid_address,verify,ptrace,GATED-OFF(ci=false),EXECUTED ok=4 rc=0
set-tid-address,set_tid_address,verify,kvm,DECLINED-IN-MANIFEST,cannot-execute-here: HUNG(no verdict in 60s)
set-tid-address,set_tid_address,verify,dbi,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
set-tid-address,set_tid_address,verify,liteinst,DECLINED-IN-MANIFEST,cannot-execute-here: runtime .so missing
set-tid-address,set_tid_address,verify,sabre,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
set-tid-address,set_tid_address,verify,e9patch,NOT-WIRED,cannot-execute-here: not-in-build
set-tid-address,set_tid_address,naked,ptrace,NOT-WIRED,
set-tid-address,set_tid_address,naked,kvm,NOT-WIRED,cannot-execute-here: HUNG(no verdict in 60s)
set-tid-address,set_tid_address,naked,dbi,NOT-WIRED,cannot-execute-here: not-in-build
set-tid-address,set_tid_address,naked,liteinst,NOT-WIRED,cannot-execute-here: runtime .so missing
set-tid-address,set_tid_address,naked,sabre,NOT-WIRED,cannot-execute-here: not-in-build
set-tid-address,set_tid_address,naked,e9patch,NOT-WIRED,cannot-execute-here: not-in-build
set-tid-address,set_tid_address,replay,ptrace,DECLINED-IN-MANIFEST,
set-tid-address,set_tid_address,replay,kvm,DECLINED-IN-MANIFEST,cannot-execute-here: HUNG(no verdict in 60s)
set-tid-address,set_tid_address,replay,dbi,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
set-tid-address,set_tid_address,replay,liteinst,DECLINED-IN-MANIFEST,cannot-execute-here: runtime .so missing
set-tid-address,set_tid_address,replay,sabre,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
set-tid-address,set_tid_address,replay,e9patch,NOT-WIRED,cannot-execute-here: not-in-build
set-tid-address,set_tid_address,chaos,ptrace,DECLINED-IN-MANIFEST,
set-tid-address,set_tid_address,chaos,kvm,DECLINED-IN-MANIFEST,cannot-execute-here: HUNG(no verdict in 60s)
set-tid-address,set_tid_address,chaos,dbi,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
set-tid-address,set_tid_address,chaos,liteinst,DECLINED-IN-MANIFEST,cannot-execute-here: runtime .so missing
set-tid-address,set_tid_address,chaos,sabre,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
set-tid-address,set_tid_address,chaos,e9patch,NOT-WIRED,cannot-execute-here: not-in-build
set-tid-address,set_tid_address,custom,ptrace,DECLINED-IN-MANIFEST,
set-tid-address,set_tid_address,custom,kvm,DECLINED-IN-MANIFEST,cannot-execute-here: HUNG(no verdict in 60s)
set-tid-address,set_tid_address,custom,dbi,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
set-tid-address,set_tid_address,custom,liteinst,DECLINED-IN-MANIFEST,cannot-execute-here: runtime .so missing
set-tid-address,set_tid_address,custom,sabre,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
set-tid-address,set_tid_address,custom,e9patch,NOT-WIRED,cannot-execute-here: not-in-build
personality-domain,personality_domain,verify,ptrace,CI-SELECTED,EXECUTED ok=5 rc=0
personality-domain,personality_domain,verify,kvm,DECLINED-IN-MANIFEST,cannot-execute-here: HUNG(no verdict in 60s)
personality-domain,personality_domain,verify,dbi,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
personality-domain,personality_domain,verify,liteinst,DECLINED-IN-MANIFEST,cannot-execute-here: runtime .so missing
personality-domain,personality_domain,verify,sabre,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
personality-domain,personality_domain,verify,e9patch,NOT-WIRED,cannot-execute-here: not-in-build
personality-domain,personality_domain,naked,ptrace,NOT-WIRED,
personality-domain,personality_domain,naked,kvm,NOT-WIRED,cannot-execute-here: HUNG(no verdict in 60s)
personality-domain,personality_domain,naked,dbi,NOT-WIRED,cannot-execute-here: not-in-build
personality-domain,personality_domain,naked,liteinst,NOT-WIRED,cannot-execute-here: runtime .so missing
personality-domain,personality_domain,naked,sabre,NOT-WIRED,cannot-execute-here: not-in-build
personality-domain,personality_domain,naked,e9patch,NOT-WIRED,cannot-execute-here: not-in-build
personality-domain,personality_domain,replay,ptrace,DECLINED-IN-MANIFEST,
personality-domain,personality_domain,replay,kvm,DECLINED-IN-MANIFEST,cannot-execute-here: HUNG(no verdict in 60s)
personality-domain,personality_domain,replay,dbi,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
personality-domain,personality_domain,replay,liteinst,DECLINED-IN-MANIFEST,cannot-execute-here: runtime .so missing
personality-domain,personality_domain,replay,sabre,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
personality-domain,personality_domain,replay,e9patch,NOT-WIRED,cannot-execute-here: not-in-build
personality-domain,personality_domain,chaos,ptrace,DECLINED-IN-MANIFEST,
personality-domain,personality_domain,chaos,kvm,DECLINED-IN-MANIFEST,cannot-execute-here: HUNG(no verdict in 60s)
personality-domain,personality_domain,chaos,dbi,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
personality-domain,personality_domain,chaos,liteinst,DECLINED-IN-MANIFEST,cannot-execute-here: runtime .so missing
personality-domain,personality_domain,chaos,sabre,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
personality-domain,personality_domain,chaos,e9patch,NOT-WIRED,cannot-execute-here: not-in-build
personality-domain,personality_domain,custom,ptrace,DECLINED-IN-MANIFEST,
personality-domain,personality_domain,custom,kvm,DECLINED-IN-MANIFEST,cannot-execute-here: HUNG(no verdict in 60s)
personality-domain,personality_domain,custom,dbi,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
personality-domain,personality_domain,custom,liteinst,DECLINED-IN-MANIFEST,cannot-execute-here: runtime .so missing
personality-domain,personality_domain,custom,sabre,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
personality-domain,personality_domain,custom,e9patch,NOT-WIRED,cannot-execute-here: not-in-build
cachestat-refusal,cachestat_refusal,verify,ptrace,GATED-OFF(ci=false),EXECUTED ok=2 rc=0
cachestat-refusal,cachestat_refusal,verify,kvm,DECLINED-IN-MANIFEST,cannot-execute-here: HUNG(no verdict in 60s)
cachestat-refusal,cachestat_refusal,verify,dbi,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
cachestat-refusal,cachestat_refusal,verify,liteinst,DECLINED-IN-MANIFEST,cannot-execute-here: runtime .so missing
cachestat-refusal,cachestat_refusal,verify,sabre,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
cachestat-refusal,cachestat_refusal,verify,e9patch,NOT-WIRED,cannot-execute-here: not-in-build
cachestat-refusal,cachestat_refusal,naked,ptrace,NOT-WIRED,
cachestat-refusal,cachestat_refusal,naked,kvm,NOT-WIRED,cannot-execute-here: HUNG(no verdict in 60s)
cachestat-refusal,cachestat_refusal,naked,dbi,NOT-WIRED,cannot-execute-here: not-in-build
cachestat-refusal,cachestat_refusal,naked,liteinst,NOT-WIRED,cannot-execute-here: runtime .so missing
cachestat-refusal,cachestat_refusal,naked,sabre,NOT-WIRED,cannot-execute-here: not-in-build
cachestat-refusal,cachestat_refusal,naked,e9patch,NOT-WIRED,cannot-execute-here: not-in-build
cachestat-refusal,cachestat_refusal,replay,ptrace,DECLINED-IN-MANIFEST,
cachestat-refusal,cachestat_refusal,replay,kvm,DECLINED-IN-MANIFEST,cannot-execute-here: HUNG(no verdict in 60s)
cachestat-refusal,cachestat_refusal,replay,dbi,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
cachestat-refusal,cachestat_refusal,replay,liteinst,DECLINED-IN-MANIFEST,cannot-execute-here: runtime .so missing
cachestat-refusal,cachestat_refusal,replay,sabre,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
cachestat-refusal,cachestat_refusal,replay,e9patch,NOT-WIRED,cannot-execute-here: not-in-build
cachestat-refusal,cachestat_refusal,chaos,ptrace,DECLINED-IN-MANIFEST,
cachestat-refusal,cachestat_refusal,chaos,kvm,DECLINED-IN-MANIFEST,cannot-execute-here: HUNG(no verdict in 60s)
cachestat-refusal,cachestat_refusal,chaos,dbi,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
cachestat-refusal,cachestat_refusal,chaos,liteinst,DECLINED-IN-MANIFEST,cannot-execute-here: runtime .so missing
cachestat-refusal,cachestat_refusal,chaos,sabre,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
cachestat-refusal,cachestat_refusal,chaos,e9patch,NOT-WIRED,cannot-execute-here: not-in-build
cachestat-refusal,cachestat_refusal,custom,ptrace,DECLINED-IN-MANIFEST,
