probe,native_unstable,hermit_pre_unstable,hermit_fixed_unstable,native_offsets,hermit_pre_offsets,hermit_fixed_offsets,verdict
sysinfo,0,2,0,-,108-110,-,LEAK(pre)->FIXED
uname,0,0,0,-,-,-,clean
getrusage_self,2,0,0,24-26,-,-,native-also-indeterminate:not-discriminable
getrusage_child,0,0,0,-,-,-,clean
times,0,0,0,-,-,-,clean
newfstatat,0,0,0,-,-,-,clean
fstat,0,0,0,-,-,-,clean
statfs,0,0,0,-,-,-,clean
prlimit64,0,0,0,-,-,-,clean
clock_gettime,3,3,3,8-11,8-11,8-11,native-also-indeterminate:not-discriminable
clock_getres,0,0,0,-,-,-,clean
gettimeofday,2,2,2,8-10,8-10,8-10,native-also-indeterminate:not-discriminable
getitimer,0,0,0,-,-,-,clean
timer_gettime,0,0,0,-,-,-,clean
adjtimex,2,2,2,80-82,80-82,80-82,native-also-indeterminate:not-discriminable
rt_sigaction_old,0,0,0,-,-,-,clean
rt_sigprocmask_old,0,0,0,-,-,-,clean
getcpu,0,0,0,-,-,-,clean
sched_getparam,0,0,0,-,-,-,clean
getresuid,0,0,0,-,-,-,clean
getresgid,0,0,0,-,-,-,clean
statx,0,0,0,-,-,-,clean
waitid,105,1,1,12-17,28-128,16-17,16-17,native-also-indeterminate:not-discriminable
