cell	backend	run	rc	detlog_records	refusal
detlog_syscalls	ptrace	19	0	336	
detlog_syscalls	ptrace	20	0	336	
detlog_syscalls	ptrace	21	0	336	
detlog_syscalls	ptrace	22	0	336	
detlog_syscalls	ptrace	23	0	336	
detlog_syscalls	ptrace	24	0	336	
detlog_syscalls	ptrace	25	0	336	
detlog_syscalls	ptrace	26	0	336	
detlog_syscalls	ptrace	27	0	336	
detlog_syscalls	ptrace	28	0	336	
detlog_syscalls	ptrace	29	0	336	
detlog_syscalls	ptrace	30	0	336	
detlog_syscalls	kvm	1	0	336	
detlog_syscalls	kvm	2	0	336	
detlog_syscalls	kvm	3	0	336	
detlog_syscalls	kvm	4	0	336	
detlog_syscalls	kvm	5	0	336	
detlog_syscalls	kvm	6	0	336	
detlog_syscalls	kvm	7	0	336	
detlog_syscalls	kvm	8	0	336	
detlog_syscalls	kvm	9	0	336	
detlog_syscalls	kvm	10	0	336	
detlog_syscalls	kvm	11	0	336	
detlog_syscalls	kvm	12	0	336	
detlog_syscalls	kvm	13	0	336	
detlog_syscalls	kvm	14	0	336	
detlog_syscalls	kvm	15	0	336	
detlog_syscalls	kvm	16	0	336	
detlog_syscalls	kvm	17	0	336	
detlog_syscalls	kvm	18	0	336	
detlog_syscalls	kvm	19	0	336	
detlog_syscalls	kvm	20	0	336	
detlog_syscalls	kvm	21	0	336	
detlog_syscalls	kvm	22	0	336	
detlog_syscalls	kvm	23	0	336	
detlog_syscalls	kvm	24	0	336	
detlog_syscalls	kvm	25	0	336	
detlog_syscalls	kvm	26	0	336	
detlog_syscalls	kvm	27	0	336	
detlog_syscalls	kvm	28	0	336	
detlog_syscalls	kvm	29	0	336	
detlog_syscalls	kvm	30	0	336	
detlog_syscalls	liteinst	1	0	1074	
detlog_syscalls	liteinst	2	0	1074	
detlog_syscalls	liteinst	3	0	1074	
detlog_syscalls	liteinst	4	0	1074	
detlog_syscalls	liteinst	5	0	1074	
detlog_syscalls	liteinst	6	0	1074	
detlog_syscalls	liteinst	7	0	1074	
detlog_syscalls	liteinst	8	0	1074	
detlog_syscalls	liteinst	9	0	1074	
detlog_syscalls	liteinst	10	0	1074	
detlog_syscalls	liteinst	11	0	1074	
detlog_syscalls	liteinst	12	0	1074	
detlog_syscalls	liteinst	13	0	1074	
detlog_syscalls	liteinst	14	0	1074	
detlog_syscalls	liteinst	15	0	1074	
detlog_syscalls	liteinst	16	0	1074	
detlog_syscalls	liteinst	17	0	1074	
detlog_syscalls	liteinst	18	0	1074	
detlog_syscalls	liteinst	19	0	1074	
detlog_syscalls	liteinst	20	0	1074	
detlog_syscalls	liteinst	21	0	1074	
detlog_syscalls	liteinst	22	0	1074	
detlog_syscalls	liteinst	23	0	1074	
detlog_syscalls	liteinst	24	0	1074	
detlog_syscalls	liteinst	25	0	1074	
detlog_syscalls	liteinst	26	0	1074	
detlog_syscalls	liteinst	27	0	1074	
detlog_syscalls	liteinst	28	0	1074	
detlog_syscalls	liteinst	29	0	1074	
detlog_syscalls	liteinst	30	0	1074	
