cell,backend,tier_0041130c,tier_723d19ad_n30,parity_fields_changed,Z,E_0041130c,E_723d19ad,cover_hex_pct_0041130c,cover_hex_pct_723d19ad,selfdet_classes_0041130c_n3,selfdet_classes_723d19ad_n3,selfdet_classes_723d19ad_n30,verdict
detlog_syscalls,kvm,diverges,diverges,none,336,336,336,86.9,86.9,1/3 (3),1/3 (3),1/30 (30),UNCHANGED
detlog_syscalls,liteinst,self-nondeterministic,self-nondeterministic,none,336,1074,1074,,,1/3 (3),3/3 (1|1|1),2/30 (21|9),SAMPLING-ARTIFACT
detlog_syscalls,ptrace,byte-identical,byte-identical,none,336,336,336,100.0,100.0,1/3 (3),1/3 (3),1/30 (30),UNCHANGED
detlog_syscalls,sabre,diverges,diverges,none,336,313,313,32.7,32.7,1/3 (3),1/3 (3),1/30 (30),UNCHANGED
heap_fragment_reuse,dbi,self-nondeterministic,self-nondeterministic,none,98,96,96,,,3/3 (1|1|1),3/3 (1|1|1),30/30 (1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1),UNCHANGED
heap_fragment_reuse,e9patch,not-exercised,not-exercised,none,98,98,98,,,1/3 (3),1/3 (3),1/30 (30),UNCHANGED
heap_fragment_reuse,kvm,diverges,diverges,none,98,98,98,87.8,87.8,1/3 (3),1/3 (3),1/30 (30),UNCHANGED
heap_fragment_reuse,liteinst,diverges,diverges,none,98,836,836,52.0,52.0,1/3 (3),1/3 (3),1/30 (30),UNCHANGED
heap_fragment_reuse,ptrace,byte-identical,byte-identical,none,98,98,98,100.0,100.0,1/3 (3),1/3 (3),1/30 (30),UNCHANGED
heap_fragment_reuse,sabre,diverges,diverges,none,98,81,81,19.4,19.4,1/3 (3),1/3 (3),1/30 (30),UNCHANGED
notsc,dbi,self-nondeterministic,self-nondeterministic,none,96,94,94,,,3/3 (1|1|1),3/3 (1|1|1),30/30 (1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1),UNCHANGED
notsc,e9patch,not-exercised,not-exercised,none,96,96,96,,,1/3 (3),1/3 (3),1/30 (30),UNCHANGED
notsc,kvm,diverges,diverges,none,96,96,96,87.5,87.5,1/3 (3),1/3 (3),1/30 (30),UNCHANGED
notsc,liteinst,diverges,diverges,none,96,832,832,49.0,49.0,1/3 (3),1/3 (3),1/30 (30),UNCHANGED
notsc,ptrace,byte-identical,byte-identical,none,96,96,96,100.0,100.0,1/3 (3),1/3 (3),1/30 (30),UNCHANGED
notsc,sabre,diverges,diverges,none,96,79,79,8.3,8.3,1/3 (3),1/3 (3),1/30 (30),UNCHANGED
stack_deep_recursion,dbi,self-nondeterministic,self-nondeterministic,none,80,78,78,,,3/3 (1|1|1),3/3 (1|1|1),30/30 (1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1),UNCHANGED
stack_deep_recursion,e9patch,not-exercised,not-exercised,none,80,80,80,,,1/3 (3),1/3 (3),1/30 (30),UNCHANGED
stack_deep_recursion,kvm,diverges,diverges,none,80,80,80,85.0,85.0,1/3 (3),1/3 (3),1/30 (30),UNCHANGED
stack_deep_recursion,liteinst,diverges,diverges,none,80,818,818,48.8,48.8,1/3 (3),1/3 (3),1/30 (30),UNCHANGED
stack_deep_recursion,ptrace,byte-identical,byte-identical,none,80,80,80,100.0,100.0,1/3 (3),1/3 (3),1/30 (30),UNCHANGED
stack_deep_recursion,sabre,diverges,diverges,none,80,63,63,10.0,10.0,1/3 (3),1/3 (3),1/30 (30),UNCHANGED
stdout_bytes,dbi,self-nondeterministic,self-nondeterministic,none,82,80,80,,,3/3 (1|1|1),3/3 (1|1|1),30/30 (1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1),UNCHANGED
stdout_bytes,e9patch,not-exercised,not-exercised,none,82,82,82,,,1/3 (3),1/3 (3),1/30 (30),UNCHANGED
stdout_bytes,kvm,diverges,diverges,none,82,82,82,85.4,85.4,1/3 (3),1/3 (3),1/30 (30),UNCHANGED
stdout_bytes,liteinst,diverges,diverges,none,82,820,820,48.8,48.8,1/3 (3),1/3 (3),1/30 (30),UNCHANGED
stdout_bytes,ptrace,byte-identical,byte-identical,none,82,82,82,100.0,100.0,1/3 (3),1/3 (3),1/30 (30),UNCHANGED
stdout_bytes,sabre,diverges,diverges,none,82,65,65,11.0,11.0,1/3 (3),1/3 (3),1/30 (30),UNCHANGED
