cell,backend,corpus,guest_source,tier,Z,E,selfdet,selfdet_runs,selfdet_pairs,selfdet_differing_pairs,golden_selfdet,Y_raw,cover_raw,uncovered_raw,inserted_raw,Y_hex,cover_hex,uncovered_hex,inserted_hex,cover_hex_pct,selfdet_distinct_classes,selfdet_class_sizes,inherited,engagement,matrix_sample_selfdet,note
heap_fragment_reuse,e9patch,ci-hub/parity pinned reference guest,ci-hub/parity/guests/heap_fragment_reuse.c,not-exercised,98,98,1 class over 30 runs (30),30,435,0,1 class(es) over 30 runs (30),,,,,,,,,,1,30,"INHERITED from the attached ptrace runtime — e9patch is ELF preprocessing, not a backend; its determinism is the ptracer's",candidate_sites=0; mapped_sites=0; b0_sites=0; instruction_map_cache=Hit; rewrite_cache=not-applicable; artifact_sha256=none,,the backend ran but its own witness says it transformed nothing; any agreement here belongs to the fallback path
heap_fragment_reuse,liteinst,ci-hub/parity pinned reference guest,ci-hub/parity/guests/heap_fragment_reuse.c,diverges,98,836,1 class over 30 runs (30),30,435,0,1 class(es) over 30 runs (30),6,28,70,808,10,51,47,785,52.0,1,30,,preload_refs=3,,
stack_deep_recursion,ptrace,ci-hub/parity pinned reference guest,ci-hub/parity/guests/stack_deep_recursion.c,byte-identical,80,80,1 class over 30 runs (30),30,435,0,1 class(es) over 30 runs (30),80,80,0,0,80,80,0,0,100.0,1,30,,reference,,
stack_deep_recursion,kvm,ci-hub/parity pinned reference guest,ci-hub/parity/guests/stack_deep_recursion.c,diverges,80,80,1 class over 30 runs (30),30,435,0,1 class(es) over 30 runs (30),6,24,56,56,9,68,12,12,85.0,1,30,,launching guest through reverie-kvm,,
stack_deep_recursion,dbi,ci-hub/parity pinned reference guest,ci-hub/parity/guests/stack_deep_recursion.c,self-nondeterministic,80,78,30 classes over 30 runs (1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1),30,435,435,1 class(es) over 30 runs (30),,,,,,,,,,30,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,,"Detcore Tool active; running ""./pg/stack_deep_recursion"" und",,parity WITHHELD: a stream that differs from itself cannot be said to differ from the golden by a definite amount
stack_deep_recursion,sabre,ci-hub/parity pinned reference guest,ci-hub/parity/guests/stack_deep_recursion.c,diverges,80,63,1 class over 30 runs (30),30,435,0,1 class(es) over 30 runs (30),4,6,74,57,4,8,72,55,10.0,1,30,,ptrace_fallback_sites=0 trusted_shared_object_sites=0 guest_rpc_observed=true,,
stack_deep_recursion,e9patch,ci-hub/parity pinned reference guest,ci-hub/parity/guests/stack_deep_recursion.c,not-exercised,80,80,1 class over 30 runs (30),30,435,0,1 class(es) over 30 runs (30),,,,,,,,,,1,30,"INHERITED from the attached ptrace runtime — e9patch is ELF preprocessing, not a backend; its determinism is the ptracer's",candidate_sites=0; mapped_sites=0; b0_sites=0; instruction_map_cache=Hit; rewrite_cache=not-applicable; artifact_sha256=none,,the backend ran but its own witness says it transformed nothing; any agreement here belongs to the fallback path
stack_deep_recursion,liteinst,ci-hub/parity pinned reference guest,ci-hub/parity/guests/stack_deep_recursion.c,diverges,80,818,1 class over 30 runs (30),30,435,0,1 class(es) over 30 runs (30),6,21,59,797,10,39,41,779,48.8,1,30,,preload_refs=3,,
stdout_bytes,ptrace,ci-hub/parity pinned reference guest,ci-hub/parity/guests/stdout_bytes.c,byte-identical,82,82,1 class over 30 runs (30),30,435,0,1 class(es) over 30 runs (30),82,82,0,0,82,82,0,0,100.0,1,30,,reference,,
stdout_bytes,kvm,ci-hub/parity pinned reference guest,ci-hub/parity/guests/stdout_bytes.c,diverges,82,82,1 class over 30 runs (30),30,435,0,1 class(es) over 30 runs (30),6,26,56,56,9,70,12,12,85.4,1,30,,launching guest through reverie-kvm,,
