test_name	backend	expectation	result	seconds	detail
hello_stdout	kvm	guest	PASS	0.979	L2 guest-visible: output+exit matched (internal trace nondeterministic)
argument_forwarding	kvm	guest	PASS	0.977	L2 guest-visible: output+exit matched (internal trace nondeterministic)
exit_zero	kvm	guest	PASS	0.955	L2 guest-visible: output+exit matched (internal trace nondeterministic)
exit_status	kvm	guest	PASS	1.000	L2 guest-visible: output+exit matched (internal trace nondeterministic)
file_read	kvm	guest	PASS	0.938	L2 guest-visible: output+exit matched (internal trace nondeterministic)
file_mutation	kvm	guest	PASS	0.917	L2 guest-visible: output+exit matched (internal trace nondeterministic)
file_metadata	kvm	guest	PASS	0.935	L2 guest-visible: output+exit matched (internal trace nondeterministic)
io_uring_fallback	kvm	guest	PASS	1.651	L2 guest-visible: output+exit matched (internal trace nondeterministic)
listmount_unavailable	kvm	guest	PASS	1.149	L2 guest-visible: output+exit matched (internal trace nondeterministic)
process_vm_readv_refusal	kvm	guest	PASS	0.929	L2 guest-visible: output+exit matched (internal trace nondeterministic)
process_vm_writev_refusal	kvm	guest	PASS	0.952	L2 guest-visible: output+exit matched (internal trace nondeterministic)
executable_mmap	kvm	guest	PASS	0.911	L2 guest-visible: output+exit matched (internal trace nondeterministic)
memory_advice	kvm	guest	PASS	0.907	L2 guest-visible: output+exit matched (internal trace nondeterministic)
heap_growth	kvm	guest	PASS	0.870	L2 guest-visible: output+exit matched (internal trace nondeterministic)
anonymous_mmap_layout	kvm	guest	PASS	1.633	L2 guest-visible: output+exit matched (internal trace nondeterministic)
shared_anonymous_mmap	kvm	guest	PASS	1.236	L2 guest-visible: output+exit matched (internal trace nondeterministic)
pthread_lifecycle	kvm	guest	PASS	1.849	L2 guest-visible: output+exit matched (internal trace nondeterministic)
process_wait_accounting	kvm	gap	GAP	0.000	under --verify the concurrent double-run races child reaping: waitid on the already-reaped child returns ECHILD, so the second run exits non-zero; reverie-kvm synchronizes wait4 child state but not waitid
process_wait_lifecycle	kvm	gap	GAP	0.000	inherited from the L1 KVM process_wait_lifecycle gap: no guest SIGCHLD frame synthesis, so there is no L2 run to verify
cpuid_policy	kvm	guest	PASS	1.247	L2 guest-visible: output+exit matched (internal trace nondeterministic)
virtual_clock	kvm	guest	PASS	1.746	L2 guest-visible: output+exit matched (internal trace nondeterministic)
random_sources	kvm	guest	PASS	1.139	L2 guest-visible: output+exit matched (internal trace nondeterministic)
virtual_pid	kvm	guest	PASS	0.854	L2 guest-visible: output+exit matched (internal trace nondeterministic)
