% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 98.77    6.356823         928      6847       551 futex
  0.38    0.024657          25       980       488 sched_getaffinity
  0.18    0.011772           7      1535           mmap
  0.18    0.011641           9      1270           mprotect
  0.13    0.008613          35       243           clone3
  0.10    0.006270          25       242           prctl
  0.06    0.003865           2      1471           rt_sigprocmask
  0.05    0.003292          24       135           munmap
  0.03    0.002112           1      1225           read
  0.03    0.001979           1      1172           lseek
  0.02    0.001393           5       244           rseq
  0.02    0.001046           9       111        55 openat
  0.01    0.000957           3       244           set_robust_list
  0.01    0.000435           1       244           gettid
  0.01    0.000334           3        94        92 readlink
  0.00    0.000178           4        36           sched_yield
  0.00    0.000138           2        56           close
  0.00    0.000138           3        45         7 stat
  0.00    0.000112          18         6           getdents64
  0.00    0.000078           1        57           fstat
  0.00    0.000070           2        32        30 newfstatat
  0.00    0.000059           5        10           write
  0.00    0.000055          55         1           connect
  0.00    0.000034           4         7           madvise
  0.00    0.000033           1        25           rt_sigaction
  0.00    0.000033          33         1           unlink
  0.00    0.000024          12         2           ftruncate
  0.00    0.000015          15         1           poll
  0.00    0.000015           1         8           prlimit64
  0.00    0.000008           8         1           sysinfo
  0.00    0.000007           7         1           sendto
  0.00    0.000006           6         1           recvmsg
  0.00    0.000006           1         4           fchdir
  0.00    0.000006           1         4           geteuid
  0.00    0.000005           5         1           socket
  0.00    0.000005           2         2           getcwd
  0.00    0.000004           2         2           getpid
  0.00    0.000003           3         1           rt_sigreturn
  0.00    0.000003           0         4           fcntl
  0.00    0.000003           3         1         1 mkdir
  0.00    0.000002           2         1           lstat
  0.00    0.000002           2         1           getuid
  0.00    0.000002           2         1           clock_getres
  0.00    0.000000           0         3           brk
  0.00    0.000000           0         4           pread64
  0.00    0.000000           0         3         2 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           uname
  0.00    0.000000           0         2         1 arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           getrandom
------ ----------- ----------- --------- --------- ------------------
100.00    6.436233         392     16385      1227 total
