% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 98.61    5.028475        2040      2464       206 futex
  0.43    0.022027          22       980       488 sched_getaffinity
  0.19    0.009625           6      1520           mmap
  0.18    0.009411          38       243           clone3
  0.18    0.009363           8      1099           mprotect
  0.12    0.005871          24       242           prctl
  0.07    0.003824           2      1471           rt_sigprocmask
  0.06    0.002909          22       131           munmap
  0.03    0.001427           5       244           rseq
  0.02    0.001246          11       110        55 openat
  0.02    0.001189           1       947           read
  0.02    0.001055           4       244           set_robust_list
  0.02    0.000940           1       896           lseek
  0.01    0.000427           1       244           gettid
  0.01    0.000339         339         1           execve
  0.01    0.000280           7        36           sched_yield
  0.00    0.000190           3        55           close
  0.00    0.000130           2        45         7 stat
  0.00    0.000104           3        32        30 newfstatat
  0.00    0.000088           1        57           fstat
  0.00    0.000078           0        94        92 readlink
  0.00    0.000059          59         1           connect
  0.00    0.000041           4        10           write
  0.00    0.000021          10         2           ftruncate
  0.00    0.000019           0        25           rt_sigaction
  0.00    0.000015           1         8           prlimit64
  0.00    0.000012          12         1           poll
  0.00    0.000012           2         6           getdents64
  0.00    0.000009           3         3         2 access
  0.00    0.000008           8         1           sysinfo
  0.00    0.000007           1         4           pread64
  0.00    0.000007           7         1           socket
  0.00    0.000007           7         1           sendto
  0.00    0.000007           7         1           recvmsg
  0.00    0.000007           1         4           geteuid
  0.00    0.000006           2         3           brk
  0.00    0.000005           1         4           fcntl
  0.00    0.000005           1         4           fchdir
  0.00    0.000003           3         1           lstat
  0.00    0.000003           3         1         1 mkdir
  0.00    0.000003           1         2         1 arch_prctl
  0.00    0.000002           2         1           rt_sigreturn
  0.00    0.000002           1         2           getcwd
  0.00    0.000002           2         1           getuid
  0.00    0.000002           2         1           getrandom
  0.00    0.000001           1         1           set_tid_address
  0.00    0.000001           1         1           clock_getres
  0.00    0.000000           0         4           madvise
  0.00    0.000000           0         2           getpid
  0.00    0.000000           0         1           uname
  0.00    0.000000           0         1           unlink
------ ----------- ----------- --------- --------- ------------------
100.00    5.099264         453     11253       882 total
