% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 98.47    4.991708        2635      1894       202 futex
  0.50    0.025435          25       980       488 sched_getaffinity
  0.24    0.012131           7      1518           mmap
  0.21    0.010511           9      1082           mprotect
  0.19    0.009394          38       243           clone3
  0.13    0.006708          27       242           prctl
  0.08    0.003888          28       137           munmap
  0.07    0.003750           2      1470           rt_sigprocmask
  0.03    0.001401           5       244           rseq
  0.02    0.000984           4       244           set_robust_list
  0.02    0.000918           9        97        45 openat
  0.01    0.000605           0       807           read
  0.01    0.000407           1       244           gettid
  0.01    0.000345           0       767           lseek
  0.00    0.000207           3        52           close
  0.00    0.000140           3        36           sched_yield
  0.00    0.000122           1        78        76 readlink
  0.00    0.000089          14         6           getdents64
  0.00    0.000075          75         1           unlink
  0.00    0.000066          16         4           madvise
  0.00    0.000056           1        53           fstat
  0.00    0.000055           1        33         7 stat
  0.00    0.000044           2        15           write
  0.00    0.000027           1        24           rt_sigaction
  0.00    0.000021          21         1           connect
  0.00    0.000010           1         7           prlimit64
  0.00    0.000007           3         2           ftruncate
  0.00    0.000006           6         1           socket
  0.00    0.000006           1         4           fcntl
  0.00    0.000004           4         1           poll
  0.00    0.000004           4         1           sysinfo
  0.00    0.000003           3         1           rt_sigreturn
  0.00    0.000003           3         1           sendto
  0.00    0.000003           3         1           recvmsg
  0.00    0.000003           3         1           getcwd
  0.00    0.000003           0         4           fchdir
  0.00    0.000002           2         1           getuid
  0.00    0.000002           2         1           clock_getres
  0.00    0.000002           2         1           faccessat2
  0.00    0.000001           1         1           lstat
  0.00    0.000001           1         1         1 mkdir
  0.00    0.000001           0         4           geteuid
  0.00    0.000000           0         3           brk
  0.00    0.000000           0         4           pread64
  0.00    0.000000           0         3         2 access
  0.00    0.000000           0         2           getpid
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           uname
  0.00    0.000000           0         2         1 arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0        22        20 newfstatat
  0.00    0.000000           0         1           getrandom
------ ----------- ----------- --------- --------- ------------------
100.00    5.069148         490     10345       842 total
