% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 98.62    4.920587        1823      2699       221 futex
  0.42    0.021175          21       980       488 sched_getaffinity
  0.20    0.010088           6      1521           mmap
  0.18    0.008924           8      1102           mprotect
  0.17    0.008691          35       243           clone3
  0.11    0.005641          23       242           prctl
  0.09    0.004353           2      1471           rt_sigprocmask
  0.06    0.002903          22       131           munmap
  0.03    0.001411           5       244           rseq
  0.02    0.001116           1       947           read
  0.02    0.001072           9       110        55 openat
  0.02    0.000990           4       244           set_robust_list
  0.01    0.000748           0       896           lseek
  0.01    0.000398           1       244           gettid
  0.01    0.000342         342         1           execve
  0.01    0.000330           3        94        92 readlink
  0.00    0.000238           5        45         7 stat
  0.00    0.000162           4        36           sched_yield
  0.00    0.000133           2        55           close
  0.00    0.000115           3        32        30 newfstatat
  0.00    0.000075          12         6           getdents64
  0.00    0.000052           0        57           fstat
  0.00    0.000029           1        25           rt_sigaction
  0.00    0.000010           3         3         2 access
  0.00    0.000009           2         4           fcntl
  0.00    0.000009           9         1           sysinfo
  0.00    0.000008           2         4           pread64
  0.00    0.000008           1         8           prlimit64
  0.00    0.000006           2         3           brk
  0.00    0.000004           2         2         1 arch_prctl
  0.00    0.000003           1         2           getcwd
  0.00    0.000002           2         1           clock_getres
  0.00    0.000002           2         1           getrandom
  0.00    0.000001           0         2           getpid
  0.00    0.000001           1         1           set_tid_address
  0.00    0.000000           0        10           write
  0.00    0.000000           0         1           lstat
  0.00    0.000000           0         1           poll
  0.00    0.000000           0         1           rt_sigreturn
  0.00    0.000000           0         4           madvise
  0.00    0.000000           0         1           socket
  0.00    0.000000           0         1           connect
  0.00    0.000000           0         1           sendto
  0.00    0.000000           0         1           recvmsg
  0.00    0.000000           0         1           uname
  0.00    0.000000           0         2           ftruncate
  0.00    0.000000           0         4           fchdir
  0.00    0.000000           0         1         1 mkdir
  0.00    0.000000           0         1           unlink
  0.00    0.000000           0         1           getuid
  0.00    0.000000           0         4           geteuid
------ ----------- ----------- --------- --------- ------------------
100.00    4.989636         434     11492       897 total
