% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 98.77    4.694946         862      5444       428 futex
  0.31    0.014898          14       996       496 sched_getaffinity
  0.19    0.009066          36       247           clone3
  0.19    0.008896           5      1545           mmap
  0.17    0.008197           6      1229           mprotect
  0.08    0.003630          14       246           prctl
  0.08    0.003629           2      1503           rt_sigprocmask
  0.04    0.001950          15       130           munmap
  0.03    0.001576           1      1136           read
  0.03    0.001377           1      1084           lseek
  0.03    0.001243           5       248           rseq
  0.03    0.001221          11       110        55 openat
  0.02    0.000904           3       248           set_robust_list
  0.01    0.000481           1       248           gettid
  0.01    0.000296           6        45         7 stat
  0.00    0.000228           2        94        92 readlink
  0.00    0.000162           2        55           close
  0.00    0.000128           3        36           sched_yield
  0.00    0.000126           3        32        30 newfstatat
  0.00    0.000118           2        57           fstat
  0.00    0.000084          10         8           madvise
  0.00    0.000078           7        10           write
  0.00    0.000068          11         6           getdents64
  0.00    0.000042          42         1           connect
  0.00    0.000029          29         1           unlink
  0.00    0.000025           1        25           rt_sigaction
  0.00    0.000020          10         2           ftruncate
  0.00    0.000010           3         3         2 access
  0.00    0.000010           1         8           prlimit64
  0.00    0.000007           1         4           pread64
  0.00    0.000006           6         1           poll
  0.00    0.000006           3         2           getcwd
  0.00    0.000006           1         4           fchdir
  0.00    0.000005           5         1           socket
  0.00    0.000005           1         4           geteuid
  0.00    0.000004           4         1           sysinfo
  0.00    0.000003           1         3           brk
  0.00    0.000003           3         1           sendto
  0.00    0.000003           3         1           recvmsg
  0.00    0.000002           2         1           lstat
  0.00    0.000002           2         1           rt_sigreturn
  0.00    0.000002           1         2           getpid
  0.00    0.000002           2         1         1 mkdir
  0.00    0.000002           2         1           getuid
  0.00    0.000002           1         2         1 arch_prctl
  0.00    0.000002           2         1           clock_getres
  0.00    0.000002           2         1           getrandom
  0.00    0.000001           1         1           set_tid_address
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           uname
  0.00    0.000000           0         4           fcntl
------ ----------- ----------- --------- --------- ------------------
100.00    4.753503         320     14836      1112 total
