% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 98.71    5.991331        1409      4252       303 futex
  0.38    0.022879          23       980       488 sched_getaffinity
  0.19    0.011276           7      1526           mmap
  0.16    0.010000           8      1134           mprotect
  0.15    0.008999          37       243           clone3
  0.10    0.006037          24       242           prctl
  0.06    0.003897           2      1471           rt_sigprocmask
  0.05    0.002886          21       133           munmap
  0.05    0.002858           2      1286           read
  0.03    0.001954          15       126        55 openat
  0.03    0.001770           1      1214           lseek
  0.02    0.001304           5       244           rseq
  0.02    0.000986           4       244           set_robust_list
  0.01    0.000580          11        49         7 stat
  0.01    0.000446           6        68           pread64
  0.01    0.000429           1       244           gettid
  0.01    0.000372         372         1           execve
  0.01    0.000354           5        66           close
  0.01    0.000347           3       105       103 readlink
  0.00    0.000174           2        71           fstat
  0.00    0.000151           4        36           sched_yield
  0.00    0.000148           4        32        30 newfstatat
  0.00    0.000106          53         2           unlink
  0.00    0.000062          10         6           getdents64
  0.00    0.000061          61         1           connect
  0.00    0.000038           1        26           rt_sigaction
  0.00    0.000038           9         4           madvise
  0.00    0.000037           3        10           write
  0.00    0.000031           0        64           pwrite64
  0.00    0.000017          17         1           poll
  0.00    0.000016           8         2           ftruncate
  0.00    0.000014           7         2           socket
  0.00    0.000013           1         8           prlimit64
  0.00    0.000010           3         3           getcwd
  0.00    0.000009           0        10         2 access
  0.00    0.000008           4         2           lstat
  0.00    0.000008           8         1           sendto
  0.00    0.000008           8         1           recvmsg
  0.00    0.000007           7         1           uname
  0.00    0.000007           1         4           fchdir
  0.00    0.000006           2         3           brk
  0.00    0.000006           6         1           sysinfo
  0.00    0.000005           1         4           geteuid
  0.00    0.000004           2         2           rt_sigreturn
  0.00    0.000004           2         2         1 arch_prctl
  0.00    0.000003           0         6           fcntl
  0.00    0.000002           2         1         1 mkdir
  0.00    0.000002           2         1           getuid
  0.00    0.000002           2         1           set_tid_address
  0.00    0.000002           2         1           clock_getres
  0.00    0.000002           2         1           getrandom
  0.00    0.000001           1         1         1 getsockname
  0.00    0.000000           0         2           getpid
  0.00    0.000000           0         1           socketpair
  0.00    0.000000           0         1           fsync
------ ----------- ----------- --------- --------- ------------------
100.00    6.069707         435     13943       991 total
