case_id	subcmd	image	interleavings	pinned_scratch_path	seed_A	sha_A	seed_B	sha_B	repro_verified	reproduce_cmd
CR14	chunk-recover	up__bko-156811-bad-parent-ref-qgroup-verify.raw	2	runs/sweep_chunkrec/up__bko-156811-bad-parent-ref-qgroup-verify.raw.scratch	1	b2aecfac5be9a49c	2	8a0144e381c0f635	YES	cp corpus/up__bko-156811-bad-parent-ref-qgroup-verify.raw runs/sweep_chunkrec/up__bko-156811-bad-parent-ref-qgroup-verify.raw.scratch && hermit run --strict --chaos --chaos-target-races --seed <SEED> -- btrfs rescue chunk-recover -y -v runs/sweep_chunkrec/up__bko-156811-bad-parent-ref-qgroup-verify.raw.scratch
CR15	chunk-recover	up__bko-161811.raw	2	runs/sweep_chunkrec/up__bko-161811.raw.scratch	1	d4f744c45fe67b46	2	6bbb3b11344bfdd3	YES	cp corpus/up__bko-161811.raw runs/sweep_chunkrec/up__bko-161811.raw.scratch && hermit run --strict --chaos --chaos-target-races --seed <SEED> -- btrfs rescue chunk-recover -y -v runs/sweep_chunkrec/up__bko-161811.raw.scratch
CR16	chunk-recover	up__bko-161821.raw	2	runs/sweep_chunkrec/up__bko-161821.raw.scratch	1	1383273a239ce2c4	2	699da3eadb9190e1	YES	cp corpus/up__bko-161821.raw runs/sweep_chunkrec/up__bko-161821.raw.scratch && hermit run --strict --chaos --chaos-target-races --seed <SEED> -- btrfs rescue chunk-recover -y -v runs/sweep_chunkrec/up__bko-161821.raw.scratch
CR17	chunk-recover	up__bko-166361-blocksize-zero.raw	2	runs/sweep_chunkrec/up__bko-166361-blocksize-zero.raw.scratch	1	36304464ef25673f	2	7644d2ea1c0b369d	YES	cp corpus/up__bko-166361-blocksize-zero.raw runs/sweep_chunkrec/up__bko-166361-blocksize-zero.raw.scratch && hermit run --strict --chaos --chaos-target-races --seed <SEED> -- btrfs rescue chunk-recover -y -v runs/sweep_chunkrec/up__bko-166361-blocksize-zero.raw.scratch
CR18	chunk-recover	up__bko-167551.raw	2	runs/sweep_chunkrec/up__bko-167551.raw.scratch	1	72129ae95d4f2837	2	b2b76bfe961a44ed	YES	cp corpus/up__bko-167551.raw runs/sweep_chunkrec/up__bko-167551.raw.scratch && hermit run --strict --chaos --chaos-target-races --seed <SEED> -- btrfs rescue chunk-recover -y -v runs/sweep_chunkrec/up__bko-167551.raw.scratch
CR19	chunk-recover	up__bko-167781.raw	2	runs/sweep_chunkrec/up__bko-167781.raw.scratch	1	8bd0e952a2ffabc5	2	ac722d11ccc7b7a5	YES	cp corpus/up__bko-167781.raw runs/sweep_chunkrec/up__bko-167781.raw.scratch && hermit run --strict --chaos --chaos-target-races --seed <SEED> -- btrfs rescue chunk-recover -y -v runs/sweep_chunkrec/up__bko-167781.raw.scratch
CR20	chunk-recover	up__bko-167921.raw	2	runs/sweep_chunkrec/up__bko-167921.raw.scratch	1	e48948af2f0adaba	2	09ed5851de66bc99	YES	cp corpus/up__bko-167921.raw runs/sweep_chunkrec/up__bko-167921.raw.scratch && hermit run --strict --chaos --chaos-target-races --seed <SEED> -- btrfs rescue chunk-recover -y -v runs/sweep_chunkrec/up__bko-167921.raw.scratch
CR21	chunk-recover	up__bko-168301.raw	2	runs/sweep_chunkrec/up__bko-168301.raw.scratch	1	6c4cbbc308d24088	2	9c5edec866f08190	YES	cp corpus/up__bko-168301.raw runs/sweep_chunkrec/up__bko-168301.raw.scratch && hermit run --strict --chaos --chaos-target-races --seed <SEED> -- btrfs rescue chunk-recover -y -v runs/sweep_chunkrec/up__bko-168301.raw.scratch
CR22	chunk-recover	up__bko-169301-1-blocksize-zero.raw	2	runs/sweep_chunkrec/up__bko-169301-1-blocksize-zero.raw.scratch	1	3ad3ca89871652b3	2	8d95a6b647e1bce0	YES	cp corpus/up__bko-169301-1-blocksize-zero.raw runs/sweep_chunkrec/up__bko-169301-1-blocksize-zero.raw.scratch && hermit run --strict --chaos --chaos-target-races --seed <SEED> -- btrfs rescue chunk-recover -y -v runs/sweep_chunkrec/up__bko-169301-1-blocksize-zero.raw.scratch
CR23	chunk-recover	up__bko-169301-2-blocksize-zero.raw	2	runs/sweep_chunkrec/up__bko-169301-2-blocksize-zero.raw.scratch	1	950911614f2c772e	2	45136574c499a387	YES	cp corpus/up__bko-169301-2-blocksize-zero.raw runs/sweep_chunkrec/up__bko-169301-2-blocksize-zero.raw.scratch && hermit run --strict --chaos --chaos-target-races --seed <SEED> -- btrfs rescue chunk-recover -y -v runs/sweep_chunkrec/up__bko-169301-2-blocksize-zero.raw.scratch
CR24	chunk-recover	up__bko-169311-blocksize-zero-qgroup-verify.raw	2	runs/sweep_chunkrec/up__bko-169311-blocksize-zero-qgroup-verify.raw.scratch	1	23e1b793002a12f7	2	982ac8a3fbe0b417	YES	cp corpus/up__bko-169311-blocksize-zero-qgroup-verify.raw runs/sweep_chunkrec/up__bko-169311-blocksize-zero-qgroup-verify.raw.scratch && hermit run --strict --chaos --chaos-target-races --seed <SEED> -- btrfs rescue chunk-recover -y -v runs/sweep_chunkrec/up__bko-169311-blocksize-zero-qgroup-verify.raw.scratch
CR25	chunk-recover	up__bko-172811.raw	2	runs/sweep_chunkrec/up__bko-172811.raw.scratch	1	0adf6e81204439d0	2	8fb4d3b599665b01	YES	cp corpus/up__bko-172811.raw runs/sweep_chunkrec/up__bko-172811.raw.scratch && hermit run --strict --chaos --chaos-target-races --seed <SEED> -- btrfs rescue chunk-recover -y -v runs/sweep_chunkrec/up__bko-172811.raw.scratch
CR26	chunk-recover	up__bko-172861.raw	2	runs/sweep_chunkrec/up__bko-172861.raw.scratch	1	8543d8f629632691	2	c23b2e871cfe9b0a	YES	cp corpus/up__bko-172861.raw runs/sweep_chunkrec/up__bko-172861.raw.scratch && hermit run --strict --chaos --chaos-target-races --seed <SEED> -- btrfs rescue chunk-recover -y -v runs/sweep_chunkrec/up__bko-172861.raw.scratch
CR27	chunk-recover	up__bko-199833-reloc-recovery-crash.raw	2	runs/sweep_chunkrec/up__bko-199833-reloc-recovery-crash.raw.scratch	1	ceaa59d932a5f02d	2	304db56686a2f6a0	YES	cp corpus/up__bko-199833-reloc-recovery-crash.raw runs/sweep_chunkrec/up__bko-199833-reloc-recovery-crash.raw.scratch && hermit run --strict --chaos --chaos-target-races --seed <SEED> -- btrfs rescue chunk-recover -y -v runs/sweep_chunkrec/up__bko-199833-reloc-recovery-crash.raw.scratch
CR28	chunk-recover	up__bko-200403.raw	2	runs/sweep_chunkrec/up__bko-200403.raw.scratch	1	1e273fc49edc92d6	2	e9a6c3f347a3138e	YES	cp corpus/up__bko-200403.raw runs/sweep_chunkrec/up__bko-200403.raw.scratch && hermit run --strict --chaos --chaos-target-races --seed <SEED> -- btrfs rescue chunk-recover -y -v runs/sweep_chunkrec/up__bko-200403.raw.scratch
