timestamp,machine_id,container_class,git_sha,outer_jobs,profile_base_sha,enforcement_kind,runner_name,step,classification,inner_jobs,elapsed_s,returncode,ok,timed_out,cpu_timed_out,oom_kills,peak_bytes,thread_peak,effective_cores,user_s,sys_s,throttled_s,quota_utilization_pct,external_cpu_s,external_cores,co_tenants_start,co_tenants_end,ambient_bucket,load1_start,load1_end,load5_start,load5_end,host_cpu_psi_avg10_start,host_cpu_psi_avg10_end,host_cpu_psi_avg60_start,host_cpu_psi_avg60_end,host_memory_psi_avg10_start,host_memory_psi_avg10_end,host_memory_psi_avg60_start,host_memory_psi_avg60_end,host_io_psi_avg10_start,host_io_psi_avg10_end,host_io_psi_avg60_start,host_io_psi_avg60_end,step_cpu_psi_avg10_start,step_cpu_psi_avg10_end,step_cpu_psi_avg60_start,step_cpu_psi_avg60_end,cpu.burst_usec,cpu.nice_usec,cpu.nr_bursts,cpu.nr_periods,cpu.nr_throttled,cpu.system_usec,cpu.throttled_usec,cpu.usage_usec,cpu.user_usec
2026-08-03T20:06:53,AMD_EPYC_9D85_158-Core_Processor,affinity316_cpu-max-unknown,a98209d47037cfaa7144989300da4d08dd308579,3,a98209d47037cfaa7144989300da4d08dd308579,unverified,local,probe.compliant_cpu,cpu-bound,316,0.496,0,True,False,False,0,262144,,0.8542,0.424,0.0,0.0,,23.596,47.559,0,0,busy,61.16,61.16,96.36,96.36,0.18,0.18,0.42,0.42,0.0,0.0,0.51,0.51,6.71,6.71,9.93,9.93,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,423804,423804
2026-08-03T20:06:53,AMD_EPYC_9D85_158-Core_Processor,affinity316_cpu-max-unknown,a98209d47037cfaa7144989300da4d08dd308579,3,a98209d47037cfaa7144989300da4d08dd308579,unverified,local,probe.cpu_breach,cpu-bound,316,2.024,-9,False,False,True,0,262144,1,0.9901,2.004,0.0,0.0,,109.986,54.346,0,0,busy,61.16,62.03,96.36,95.96,0.18,0.14,0.42,0.4,0.0,0.0,0.51,0.49,6.71,6.4,9.93,9.76,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2003822,2003822
2026-08-03T20:06:53,AMD_EPYC_9D85_158-Core_Processor,affinity316_cpu-max-unknown,a98209d47037cfaa7144989300da4d08dd308579,3,a98209d47037cfaa7144989300da4d08dd308579,unverified,local,probe.compliant_idle,light,316,4.027,0,True,False,False,0,524288,2,0.0007,0.0,0.003,0.0,,210.857,52.357,0,0,busy,61.16,62.03,96.36,95.96,0.18,0.12,0.42,0.39,0.0,0.0,0.51,0.47,6.71,6.15,9.93,9.61,0.0,0.0,0.0,0.0,0,0,0,0,0,2731,0,2731,0
