arm,runner,host,kernel,hermit_sha,hermit_version_string,hermit_binary_sha256,liteinst_runtime_sha256,reverie_sha,source_tree_dirty,lane,bucket,test_id,test_mode,backend,outcome,reason,duration_ms,evidence_path
C-expansion-runner-at-scorecard-sha,expansion-dag.rs + safe-ci-dag-runner (cgroup boxing ACTIVE),devbig014,6.18.39-0_fbk0_hardened_0_ga43d5727b443,464cbd9f9bb43d5505c914783819e1d349630283,"hermit 0.2.0 (2026-08-06, g464cbd9f9bb4)",3fb4e3821100f2b4c9a160209f1dc4771c1d5dfd149c96841b75cca37ba32927,12dc24f7927a7059ca7d6001b42d8df840b16a9a4f5688ef762a51e81077522a,aa6f1283aeee3efd174c57f6dd8198310bd307e1,false,portable,backend-parity-c,backend-parity-c/pthread-lifecycle,replay,liteinst,REFUSED,harness exit 2: filters selected no required test cells (hermit never invoked),,scratch/liteinst-expansion-464cbd9f/evidence/armC-464cbd9f/backend-parity-c__backend-parity-c-pthread-lifecycle__replay__liteinst
C-expansion-runner-at-scorecard-sha,expansion-dag.rs + safe-ci-dag-runner (cgroup boxing ACTIVE),devbig014,6.18.39-0_fbk0_hardened_0_ga43d5727b443,464cbd9f9bb43d5505c914783819e1d349630283,"hermit 0.2.0 (2026-08-06, g464cbd9f9bb4)",3fb4e3821100f2b4c9a160209f1dc4771c1d5dfd149c96841b75cca37ba32927,12dc24f7927a7059ca7d6001b42d8df840b16a9a4f5688ef762a51e81077522a,aa6f1283aeee3efd174c57f6dd8198310bd307e1,false,portable,backend-parity-c,backend-parity-c/pthread-lifecycle,verify,liteinst,REFUSED,harness exit 2: filters selected no required test cells (hermit never invoked),,scratch/liteinst-expansion-464cbd9f/evidence/armC-464cbd9f/backend-parity-c__backend-parity-c-pthread-lifecycle__verify__liteinst
D-expansion-runner-liteinst-enabled-cells,"expansion-dag.rs cell runner + safe-ci-dag-runner (cgroup boxing ACTIVE, cpu_timeout=180)",devbig014,6.18.39-0_fbk0_hardened_0_ga43d5727b443,52d56e5ceb386d24ec809edbfdb6920e8484271e,"hermit 0.2.0 (2026-08-05, g52d56e5ceb38)",964c76fe82e19c5b9dcb285f97f85d700474765ae1c4c10316350869cae40adb,490dd5c28e79dd14b4bda295feac1f4127762f63ecb65b9c5345666a855b6fd0,79517704b0d19eeb3c4c234d0bfbe9f0a17c1199,false,portable,applications,applications/example-timed-progress-bar,verify,liteinst,FAIL,verify exited with status 1,140,scratch/liteinst-expansion-52d56e5c/evidence/armD-52d56e5c/applications__applications-example-timed-progress-bar__verify__liteinst
D-expansion-runner-liteinst-enabled-cells,"expansion-dag.rs cell runner + safe-ci-dag-runner (cgroup boxing ACTIVE, cpu_timeout=180)",devbig014,6.18.39-0_fbk0_hardened_0_ga43d5727b443,52d56e5ceb386d24ec809edbfdb6920e8484271e,"hermit 0.2.0 (2026-08-05, g52d56e5ceb38)",964c76fe82e19c5b9dcb285f97f85d700474765ae1c4c10316350869cae40adb,490dd5c28e79dd14b4bda295feac1f4127762f63ecb65b9c5345666a855b6fd0,79517704b0d19eeb3c4c234d0bfbe9f0a17c1199,false,portable,applications,applications/example-timed-progress-bar,verify,ptrace,PASS,,700,scratch/liteinst-expansion-52d56e5c/evidence/armD-52d56e5c/applications__applications-example-timed-progress-bar__verify__liteinst/ptrace-ref
D-expansion-runner-liteinst-enabled-cells,"expansion-dag.rs cell runner + safe-ci-dag-runner (cgroup boxing ACTIVE, cpu_timeout=180)",devbig014,6.18.39-0_fbk0_hardened_0_ga43d5727b443,52d56e5ceb386d24ec809edbfdb6920e8484271e,"hermit 0.2.0 (2026-08-05, g52d56e5ceb38)",964c76fe82e19c5b9dcb285f97f85d700474765ae1c4c10316350869cae40adb,490dd5c28e79dd14b4bda295feac1f4127762f63ecb65b9c5345666a855b6fd0,79517704b0d19eeb3c4c234d0bfbe9f0a17c1199,false,portable,backend-parity-c,backend-parity-c/pid-probe,verify,liteinst,FAIL,verify exited with status 1,167,scratch/liteinst-expansion-52d56e5c/evidence/armD-52d56e5c/backend-parity-c__backend-parity-c-pid-probe__verify__liteinst
D-expansion-runner-liteinst-enabled-cells,"expansion-dag.rs cell runner + safe-ci-dag-runner (cgroup boxing ACTIVE, cpu_timeout=180)",devbig014,6.18.39-0_fbk0_hardened_0_ga43d5727b443,52d56e5ceb386d24ec809edbfdb6920e8484271e,"hermit 0.2.0 (2026-08-05, g52d56e5ceb38)",964c76fe82e19c5b9dcb285f97f85d700474765ae1c4c10316350869cae40adb,490dd5c28e79dd14b4bda295feac1f4127762f63ecb65b9c5345666a855b6fd0,79517704b0d19eeb3c4c234d0bfbe9f0a17c1199,false,portable,backend-parity-c,backend-parity-c/pid-probe,verify,ptrace,PASS,,195,scratch/liteinst-expansion-52d56e5c/evidence/armD-52d56e5c/backend-parity-c__backend-parity-c-pid-probe__verify__liteinst/ptrace-ref
D-expansion-runner-liteinst-enabled-cells,"expansion-dag.rs cell runner + safe-ci-dag-runner (cgroup boxing ACTIVE, cpu_timeout=180)",devbig014,6.18.39-0_fbk0_hardened_0_ga43d5727b443,52d56e5ceb386d24ec809edbfdb6920e8484271e,"hermit 0.2.0 (2026-08-05, g52d56e5ceb38)",964c76fe82e19c5b9dcb285f97f85d700474765ae1c4c10316350869cae40adb,490dd5c28e79dd14b4bda295feac1f4127762f63ecb65b9c5345666a855b6fd0,79517704b0d19eeb3c4c234d0bfbe9f0a17c1199,false,portable,bin-c,bin-c/posix-timer-test,verify,liteinst,FAIL,verify exited with status 1,192,scratch/liteinst-expansion-52d56e5c/evidence/armD-52d56e5c/bin-c__bin-c-posix-timer-test__verify__liteinst
D-expansion-runner-liteinst-enabled-cells,"expansion-dag.rs cell runner + safe-ci-dag-runner (cgroup boxing ACTIVE, cpu_timeout=180)",devbig014,6.18.39-0_fbk0_hardened_0_ga43d5727b443,52d56e5ceb386d24ec809edbfdb6920e8484271e,"hermit 0.2.0 (2026-08-05, g52d56e5ceb38)",964c76fe82e19c5b9dcb285f97f85d700474765ae1c4c10316350869cae40adb,490dd5c28e79dd14b4bda295feac1f4127762f63ecb65b9c5345666a855b6fd0,79517704b0d19eeb3c4c234d0bfbe9f0a17c1199,false,portable,bin-c,bin-c/posix-timer-test,verify,ptrace,PASS,,200,scratch/liteinst-expansion-52d56e5c/evidence/armD-52d56e5c/bin-c__bin-c-posix-timer-test__verify__liteinst/ptrace-ref
D-expansion-runner-liteinst-enabled-cells,"expansion-dag.rs cell runner + safe-ci-dag-runner (cgroup boxing ACTIVE, cpu_timeout=180)",devbig014,6.18.39-0_fbk0_hardened_0_ga43d5727b443,52d56e5ceb386d24ec809edbfdb6920e8484271e,"hermit 0.2.0 (2026-08-05, g52d56e5ceb38)",964c76fe82e19c5b9dcb285f97f85d700474765ae1c4c10316350869cae40adb,490dd5c28e79dd14b4bda295feac1f4127762f63ecb65b9c5345666a855b6fd0,79517704b0d19eeb3c4c234d0bfbe9f0a17c1199,false,portable,c-programs,c-programs/name-to-handle-at-eopnotsupp,verify,liteinst,FAIL,verify exited with status 1,163,scratch/liteinst-expansion-52d56e5c/evidence/armD-52d56e5c/c-programs__c-programs-name-to-handle-at-eopnotsupp__verify__liteinst
D-expansion-runner-liteinst-enabled-cells,"expansion-dag.rs cell runner + safe-ci-dag-runner (cgroup boxing ACTIVE, cpu_timeout=180)",devbig014,6.18.39-0_fbk0_hardened_0_ga43d5727b443,52d56e5ceb386d24ec809edbfdb6920e8484271e,"hermit 0.2.0 (2026-08-05, g52d56e5ceb38)",964c76fe82e19c5b9dcb285f97f85d700474765ae1c4c10316350869cae40adb,490dd5c28e79dd14b4bda295feac1f4127762f63ecb65b9c5345666a855b6fd0,79517704b0d19eeb3c4c234d0bfbe9f0a17c1199,false,portable,c-programs,c-programs/name-to-handle-at-eopnotsupp,verify,ptrace,PASS,,194,scratch/liteinst-expansion-52d56e5c/evidence/armD-52d56e5c/c-programs__c-programs-name-to-handle-at-eopnotsupp__verify__liteinst/ptrace-ref
D-expansion-runner-liteinst-enabled-cells,"expansion-dag.rs cell runner + safe-ci-dag-runner (cgroup boxing ACTIVE, cpu_timeout=180)",devbig014,6.18.39-0_fbk0_hardened_0_ga43d5727b443,52d56e5ceb386d24ec809edbfdb6920e8484271e,"hermit 0.2.0 (2026-08-05, g52d56e5ceb38)",964c76fe82e19c5b9dcb285f97f85d700474765ae1c4c10316350869cae40adb,490dd5c28e79dd14b4bda295feac1f4127762f63ecb65b9c5345666a855b6fd0,79517704b0d19eeb3c4c234d0bfbe9f0a17c1199,false,portable,c-programs,c-programs/name-to-handle-directory-eopnotsupp,verify,liteinst,FAIL,verify exited with status 1,188,scratch/liteinst-expansion-52d56e5c/evidence/armD-52d56e5c/c-programs__c-programs-name-to-handle-directory-eopnotsupp__verify__liteinst
D-expansion-runner-liteinst-enabled-cells,"expansion-dag.rs cell runner + safe-ci-dag-runner (cgroup boxing ACTIVE, cpu_timeout=180)",devbig014,6.18.39-0_fbk0_hardened_0_ga43d5727b443,52d56e5ceb386d24ec809edbfdb6920e8484271e,"hermit 0.2.0 (2026-08-05, g52d56e5ceb38)",964c76fe82e19c5b9dcb285f97f85d700474765ae1c4c10316350869cae40adb,490dd5c28e79dd14b4bda295feac1f4127762f63ecb65b9c5345666a855b6fd0,79517704b0d19eeb3c4c234d0bfbe9f0a17c1199,false,portable,c-programs,c-programs/name-to-handle-directory-eopnotsupp,verify,ptrace,PASS,,192,scratch/liteinst-expansion-52d56e5c/evidence/armD-52d56e5c/c-programs__c-programs-name-to-handle-directory-eopnotsupp__verify__liteinst/ptrace-ref
D-expansion-runner-liteinst-enabled-cells,"expansion-dag.rs cell runner + safe-ci-dag-runner (cgroup boxing ACTIVE, cpu_timeout=180)",devbig014,6.18.39-0_fbk0_hardened_0_ga43d5727b443,52d56e5ceb386d24ec809edbfdb6920e8484271e,"hermit 0.2.0 (2026-08-05, g52d56e5ceb38)",964c76fe82e19c5b9dcb285f97f85d700474765ae1c4c10316350869cae40adb,490dd5c28e79dd14b4bda295feac1f4127762f63ecb65b9c5345666a855b6fd0,79517704b0d19eeb3c4c234d0bfbe9f0a17c1199,false,portable,c-programs,c-programs/name-to-handle-empty-path-eopnotsupp,verify,liteinst,FAIL,verify exited with status 1,182,scratch/liteinst-expansion-52d56e5c/evidence/armD-52d56e5c/c-programs__c-programs-name-to-handle-empty-path-eopnotsupp__verify__liteinst
D-expansion-runner-liteinst-enabled-cells,"expansion-dag.rs cell runner + safe-ci-dag-runner (cgroup boxing ACTIVE, cpu_timeout=180)",devbig014,6.18.39-0_fbk0_hardened_0_ga43d5727b443,52d56e5ceb386d24ec809edbfdb6920e8484271e,"hermit 0.2.0 (2026-08-05, g52d56e5ceb38)",964c76fe82e19c5b9dcb285f97f85d700474765ae1c4c10316350869cae40adb,490dd5c28e79dd14b4bda295feac1f4127762f63ecb65b9c5345666a855b6fd0,79517704b0d19eeb3c4c234d0bfbe9f0a17c1199,false,portable,c-programs,c-programs/name-to-handle-empty-path-eopnotsupp,verify,ptrace,PASS,,206,scratch/liteinst-expansion-52d56e5c/evidence/armD-52d56e5c/c-programs__c-programs-name-to-handle-empty-path-eopnotsupp__verify__liteinst/ptrace-ref
D-expansion-runner-liteinst-enabled-cells,"expansion-dag.rs cell runner + safe-ci-dag-runner (cgroup boxing ACTIVE, cpu_timeout=180)",devbig014,6.18.39-0_fbk0_hardened_0_ga43d5727b443,52d56e5ceb386d24ec809edbfdb6920e8484271e,"hermit 0.2.0 (2026-08-05, g52d56e5ceb38)",964c76fe82e19c5b9dcb285f97f85d700474765ae1c4c10316350869cae40adb,490dd5c28e79dd14b4bda295feac1f4127762f63ecb65b9c5345666a855b6fd0,79517704b0d19eeb3c4c234d0bfbe9f0a17c1199,false,portable,c-programs,c-programs/name-to-handle-regular-eopnotsupp,verify,liteinst,FAIL,verify exited with status 1,193,scratch/liteinst-expansion-52d56e5c/evidence/armD-52d56e5c/c-programs__c-programs-name-to-handle-regular-eopnotsupp__verify__liteinst
D-expansion-runner-liteinst-enabled-cells,"expansion-dag.rs cell runner + safe-ci-dag-runner (cgroup boxing ACTIVE, cpu_timeout=180)",devbig014,6.18.39-0_fbk0_hardened_0_ga43d5727b443,52d56e5ceb386d24ec809edbfdb6920e8484271e,"hermit 0.2.0 (2026-08-05, g52d56e5ceb38)",964c76fe82e19c5b9dcb285f97f85d700474765ae1c4c10316350869cae40adb,490dd5c28e79dd14b4bda295feac1f4127762f63ecb65b9c5345666a855b6fd0,79517704b0d19eeb3c4c234d0bfbe9f0a17c1199,false,portable,c-programs,c-programs/name-to-handle-regular-eopnotsupp,verify,ptrace,PASS,,200,scratch/liteinst-expansion-52d56e5c/evidence/armD-52d56e5c/c-programs__c-programs-name-to-handle-regular-eopnotsupp__verify__liteinst/ptrace-ref
